Date,ISRAEL SMALL GROWTH Small Cap
2002-05-31,346.586
2002-06-03,343.212
2002-06-04,343.618
2002-06-05,341.756
2002-06-06,336.384
2002-06-07,337.612
2002-06-10,336.628
2002-06-11,328.678
2002-06-12,328.212
2002-06-13,324.52
2002-06-14,322.27
2002-06-17,326.017
2002-06-18,325.163
2002-06-19,318.532
2002-06-20,308.026
2002-06-21,304.034
2002-06-24,297.498
2002-06-25,306.462
2002-06-26,305.451
2002-06-27,314.204
2002-06-28,320.164
2002-07-01,316.659
2002-07-02,311.041
2002-07-03,312.943
2002-07-04,312.728
2002-07-05,316.93
2002-07-08,316.031
2002-07-09,315.376
2002-07-10,318.305
2002-07-11,315.942
2002-07-12,320.415
2002-07-15,327.203
2002-07-16,327.467
2002-07-17,335.66
2002-07-18,334.51
2002-07-19,334.173
2002-07-22,331.97
2002-07-23,324.224
2002-07-24,320.899
2002-07-25,322.463
2002-07-26,322.959
2002-07-29,335.3
2002-07-30,342.728
2002-07-31,347.514
2002-08-01,342.498
2002-08-02,338.011
2002-08-05,326.919
2002-08-06,329.956
2002-08-07,332.628
2002-08-08,334.676
2002-08-09,336.615
2002-08-12,338.229
2002-08-13,329.72
2002-08-14,335.171
2002-08-15,337.25
2002-08-16,339.419
2002-08-19,353.957
2002-08-20,353.112
2002-08-21,356.59
2002-08-22,357.394
2002-08-23,353.452
2002-08-26,353.217
2002-08-27,351.405
2002-08-28,347.297
2002-08-29,345.388
2002-08-30,344.961
2002-09-02,339.203
2002-09-03,334.581
2002-09-04,338.713
2002-09-05,334.901
2002-09-06,336.965
2002-09-09,337.749
2002-09-10,340.535
2002-09-11,342.045
2002-09-12,337.121
2002-09-13,337.096
2002-09-16,339.793
2002-09-17,340.834
2002-09-18,332.731
2002-09-19,328.486
2002-09-20,325.075
2002-09-23,315.447
2002-09-24,311.28
2002-09-25,314.472
2002-09-26,313.265
2002-09-27,312.571
2002-09-30,306.14
2002-10-01,310.803
2002-10-02,307.561
2002-10-03,302.581
2002-10-04,302.079
2002-10-07,293.213
2002-10-08,294.185
2002-10-09,295.358
2002-10-10,297.7
2002-10-11,303.695
2002-10-14,301.912
2002-10-15,312.67
2002-10-16,306.493
2002-10-17,316.028
2002-10-18,317.193
2002-10-21,319.022
2002-10-22,309.797
2002-10-23,315.08
2002-10-24,315.569
2002-10-25,315.408
2002-10-28,306.872
2002-10-29,304.334
2002-10-30,309.716
2002-10-31,308.3
2002-11-01,309.874
2002-11-04,316.116
2002-11-05,317.734
2002-11-06,327.204
2002-11-07,325.943
2002-11-08,325.141
2002-11-11,324.19
2002-11-12,322.555
2002-11-13,322.695
2002-11-14,326.529
2002-11-15,326.371
2002-11-18,328.164
2002-11-19,326.813
2002-11-20,329.002
2002-11-21,337.405
2002-11-22,340.748
2002-11-25,348.756
2002-11-26,353.522
2002-11-27,361.884
2002-11-28,361.767
2002-11-29,362.596
2002-12-02,374.936
2002-12-03,373.151
2002-12-04,364.037
2002-12-05,358.354
2002-12-06,358.559
2002-12-09,350.323
2002-12-10,355.342
2002-12-11,359.937
2002-12-12,358.122
2002-12-13,355.604
2002-12-16,353.817
2002-12-17,352.025
2002-12-18,343.323
2002-12-19,349.886
2002-12-20,351.056
2002-12-23,347.596
2002-12-24,345.37
2002-12-25,344.75
2002-12-26,349.762
2002-12-27,347.992
2002-12-30,342.662
2002-12-31,343.606
2003-01-01,340.201
2003-01-02,341.096
2003-01-03,341.72
2003-01-06,345.309
2003-01-07,346.699
2003-01-08,344.275
2003-01-09,348.321
2003-01-10,348.833
2003-01-13,345.78
2003-01-14,342.404
2003-01-15,342.157
2003-01-16,342.32
2003-01-17,338.114
2003-01-20,328.738
2003-01-21,327.36
2003-01-22,325.942
2003-01-23,328.019
2003-01-24,324.305
2003-01-27,326.494
2003-01-28,327.059
2003-01-29,328.346
2003-01-30,328.075
2003-01-31,328.298
2003-02-03,324.04
2003-02-04,317.681
2003-02-05,319.459
2003-02-06,321.876
2003-02-07,321.851
2003-02-10,318.896
2003-02-11,320.772
2003-02-12,320.675
2003-02-13,314.689
2003-02-14,318.888
2003-02-17,328.165
2003-02-18,337.325
2003-02-19,332.502
