Date,AUSTRIA SMALL CAP Small Cap
2000-12-29,100.0
2001-01-31,101.493
2001-02-28,107.199
2001-03-30,97.714
2001-04-30,96.878
2001-05-31,90.168
2001-06-29,90.391
2001-07-31,95.486
2001-08-31,94.414
2001-09-28,83.573
2001-10-31,77.158
2001-11-30,78.28
2001-12-31,79.691
2002-01-31,80.147
2002-02-28,85.418
2002-03-29,87.516
2002-04-30,94.402
2002-05-31,98.279
2002-06-28,99.853
2002-07-31,92.13
2002-08-30,91.13
2002-09-30,89.564
2002-10-31,89.135
2002-11-29,91.162
2002-12-31,97.499
2003-01-31,103.815
2003-02-28,104.333
2003-03-31,106.234
2003-04-30,115.316
2003-05-30,127.28
2003-06-30,125.601
2003-07-31,124.925
2003-08-29,123.12
2003-09-30,130.158
2003-10-31,131.946
2003-11-28,139.567
2003-12-31,152.173
2004-01-30,160.126
2004-02-27,160.813
2004-03-31,167.045
2004-04-30,166.474
2004-05-31,168.011
2004-06-30,174.333
2004-07-30,172.358
2004-08-31,177.034
2004-09-30,183.602
2004-10-29,191.547
2004-11-30,215.997
2004-12-31,229.846
2005-01-31,229.929
2005-02-28,255.358
2005-03-31,243.012
2005-04-29,249.764
2005-05-31,248.922
2005-06-30,256.116
2005-07-29,270.636
2005-08-31,275.956
2005-09-30,284.39
2005-10-31,264.445
2005-11-30,278.55
2005-12-30,299.761
2006-01-31,329.281
2006-02-28,332.446
2006-03-31,351.945
2006-04-28,394.085
2006-05-31,357.868
2006-06-30,362.325
2006-07-31,366.429
2006-08-31,367.179
2006-09-29,374.233
2006-10-31,405.216
2006-11-30,429.675
2006-12-29,449.242
2007-01-31,471.971
2007-02-28,480.497
2007-03-30,535.133
2007-04-30,560.082
2007-05-31,564.328
2007-06-29,534.776
2007-07-31,510.626
2007-08-31,496.155
2007-09-28,491.358
2007-10-31,559.906
2007-11-30,499.699
2007-12-31,494.219
2008-01-31,442.785
2008-02-29,468.9
2008-03-31,478.339
2008-04-30,490.615
2008-05-30,518.991
2008-06-30,480.44
2008-07-31,440.78
2008-08-29,413.554
2008-09-30,324.361
2008-10-31,225.625
2008-11-28,213.628
2008-12-31,241.357
2009-01-30,250.13
2009-02-27,226.753
2009-03-31,250.773
2009-04-30,296.274
2009-05-29,337.951
2009-06-30,340.213
2009-07-31,363.885
2009-08-31,446.573
2009-09-30,500.815
2009-10-30,477.426
2009-11-30,495.07
2009-12-31,494.92
2010-01-29,484.853
2010-02-26,466.282
2010-03-31,501.818
2010-04-30,504.289
2010-05-31,428.28
2010-06-30,412.618
2010-07-30,468.53
2010-08-31,443.041
2010-09-30,510.165
2010-10-29,539.77
2010-11-30,512.516
2010-12-31,584.021
2011-01-31,577.56
2011-02-28,577.672
2011-03-31,608.472
2011-04-29,641.154
2011-05-31,612.42
2011-06-30,578.901
2011-07-29,546.581
2011-08-31,506.518
2011-09-30,441.482
2011-10-31,472.439
2011-11-30,436.696
2011-12-30,421.009
2012-01-31,454.527
2012-02-29,481.618
2012-03-30,485.602
2012-04-30,491.909
2012-05-31,447.48
2012-06-29,456.131
2012-07-31,444.514
2012-08-31,462.851
2012-09-28,485.175
2012-10-31,495.68
2012-11-30,516.958
2012-12-31,544.138
2013-01-31,582.074
2013-02-28,556.64
2013-03-29,541.536
2013-04-30,552.679
2013-05-31,556.453
2013-06-28,518.24
2013-07-31,553.232
2013-08-30,555.041
2013-09-30,618.906
2013-10-31,640.44
2013-11-29,641.811
2013-12-31,638.994
2014-01-31,643.565
2014-02-28,699.537
2014-03-31,691.791
2014-04-30,702.152
2014-05-30,684.839
2014-06-30,694.566
2014-07-31,664.171
2014-08-29,654.399
2014-09-30,616.417
2014-10-31,595.648
2014-11-28,608.603
2014-12-31,598.858
2015-01-30,596.963
2015-02-27,642.796
2015-03-31,623.535
2015-04-30,642.439
2015-05-29,642.618
2015-06-30,618.162
2015-07-31,639.037
2015-08-31,620.798
2015-09-30,596.779
2015-10-30,640.947
2015-11-30,613.06
2015-12-31,624.209
2016-01-29,553.447
2016-02-29,565.618
2016-03-31,626.2
2016-04-29,636.869
2016-05-31,619.373
2016-06-30,574.454
2016-07-29,610.149
2016-08-31,632.909
2016-09-30,661.667
2016-10-31,637.44
2016-11-30,632.244
2016-12-30,641.278
2017-01-31,671.186
2017-02-28,679.916
2017-03-31,707.176
2017-04-28,753.299
2017-05-31,794.881
2017-06-30,799.914
2017-07-31,842.083
2017-08-31,836.422
2017-09-29,852.868
2017-10-31,864.325
2017-11-30,852.86
2017-12-29,905.819
2018-01-31,959.216
2018-02-28,914.463
2018-03-30,936.669
2018-04-30,944.989
2018-05-31,919.709
2018-06-29,885.77
2018-07-31,930.806
2018-08-31,934.74
2018-09-28,899.287
2018-10-31,823.243
2018-11-30,813.667
2018-12-31,755.626
2019-01-31,829.63
2019-02-28,813.094
2019-03-29,821.086
2019-04-30,866.25
