Date,AUSTRIA SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,100.714
2001-01-03,97.726
2001-01-04,99.177
2001-01-05,102.352
2001-01-08,102.184
2001-01-09,99.602
2001-01-10,100.31
2001-01-11,101.136
2001-01-12,100.458
2001-01-15,99.534
2001-01-16,98.495
2001-01-17,98.13
2001-01-18,100.219
2001-01-19,100.041
2001-01-22,100.859
2001-01-23,101.656
2001-01-24,99.151
2001-01-25,98.632
2001-01-26,98.302
2001-01-29,97.784
2001-01-30,99.165
2001-01-31,101.493
2001-02-01,106.231
2001-02-02,106.312
2001-02-05,106.067
2001-02-06,105.116
2001-02-07,105.398
2001-02-08,105.042
2001-02-09,104.236
2001-02-12,104.763
2001-02-13,104.611
2001-02-14,103.686
2001-02-15,102.93
2001-02-16,107.194
2001-02-19,108.338
2001-02-20,108.655
2001-02-21,109.22
2001-02-22,107.798
2001-02-23,106.9
2001-02-26,107.149
2001-02-27,108.098
2001-02-28,107.199
2001-03-01,108.486
2001-03-02,108.798
2001-03-05,107.954
2001-03-06,107.913
2001-03-07,109.91
2001-03-08,110.316
2001-03-09,109.835
2001-03-12,108.983
2001-03-13,106.491
2001-03-14,104.468
2001-03-15,103.589
2001-03-16,99.996
2001-03-19,98.275
2001-03-20,97.877
2001-03-21,97.022
2001-03-22,93.9
2001-03-23,96.032
2001-03-26,96.834
2001-03-27,96.671
2001-03-28,95.794
2001-03-29,95.785
2001-03-30,97.714
2001-04-02,96.264
2001-04-03,95.973
2001-04-04,97.375
2001-04-05,98.512
2001-04-06,98.411
2001-04-09,98.974
2001-04-10,97.457
2001-04-11,95.996
2001-04-12,97.131
2001-04-13,97.131
2001-04-16,96.136
2001-04-17,97.634
2001-04-18,96.766
2001-04-19,97.67
2001-04-20,98.383
2001-04-23,97.962
2001-04-24,98.339
2001-04-25,97.919
2001-04-26,98.696
2001-04-27,97.63
2001-04-30,96.878
2001-05-01,97.391
2001-05-02,96.403
2001-05-03,97.478
2001-05-04,97.792
2001-05-07,96.683
2001-05-08,95.774
2001-05-09,94.337
2001-05-10,95.976
2001-05-11,94.847
2001-05-14,94.977
2001-05-15,94.554
2001-05-16,95.401
2001-05-17,95.615
2001-05-18,95.265
2001-05-21,94.757
2001-05-22,93.352
2001-05-23,91.737
2001-05-24,91.39
2001-05-25,91.672
2001-05-28,92.205
2001-05-29,90.547
2001-05-30,91.278
2001-05-31,90.5
2001-06-01,90.516
2001-06-04,90.639
2001-06-05,92.458
2001-06-06,92.998
2001-06-07,94.116
2001-06-08,94.778
2001-06-11,92.63
2001-06-12,93.248
2001-06-13,93.619
2001-06-14,94.422
2001-06-15,93.995
2001-06-18,93.617
2001-06-19,93.581
2001-06-20,92.252
2001-06-21,92.116
2001-06-22,92.106
2001-06-25,93.486
2001-06-26,94.02
2001-06-27,93.283
2001-06-28,91.892
2001-06-29,90.808
2001-07-02,90.657
2001-07-03,91.173
2001-07-04,91.693
2001-07-05,90.939
2001-07-06,90.882
2001-07-09,91.796
2001-07-10,93.079
2001-07-11,93.953
2001-07-12,92.378
2001-07-13,92.678
2001-07-16,93.364
2001-07-17,92.523
2001-07-18,94.825
2001-07-19,95.49
2001-07-20,95.465
2001-07-23,95.485
2001-07-24,96.733
2001-07-25,97.209
2001-07-26,97.049
2001-07-27,97.094
2001-07-30,96.538
2001-07-31,96.04
2001-08-01,96.695
2001-08-02,95.784
2001-08-03,95.18
2001-08-06,94.577
2001-08-07,94.353
2001-08-08,94.399
2001-08-09,94.796
2001-08-10,96.01
2001-08-13,97.262
2001-08-14,96.794
2001-08-15,98.272
2001-08-16,97.851
2001-08-17,97.382
2001-08-20,94.781
2001-08-21,94.614
2001-08-22,96.134
2001-08-23,95.635
2001-08-24,95.416
2001-08-27,95.263
2001-08-28,95.359
2001-08-29,95.348
2001-08-30,94.231
2001-08-31,94.962
2001-09-03,94.268
2001-09-04,93.118
2001-09-05,92.306
2001-09-06,92.259
2001-09-07,93.178
2001-09-10,90.514
2001-09-11,89.66
2001-09-12,87.842
2001-09-13,86.839
2001-09-14,86.21
2001-09-17,86.826
2001-09-18,86.803
2001-09-19,86.706
2001-09-20,84.578
2001-09-21,81.543
2001-09-24,81.958
2001-09-25,83.876
2001-09-26,85.181
2001-09-27,85.62
2001-09-28,84.058
2001-10-01,85.232
2001-10-02,84.525
2001-10-03,84.853
2001-10-04,84.079
2001-10-05,82.275
2001-10-08,81.89
2001-10-09,80.525
2001-10-10,78.875
2001-10-11,79.585
2001-10-12,82.255
2001-10-15,81.51
2001-10-16,83.056
2001-10-17,83.309
2001-10-18,82.855
2001-10-19,79.763
2001-10-22,78.439
2001-10-23,78.486
2001-10-24,77.795
2001-10-25,78.305
2001-10-26,77.96
2001-10-29,78.108
2001-10-30,77.579
2001-10-31,77.605
2001-11-01,78.101
2001-11-02,76.898
2001-11-05,76.355
2001-11-06,76.979
2001-11-07,78.472
2001-11-08,77.97
2001-11-09,79.054
2001-11-12,78.716
2001-11-13,76.987
2001-11-14,77.076
2001-11-15,76.264
2001-11-16,76.919
2001-11-19,76.249
2001-11-20,76.742
2001-11-21,75.779
2001-11-22,75.787
2001-11-23,75.612
2001-11-26,76.146
2001-11-27,77.506
2001-11-28,77.474
2001-11-29,77.651
2001-11-30,78.734
2001-12-03,77.473
2001-12-04,77.637
2001-12-05,77.86
2001-12-06,78.557
2001-12-07,78.861
2001-12-10,78.875
2001-12-11,79.261
2001-12-12,79.983
2001-12-13,80.504
2001-12-14,80.879
2001-12-17,81.068
2001-12-18,80.512
2001-12-19,80.136
2001-12-20,79.909
2001-12-21,79.659
2001-12-24,78.865
2001-12-25,78.865
2001-12-26,78.932
2001-12-27,79.749
2001-12-28,79.379
2001-12-31,80.153
2002-01-01,80.153
2002-01-02,81.354
2002-01-03,81.998
2002-01-04,82.469
2002-01-07,80.475
2002-01-08,80.312
2002-01-09,80.059
2002-01-10,80.776
2002-01-11,80.719
2002-01-14,80.566
2002-01-15,80.093
2002-01-16,79.755
2002-01-17,80.821
2002-01-18,81.257
2002-01-21,81.41
2002-01-22,81.243
2002-01-23,82.137
2002-01-24,82.077
2002-01-25,79.949
2002-01-28,80.266
2002-01-29,80.354
2002-01-30,80.601
2002-01-31,80.664
2002-02-01,80.978
2002-02-04,81.331
2002-02-05,81.322
2002-02-06,82.832
2002-02-07,83.858
2002-02-08,83.933
2002-02-11,84.678
2002-02-12,84.837
2002-02-13,84.552
2002-02-14,83.961
2002-02-15,84.054
2002-02-18,83.311
2002-02-19,85.598
2002-02-20,84.067
2002-02-21,84.49
2002-02-22,85.245
2002-02-25,85.107
2002-02-26,86.049
2002-02-27,86.446
2002-02-28,85.968
2002-03-01,86.374
2002-03-04,87.11
2002-03-05,88.133
2002-03-06,87.483
2002-03-07,87.943
2002-03-08,88.696
2002-03-11,88.495
2002-03-12,87.547
2002-03-13,87.848
2002-03-14,88.391
2002-03-15,88.558
2002-03-18,88.798
2002-03-19,88.679
2002-03-20,88.555
2002-03-21,87.972
2002-03-22,88.028
2002-03-25,88.215
2002-03-26,88.165
2002-03-27,87.905
2002-03-28,88.079
2002-03-29,88.079
2002-04-01,88.801
2002-04-02,89.38
2002-04-03,89.24
2002-04-04,89.731
2002-04-05,89.951
2002-04-08,89.617
2002-04-09,89.862
2002-04-10,90.355
2002-04-11,91.358
2002-04-12,91.722
2002-04-15,92.269
2002-04-16,92.745
2002-04-17,92.942
2002-04-18,93.489
2002-04-19,93.992
2002-04-22,94.076
2002-04-23,94.134
2002-04-24,94.249
2002-04-25,94.498
2002-04-26,94.586
2002-04-29,94.76
2002-04-30,95.049
2002-05-01,95.587
2002-05-02,95.178
2002-05-03,96.426
2002-05-06,96.269
2002-05-07,95.608
2002-05-08,95.125
2002-05-09,95.104
2002-05-10,95.861
2002-05-13,95.753
2002-05-14,94.84
2002-05-15,95.393
2002-05-16,95.667
2002-05-17,97.968
2002-05-20,98.0
2002-05-21,99.279
2002-05-22,99.883
2002-05-23,99.618
2002-05-24,99.106
2002-05-27,98.415
2002-05-28,99.772
2002-05-29,100.327
2002-05-30,100.925
2002-05-31,99.085
2002-06-03,98.885
2002-06-04,98.859
2002-06-05,97.798
2002-06-06,99.438
2002-06-07,99.091
2002-06-10,98.689
2002-06-11,97.502
2002-06-12,97.671
2002-06-13,97.586
2002-06-14,98.033
2002-06-17,96.871
2002-06-18,97.21
2002-06-19,97.963
2002-06-20,98.254
2002-06-21,97.868
2002-06-24,98.259
2002-06-25,98.633
2002-06-26,99.679
2002-06-27,100.447
