Date,ITALY SMID CAP SMID (Small+Mid Cap)
2001-01-01,476.139
2001-01-02,468.918
2001-01-03,452.62
2001-01-04,457.572
2001-01-05,456.807
2001-01-08,451.765
2001-01-09,450.924
2001-01-10,454.523
2001-01-11,460.749
2001-01-12,469.888
2001-01-15,466.193
2001-01-16,466.266
2001-01-17,476.293
2001-01-18,479.887
2001-01-19,476.474
2001-01-22,476.786
2001-01-23,475.737
2001-01-24,471.677
2001-01-25,469.839
2001-01-26,470.018
2001-01-29,468.694
2001-01-30,474.998
2001-01-31,483.29
2001-02-01,483.179
2001-02-02,476.009
2001-02-05,473.409
2001-02-06,471.432
2001-02-07,465.999
2001-02-08,459.032
2001-02-09,456.583
2001-02-12,461.656
2001-02-13,455.782
2001-02-14,446.89
2001-02-15,442.84
2001-02-16,442.618
2001-02-19,442.078
2001-02-20,433.509
2001-02-21,432.463
2001-02-22,431.559
2001-02-23,428.532
2001-02-26,432.311
2001-02-27,435.196
2001-02-28,434.066
2001-03-01,431.746
2001-03-02,429.516
2001-03-05,423.89
2001-03-06,432.235
2001-03-07,431.572
2001-03-08,432.142
2001-03-09,425.128
2001-03-12,412.457
2001-03-13,403.295
2001-03-14,396.338
2001-03-15,396.306
2001-03-16,388.385
2001-03-19,388.696
2001-03-20,396.342
2001-03-21,388.163
2001-03-22,369.575
2001-03-23,379.639
2001-03-26,387.835
2001-03-27,395.445
2001-03-28,391.286
2001-03-29,391.814
2001-03-30,394.812
2001-04-02,392.401
2001-04-03,385.563
2001-04-04,392.872
2001-04-05,396.64
2001-04-06,397.935
2001-04-09,400.279
2001-04-10,398.417
2001-04-11,397.478
2001-04-12,402.674
2001-04-13,402.674
2001-04-16,398.513
2001-04-17,397.161
2001-04-18,399.185
2001-04-19,403.921
2001-04-20,408.206
2001-04-23,399.855
2001-04-24,398.688
2001-04-25,399.853
2001-04-26,402.589
2001-04-27,400.287
2001-04-30,401.869
2001-05-01,403.989
2001-05-02,403.953
2001-05-03,401.06
2001-05-04,401.255
2001-05-07,401.603
2001-05-08,399.1
2001-05-09,398.167
2001-05-10,398.041
2001-05-11,395.727
2001-05-14,395.208
2001-05-15,395.93
2001-05-16,395.979
2001-05-17,397.036
2001-05-18,396.654
2001-05-21,395.013
2001-05-22,394.509
2001-05-23,391.745
2001-05-24,390.534
2001-05-25,388.688
2001-05-28,391.431
2001-05-29,385.694
2001-05-30,380.666
2001-05-31,384.208
2001-06-01,382.98
2001-06-04,381.644
2001-06-05,382.37
2001-06-06,380.689
2001-06-07,382.803
2001-06-08,383.071
2001-06-11,379.01
2001-06-12,378.165
2001-06-13,380.797
2001-06-14,378.448
2001-06-15,377.149
2001-06-18,374.133
2001-06-19,372.456
2001-06-20,365.987
2001-06-21,366.081
2001-06-22,365.719
2001-06-25,368.449
2001-06-26,364.013
2001-06-27,363.194
2001-06-28,358.385
2001-06-29,361.933
2001-07-02,362.758
2001-07-03,363.554
2001-07-04,362.001
2001-07-05,355.73
2001-07-06,353.505
2001-07-09,353.696
2001-07-10,355.988
2001-07-11,354.184
2001-07-12,351.433
2001-07-13,350.095
2001-07-16,350.027
2001-07-17,344.498
2001-07-18,349.348
2001-07-19,350.513
2001-07-20,349.629
2001-07-23,348.01
2001-07-24,348.742
2001-07-25,349.329
2001-07-26,348.82
2001-07-27,348.613
2001-07-30,350.209
2001-07-31,351.38
2001-08-01,356.418
2001-08-02,360.905
2001-08-03,361.4
2001-08-06,359.541
2001-08-07,359.556
2001-08-08,359.579
2001-08-09,361.211
2001-08-10,361.713
2001-08-13,363.783
2001-08-14,363.966
2001-08-15,369.487
2001-08-16,367.023
2001-08-17,364.319
2001-08-20,360.066
2001-08-21,361.623
2001-08-22,363.69
2001-08-23,360.112
2001-08-24,362.088
2001-08-27,360.025
2001-08-28,357.433
2001-08-29,356.843
2001-08-30,349.613
2001-08-31,348.033
2001-09-03,343.126
2001-09-04,337.651
2001-09-05,330.693
2001-09-06,325.385
2001-09-07,326.821
2001-09-10,318.506
2001-09-11,301.46
2001-09-12,297.514
2001-09-13,299.585
2001-09-14,288.235
2001-09-17,282.97
2001-09-18,278.826
2001-09-19,278.818
2001-09-20,267.953
2001-09-21,251.632
2001-09-24,262.784
2001-09-25,271.823
2001-09-26,277.15
2001-09-27,279.186
2001-09-28,286.087
2001-10-01,280.985
2001-10-02,282.684
2001-10-03,283.251
2001-10-04,289.962
2001-10-05,287.668
2001-10-08,287.71
2001-10-09,288.222
2001-10-10,290.98
2001-10-11,293.772
2001-10-12,294.08
2001-10-15,290.974
2001-10-16,295.043
2001-10-17,298.89
2001-10-18,296.004
2001-10-19,291.349
2001-10-22,292.477
2001-10-23,295.308
2001-10-24,296.593
2001-10-25,294.278
2001-10-26,299.007
2001-10-29,300.604
2001-10-30,291.698
2001-10-31,292.837
2001-11-01,294.671
2001-11-02,292.27
2001-11-05,293.581
2001-11-06,291.326
2001-11-07,293.975
2001-11-08,296.1
2001-11-09,295.696
2001-11-12,289.661
2001-11-13,292.19
2001-11-14,295.295
2001-11-15,298.588
2001-11-16,304.19
2001-11-19,314.328
2001-11-20,312.528
2001-11-21,309.449
2001-11-22,313.367
2001-11-23,314.157
2001-11-26,317.318
2001-11-27,312.278
2001-11-28,312.682
2001-11-29,315.336
2001-11-30,318.425
2001-12-03,313.78
2001-12-04,318.42
2001-12-05,323.781
2001-12-06,325.291
2001-12-07,325.872
2001-12-10,321.257
2001-12-11,320.997
2001-12-12,319.699
2001-12-13,313.944
2001-12-14,314.688
2001-12-17,319.747
2001-12-18,317.388
2001-12-19,313.465
2001-12-20,309.358
2001-12-21,307.413
2001-12-24,304.407
2001-12-25,304.407
2001-12-26,304.667
2001-12-27,311.026
2001-12-28,310.437
2001-12-31,313.498
2002-01-01,313.505
2002-01-02,318.565
2002-01-03,321.781
2002-01-04,319.896
2002-01-07,319.063
2002-01-08,320.121
2002-01-09,320.841
2002-01-10,319.401
2002-01-11,318.576
2002-01-14,314.752
2002-01-15,315.333
2002-01-16,309.546
2002-01-17,310.28
2002-01-18,311.771
2002-01-21,309.692
2002-01-22,310.506
2002-01-23,311.711
2002-01-24,311.547
2002-01-25,306.936
2002-01-28,307.94
2002-01-29,309.67
2002-01-30,309.68
2002-01-31,311.83
2002-02-01,311.587
2002-02-04,311.839
2002-02-05,309.22
2002-02-06,305.948
2002-02-07,306.852
2002-02-08,308.353
2002-02-11,309.307
2002-02-12,307.409
2002-02-13,306.948
2002-02-14,308.098
2002-02-15,307.816
2002-02-18,306.143
2002-02-19,301.552
2002-02-20,299.676
2002-02-21,301.807
2002-02-22,304.507
2002-02-25,302.853
2002-02-26,302.537
2002-02-27,306.935
2002-02-28,308.53
2002-03-01,311.984
2002-03-04,320.434
2002-03-05,318.662
2002-03-06,323.791
2002-03-07,327.297
2002-03-08,327.197
2002-03-11,326.908
2002-03-12,323.495
2002-03-13,327.251
2002-03-14,331.35
2002-03-15,332.398
2002-03-18,332.555
2002-03-19,336.136
2002-03-20,333.776
2002-03-21,333.587
2002-03-22,333.734
2002-03-25,332.055
2002-03-26,331.479
2002-03-27,331.229
2002-03-28,334.118
2002-03-29,334.123
2002-04-01,336.824
2002-04-02,334.976
2002-04-03,333.836
2002-04-04,332.506
2002-04-05,331.469
2002-04-08,324.94
2002-04-09,327.465
2002-04-10,331.647
2002-04-11,332.479
2002-04-12,333.071
2002-04-15,333.28
2002-04-16,338.736
2002-04-17,341.126
2002-04-18,341.32
2002-04-19,342.947
2002-04-22,342.117
2002-04-23,342.604
2002-04-24,344.935
2002-04-25,345.374
2002-04-26,344.802
2002-04-29,343.723
2002-04-30,343.21
2002-05-01,345.117
2002-05-02,341.297
2002-05-03,341.904
2002-05-06,342.04
2002-05-07,336.728
2002-05-08,339.004
2002-05-09,336.437
2002-05-10,335.81
2002-05-13,337.19
2002-05-14,336.986
2002-05-15,340.047
2002-05-16,341.718
2002-05-17,345.701
2002-05-20,342.261
2002-05-21,341.237
2002-05-22,342.778
2002-05-23,338.649
2002-05-24,336.507
2002-05-27,334.687
2002-05-28,339.198
2002-05-29,340.455
2002-05-30,339.736
2002-05-31,339.85
2002-06-03,337.449
2002-06-04,332.566
2002-06-05,331.657
2002-06-06,331.929
2002-06-07,329.44
2002-06-10,331.456
2002-06-11,337.727
2002-06-12,333.559
2002-06-13,327.966
2002-06-14,321.548
2002-06-17,326.779
2002-06-18,327.585
2002-06-19,326.712
2002-06-20,323.422
2002-06-21,323.667
2002-06-24,320.265
2002-06-25,319.875
2002-06-26,322.335
2002-06-27,322.768
2002-06-28,329.709
2002-07-01,330.959
2002-07-02,322.974
2002-07-03,316.051
2002-07-04,315.564
2002-07-05,321.383
2002-07-08,326.129
2002-07-09,328.607
2002-07-10,322.001
2002-07-11,315.472
2002-07-12,312.173
2002-07-15,307.097
2002-07-16,308.939
2002-07-17,313.06
2002-07-18,316.364
2002-07-19,311.497
2002-07-22,299.958
2002-07-23,290.566
2002-07-24,286.464
2002-07-25,289.365
2002-07-26,289.506
2002-07-29,295.355
2002-07-30,297.962
2002-07-31,297.042
2002-08-01,294.44
2002-08-02,292.407
2002-08-05,285.978
2002-08-06,286.253
2002-08-07,285.733
2002-08-08,291.001
2002-08-09,295.0
2002-08-12,292.81
