Date,ITALY SMID CAP SMID (Small+Mid Cap)
1994-05-31,198.753
1994-06-30,188.756
1994-07-29,189.716
1994-08-31,184.936
1994-09-30,184.049
1994-10-31,177.205
1994-11-30,170.408
1994-12-30,170.835
1995-01-31,179.048
1995-02-28,164.827
1995-03-31,152.279
1995-04-28,159.029
1995-05-31,162.496
1995-06-30,156.567
1995-07-31,165.033
1995-08-31,161.898
1995-09-29,156.665
1995-10-31,151.389
1995-11-30,140.444
1995-12-29,148.305
1996-01-31,151.528
1996-02-29,156.839
1996-03-29,151.551
1996-04-30,161.94
1996-05-31,170.936
1996-06-28,167.119
1996-07-31,157.085
1996-08-30,157.355
1996-09-30,155.189
1996-10-31,148.893
1996-11-29,162.979
1996-12-31,164.037
1997-01-31,178.529
1997-02-28,164.463
1997-03-31,167.794
1997-04-30,164.289
1997-05-30,166.542
1997-06-30,176.895
1997-07-31,186.3
1997-08-29,188.059
1997-09-30,215.902
1997-10-31,214.698
1997-11-28,211.101
1997-12-31,228.656
1998-01-30,265.782
1998-02-27,290.276
1998-03-31,361.291
1998-04-30,340.68
1998-05-29,353.244
1998-06-30,321.854
1998-07-31,341.273
1998-08-31,299.51
1998-09-30,281.229
1998-10-30,302.384
1998-11-30,335.034
1998-12-31,354.516
1999-01-29,346.714
1999-02-26,329.912
1999-03-31,344.479
1999-04-30,345.221
1999-05-31,337.444
1999-06-30,334.953
1999-07-30,340.268
1999-08-31,342.815
1999-09-30,356.045
1999-10-29,348.712
1999-11-30,355.168
1999-12-31,434.514
2000-01-31,412.427
2000-02-29,548.071
2000-03-31,496.813
2000-04-28,464.068
2000-05-31,461.77
2000-06-30,477.102
2000-07-31,466.859
2000-08-31,479.783
2000-09-29,459.651
2000-10-31,443.745
2000-11-30,449.906
2000-12-29,456.867
2001-01-31,463.729
2001-02-28,416.497
2001-03-30,378.857
2001-04-30,385.732
2001-05-31,370.077
2001-06-29,348.78
2001-07-31,338.618
2001-08-31,335.393
2001-09-28,275.697
2001-10-31,282.202
2001-11-30,306.873
2001-12-31,302.125
2002-01-31,300.519
2002-02-28,297.341
2002-03-29,322.019
2002-04-30,331.111
2002-05-31,329.223
2002-06-28,319.52
2002-07-31,287.879
2002-08-30,291.263
2002-09-30,254.953
2002-10-31,273.981
2002-11-29,299.235
2002-12-31,288.888
2003-01-31,286.145
2003-02-28,292.289
2003-03-31,285.244
2003-04-30,326.284
2003-05-30,354.273
2003-06-30,347.988
2003-07-31,352.459
2003-08-29,350.549
2003-09-30,371.429
2003-10-31,391.307
2003-11-28,419.371
2003-12-31,426.974
2004-01-30,436.638
2004-02-27,440.073
2004-03-31,418.712
2004-04-30,423.21
2004-05-31,427.993
2004-06-30,446.501
2004-07-30,432.74
2004-08-31,431.551
2004-09-30,455.895
2004-10-29,475.924
2004-11-30,510.707
2004-12-31,553.365
2005-01-31,554.362
2005-02-28,571.78
2005-03-31,565.806
2005-04-29,555.288
2005-05-31,560.613
2005-06-30,563.356
2005-07-29,584.725
2005-08-31,589.852
2005-09-30,606.659
2005-10-31,567.144
2005-11-30,579.887
2005-12-30,593.059
2006-01-31,646.119
2006-02-28,679.366
2006-03-31,705.961
2006-04-28,744.359
2006-05-31,734.821
2006-06-30,732.212
2006-07-31,749.578
2006-08-31,777.244
2006-09-29,775.181
2006-10-31,816.557
2006-11-30,855.448
2006-12-29,885.912
2007-01-31,909.494
2007-02-28,912.764
2007-03-30,946.788
2007-04-30,1015.134
2007-05-31,1000.0
2007-06-29,964.658
2007-07-31,924.652
2007-08-31,902.711
2007-09-28,907.61
2007-10-31,953.102
2007-11-30,884.124
2007-12-31,861.693
2008-01-31,770.892
2008-02-29,792.058
2008-03-31,783.133
2008-04-30,791.284
2008-05-30,798.73
2008-06-30,710.978
2008-07-31,692.26
2008-08-29,684.227
2008-09-30,570.108
2008-10-31,438.89
2008-11-28,412.304
2008-12-31,446.217
2009-01-30,399.055
2009-02-27,355.688
2009-03-31,380.061
2009-04-30,447.652
2009-05-29,504.81
2009-06-30,485.519
2009-07-31,516.442
2009-08-31,560.099
2009-09-30,596.437
2009-10-30,574.022
2009-11-30,582.598
2009-12-31,581.369
2010-01-29,547.545
2010-02-26,520.268
2010-03-31,561.816
2010-04-30,535.143
2010-05-31,454.278
2010-06-30,440.913
2010-07-30,493.689
2010-08-31,457.725
2010-09-30,514.054
2010-10-29,545.226
