Date,ITALY SMID CAP SMID (Small+Mid Cap)
1994-05-31,212.746
1994-06-30,201.797
1994-07-29,202.642
1994-08-31,197.498
1994-09-30,196.551
1994-10-31,189.241
1994-11-30,181.976
1994-12-30,182.42
1995-01-31,191.19
1995-02-28,176.005
1995-03-31,162.595
1995-04-28,169.728
1995-05-31,172.886
1995-06-30,166.438
1995-07-31,175.293
1995-08-31,171.963
1995-09-29,166.405
1995-10-31,160.8
1995-11-30,149.168
1995-12-29,157.517
1996-01-31,160.94
1996-02-29,166.581
1996-03-29,160.953
1996-04-30,171.962
1996-05-31,180.985
1996-06-28,176.71
1996-07-31,165.964
1996-08-30,166.25
1996-09-30,163.962
1996-10-31,157.31
1996-11-29,172.183
1996-12-31,173.301
1997-01-31,188.611
1997-02-28,173.751
1997-03-31,177.26
1997-04-30,173.473
1997-05-30,175.25
1997-06-30,185.927
1997-07-31,195.653
1997-08-29,197.501
1997-09-30,226.742
1997-10-31,225.477
1997-11-28,221.692
1997-12-31,240.128
1998-01-30,279.116
1998-02-27,304.84
1998-03-31,379.361
1998-04-30,357.588
1998-05-29,369.819
1998-06-30,336.752
1998-07-31,356.806
1998-08-31,313.142
1998-09-30,294.026
1998-10-30,316.144
1998-11-30,350.28
1998-12-31,370.648
1999-01-29,362.491
1999-02-26,344.925
1999-03-31,360.155
1999-04-30,360.931
1999-05-31,352.429
1999-06-30,349.715
1999-07-30,355.252
1999-08-31,357.911
1999-09-30,371.724
1999-10-29,364.068
1999-11-30,370.803
1999-12-31,453.642
2000-01-31,430.584
2000-02-29,572.198
2000-03-31,518.685
2000-04-28,484.428
2000-05-31,481.39
2000-06-30,497.324
2000-07-31,486.569
2000-08-31,500.038
2000-09-29,479.057
2000-10-31,462.479
2000-11-30,468.885
2000-12-29,476.139
2001-01-31,483.29
2001-02-28,434.066
2001-03-30,394.812
2001-04-30,401.869
2001-05-31,384.208
2001-06-29,361.933
2001-07-31,351.38
2001-08-31,348.033
2001-09-28,286.087
2001-10-31,292.837
2001-11-30,318.425
2001-12-31,313.498
2002-01-31,311.83
2002-02-28,308.53
2002-03-29,334.123
2002-04-30,343.21
2002-05-31,339.85
2002-06-28,329.709
2002-07-31,297.042
2002-08-30,300.528
2002-09-30,263.048
2002-10-31,282.68
2002-11-29,308.679
2002-12-31,298.006
2003-01-31,295.175
2003-02-28,301.513
2003-03-31,294.217
2003-04-30,336.439
2003-05-30,363.291
2003-06-30,356.665
2003-07-31,361.245
2003-08-29,359.288
2003-09-30,380.689
2003-10-31,401.061
2003-11-28,429.727
2003-12-31,437.454
2004-01-30,447.354
2004-02-27,450.873
2004-03-31,428.952
2004-04-30,433.501
2004-05-31,436.059
2004-06-30,454.676
2004-07-30,440.663
2004-08-31,439.452
2004-09-30,464.242
2004-10-29,484.638
2004-11-30,519.803
2004-12-31,563.204
2005-01-31,564.218
2005-02-28,581.947
2005-03-31,575.819
2005-04-29,564.855
2005-05-31,567.542
2005-06-30,570.006
2005-07-29,591.627
2005-08-31,596.814
2005-09-30,613.82
2005-10-31,573.809
2005-11-30,586.62
2005-12-30,599.861
2006-01-31,653.53
2006-02-28,687.158
2006-03-31,714.058
2006-04-28,751.913
2006-05-31,738.784
2006-06-30,735.517
2006-07-31,752.942
2006-08-31,780.731
2006-09-29,778.625
2006-10-31,820.185
2006-11-30,859.076
2006-12-29,889.665
2007-01-31,913.347
2007-02-28,916.631
2007-03-30,950.799
2007-04-30,1018.867
2007-05-31,1000.0
2007-06-29,964.087
2007-07-31,924.075
2007-08-31,902.149
2007-09-28,907.045
2007-10-31,952.306
2007-11-30,883.087
2007-12-31,860.57
2008-01-31,769.887
2008-02-29,791.007
2008-03-31,782.093
2008-04-30,788.513
2008-05-30,790.99
2008-06-30,703.174
2008-07-31,684.535
2008-08-29,676.592
2008-09-30,563.459
2008-10-31,433.625
2008-11-28,407.106
2008-12-31,440.592
2009-01-30,394.024
2009-02-27,351.204
2009-03-31,375.27
2009-04-30,441.084
2009-05-29,494.412
2009-06-30,474.639
2009-07-31,504.853
2009-08-31,547.529
2009-09-30,582.861
2009-10-30,560.956
2009-11-30,568.993
2009-12-31,567.78
2010-01-29,534.747
2010-02-26,508.108
2010-03-31,548.684
2010-04-30,522.101
2010-05-31,441.078
2010-06-30,427.468
2010-07-30,478.626
2010-08-31,443.76
2010-09-30,498.37
2010-10-29,528.512
2010-11-30,444.567
2010-12-31,485.285
2011-01-31,521.29
2011-02-28,522.834
2011-03-31,532.672
2011-04-29,576.786
2011-05-31,539.704
2011-06-30,517.323
2011-07-29,465.743
2011-08-31,407.749
2011-09-30,367.233
2011-10-31,387.496
2011-11-30,340.462
2011-12-30,321.062
2012-01-31,353.795
2012-02-29,381.737
2012-03-30,371.269
2012-04-30,338.101
2012-05-31,283.78
2012-06-29,312.551
2012-07-31,292.506
2012-08-31,326.079
2012-09-28,342.045
2012-10-31,350.624
2012-11-30,348.315
2012-12-31,375.513
2013-01-31,428.506
2013-02-28,393.305
2013-03-29,376.3
2013-04-30,416.689
2013-05-31,438.122
2013-06-28,404.036
2013-07-31,446.809
2013-08-30,447.166
2013-09-30,479.06
2013-10-31,540.122
2013-11-29,543.099
2013-12-31,555.85
2014-01-31,560.103
2014-02-28,619.538
2014-03-31,654.937
2014-04-30,652.472
2014-05-30,622.104
2014-06-30,591.436
2014-07-31,556.592
2014-08-29,547.212
2014-09-30,516.274
2014-10-31,487.236
2014-11-28,500.108
2014-12-31,465.355
2015-01-30,481.425
2015-02-27,533.182
2015-03-31,546.093
2015-04-30,561.707
2015-05-29,567.849
2015-06-30,555.128
2015-07-31,585.603
2015-08-31,559.652
2015-09-30,532.142
2015-10-30,560.7
2015-11-30,547.2
2015-12-31,547.136
2016-01-29,463.717
2016-02-29,443.293
2016-03-31,479.902
2016-04-29,502.118
2016-05-31,479.872
2016-06-30,423.986
2016-07-29,450.751
2016-08-31,449.147
2016-09-30,443.53
2016-10-31,454.37
2016-11-30,434.413
2016-12-30,479.349
2017-01-31,497.108
2017-02-28,500.428
2017-03-31,544.105
2017-04-28,577.316
2017-05-31,601.257
2017-06-30,599.101
2017-07-31,652.981
2017-08-31,668.634
2017-09-29,703.601
2017-10-31,702.602
2017-11-30,692.244
2017-12-29,687.737
2018-01-31,754.466
2018-02-28,707.011
2018-03-30,703.876
2018-04-30,726.913
2018-05-31,662.331
2018-06-29,669.098
2018-07-31,695.51
2018-08-31,662.181
2018-09-28,673.942
2018-10-31,583.332
2018-11-30,578.437
2018-12-31,559.124
2019-01-31,611.946
2019-02-28,641.332
2019-03-29,649.514
2019-04-30,667.245
