Date,ITALY SMID CAP SMID (Small+Mid Cap)
2001-01-01,456.867
2001-01-02,449.938
2001-01-03,434.3
2001-01-04,439.052
2001-01-05,438.318
2001-01-08,433.479
2001-01-09,432.672
2001-01-10,436.126
2001-01-11,442.099
2001-01-12,450.868
2001-01-15,447.324
2001-01-16,447.393
2001-01-17,457.015
2001-01-18,460.464
2001-01-19,457.188
2001-01-22,457.488
2001-01-23,456.481
2001-01-24,452.585
2001-01-25,450.822
2001-01-26,450.994
2001-01-29,449.724
2001-01-30,455.772
2001-01-31,463.729
2001-02-01,463.622
2001-02-02,456.742
2001-02-05,454.248
2001-02-06,452.351
2001-02-07,447.137
2001-02-08,440.452
2001-02-09,438.102
2001-02-12,442.97
2001-02-13,437.334
2001-02-14,428.802
2001-02-15,424.916
2001-02-16,424.703
2001-02-19,424.184
2001-02-20,415.962
2001-02-21,414.958
2001-02-22,414.091
2001-02-23,411.187
2001-02-26,414.813
2001-02-27,417.581
2001-02-28,416.497
2001-03-01,414.271
2001-03-02,412.131
2001-03-05,406.733
2001-03-06,414.74
2001-03-07,414.104
2001-03-08,414.651
2001-03-09,407.921
2001-03-12,395.762
2001-03-13,386.972
2001-03-14,380.296
2001-03-15,380.266
2001-03-16,372.665
2001-03-19,372.975
2001-03-20,380.311
2001-03-21,372.463
2001-03-22,354.627
2001-03-23,364.284
2001-03-26,372.148
2001-03-27,379.45
2001-03-28,375.46
2001-03-29,375.969
2001-03-30,378.857
2001-04-02,376.544
2001-04-03,369.982
2001-04-04,376.995
2001-04-05,380.611
2001-04-06,381.854
2001-04-09,384.133
2001-04-10,382.346
2001-04-11,381.445
2001-04-12,386.431
2001-04-13,386.431
2001-04-16,382.438
2001-04-17,381.141
2001-04-18,383.083
2001-04-19,387.628
2001-04-20,391.741
2001-04-23,383.799
2001-04-24,382.68
2001-04-25,383.797
2001-04-26,386.424
2001-04-27,384.215
2001-04-30,385.732
2001-05-01,387.768
2001-05-02,387.733
2001-05-03,384.956
2001-05-04,385.143
2001-05-07,385.802
2001-05-08,383.4
2001-05-09,382.504
2001-05-10,382.383
2001-05-11,380.16
2001-05-14,379.662
2001-05-15,380.355
2001-05-16,380.404
2001-05-17,381.42
2001-05-18,381.044
2001-05-21,380.477
2001-05-22,379.992
2001-05-23,377.33
2001-05-24,376.163
2001-05-25,374.385
2001-05-28,377.027
2001-05-29,371.509
2001-05-30,366.665
2001-05-31,370.077
2001-06-01,368.894
2001-06-04,367.636
2001-06-05,368.336
2001-06-06,366.716
2001-06-07,368.752
2001-06-08,369.011
2001-06-11,365.099
2001-06-12,364.285
2001-06-13,366.82
2001-06-14,364.557
2001-06-15,363.306
2001-06-18,360.537
2001-06-19,358.921
2001-06-20,352.687
2001-06-21,352.777
