Date,ISRAEL VALUE Standard (Large+Mid Cap)
2001-01-01,98.685
2001-01-02,94.219
2001-01-03,94.41
2001-01-04,96.565
2001-01-05,95.702
2001-01-08,93.039
2001-01-09,94.123
2001-01-10,94.755
2001-01-11,96.648
2001-01-12,96.904
2001-01-15,97.23
2001-01-16,97.592
2001-01-17,98.829
2001-01-18,98.502
2001-01-19,98.394
2001-01-22,95.526
2001-01-23,94.214
2001-01-24,95.183
2001-01-25,95.413
2001-01-26,95.609
2001-01-29,93.39
2001-01-30,92.557
2001-01-31,94.103
2001-02-01,94.043
2001-02-02,93.278
2001-02-05,94.343
2001-02-06,94.403
2001-02-07,92.93
2001-02-08,94.546
2001-02-09,94.683
2001-02-12,96.529
2001-02-13,96.543
2001-02-14,95.393
2001-02-15,94.677
2001-02-16,94.441
2001-02-19,92.516
2001-02-20,92.707
2001-02-21,91.897
2001-02-22,91.185
2001-02-23,91.057
2001-02-26,92.836
2001-02-27,92.289
2001-02-28,92.11
2001-03-01,91.237
2001-03-02,91.288
2001-03-05,90.698
2001-03-06,91.729
2001-03-07,90.805
2001-03-08,89.712
2001-03-09,89.126
2001-03-12,84.78
2001-03-13,83.906
2001-03-14,80.882
2001-03-15,80.827
2001-03-16,80.332
2001-03-19,80.647
2001-03-20,79.555
2001-03-21,78.023
2001-03-22,76.583
2001-03-23,77.15
2001-03-26,79.573
2001-03-27,78.375
2001-03-28,79.107
2001-03-29,76.258
2001-03-30,76.705
2001-04-02,75.507
2001-04-03,73.581
2001-04-04,73.927
2001-04-05,77.504
2001-04-06,77.257
2001-04-09,76.702
2001-04-10,79.074
2001-04-11,79.466
2001-04-12,79.241
2001-04-13,79.241
2001-04-16,78.922
2001-04-17,76.836
2001-04-18,79.805
2001-04-19,80.169
2001-04-20,80.055
2001-04-23,80.542
2001-04-24,80.58
2001-04-25,80.552
2001-04-26,80.45
2001-04-27,80.76
2001-04-30,83.76
2001-05-01,83.444
2001-05-02,84.528
2001-05-03,83.448
2001-05-04,83.295
2001-05-07,83.598
2001-05-08,83.132
2001-05-09,81.556
2001-05-10,82.613
2001-05-11,82.35
2001-05-14,81.002
2001-05-15,81.901
2001-05-16,81.598
2001-05-17,83.644
2001-05-18,83.586
2001-05-21,83.748
2001-05-22,84.847
2001-05-23,84.843
2001-05-24,84.63
2001-05-25,84.534
2001-05-28,84.406
2001-05-29,83.979
2001-05-30,82.472
2001-05-31,82.541
2001-06-01,82.419
2001-06-04,80.708
2001-06-05,81.654
2001-06-06,82.249
2001-06-07,81.811
2001-06-08,82.189
2001-06-11,81.317
2001-06-12,79.395
2001-06-13,80.859
2001-06-14,79.564
2001-06-15,79.435
2001-06-18,78.772
2001-06-19,79.184
2001-06-20,78.321
2001-06-21,77.969
2001-06-22,77.857
2001-06-25,78.782
2001-06-26,78.8
2001-06-27,80.075
2001-06-28,81.311
2001-06-29,81.203
2001-07-02,82.182
2001-07-03,81.539
2001-07-04,81.72
2001-07-05,80.779
2001-07-06,80.517
2001-07-09,80.138
2001-07-10,80.937
2001-07-11,80.139
2001-07-12,81.497
2001-07-13,81.7
2001-07-16,82.301
2001-07-17,81.681
2001-07-18,80.701
2001-07-19,81.806
2001-07-20,81.791
2001-07-23,81.793
2001-07-24,81.139
2001-07-25,81.454
2001-07-26,82.822
2001-07-27,82.746
2001-07-30,82.652
2001-07-31,82.11
2001-08-01,83.121
2001-08-02,84.003
2001-08-03,84.049
2001-08-06,83.393
2001-08-07,83.077
2001-08-08,83.808
2001-08-09,82.359
2001-08-10,82.347
2001-08-13,83.434
2001-08-14,83.202
2001-08-15,81.572
2001-08-16,80.637
2001-08-17,80.44
2001-08-20,79.014
2001-08-21,79.836
2001-08-22,79.977
2001-08-23,79.911
2001-08-24,79.969
2001-08-27,79.819
2001-08-28,78.629
2001-08-29,78.229
2001-08-30,77.104
2001-08-31,76.829
2001-09-03,75.566
2001-09-04,74.664
2001-09-05,74.391
2001-09-06,74.166
2001-09-07,74.104
2001-09-10,72.629
2001-09-11,69.94
