Date,ISRAEL VALUE Standard (Large+Mid Cap)
1996-12-31,100.0
1997-01-31,114.056
1997-02-28,114.673
1997-03-31,114.776
1997-04-30,116.803
1997-05-30,123.636
1997-06-30,119.464
1997-07-31,136.647
1997-08-29,128.356
1997-09-30,132.586
1997-10-31,125.941
1997-11-28,130.214
1997-12-31,133.727
1998-01-30,120.474
1998-02-27,125.087
1998-03-31,138.38
1998-04-30,138.563
1998-05-29,152.964
1998-06-30,149.218
1998-07-31,150.211
1998-08-31,129.954
1998-09-30,127.53
1998-10-30,109.926
1998-11-30,117.381
1998-12-31,118.375
1999-01-29,115.832
1999-02-26,124.5
1999-03-31,141.179
1999-04-30,144.572
1999-05-31,150.957
1999-06-30,161.754
1999-07-30,155.043
1999-08-31,139.289
1999-09-30,142.103
1999-10-29,146.648
1999-11-30,163.564
1999-12-31,182.054
2000-01-31,186.15
2000-02-29,199.061
2000-03-31,193.06
2000-04-28,185.611
2000-05-31,188.899
2000-06-30,198.676
2000-07-31,190.823
2000-08-31,210.184
2000-09-29,202.544
2000-10-31,163.031
2000-11-30,167.055
2000-12-29,170.595
2001-01-31,160.555
2001-02-28,157.155
2001-03-30,130.893
2001-04-30,143.027
2001-05-31,141.032
2001-06-29,139.04
2001-07-31,140.829
2001-08-31,131.789
2001-09-28,111.534
2001-10-31,113.284
2001-11-30,126.918
2001-12-31,136.649
2002-01-31,128.038
2002-02-28,119.117
2002-03-29,115.969
2002-04-30,98.652
2002-05-31,99.686
2002-06-28,96.262
2002-07-31,98.826
2002-08-30,97.634
2002-09-30,84.921
2002-10-31,80.675
2002-11-29,94.575
2002-12-31,80.554
2003-01-31,77.597
2003-02-28,79.199
2003-03-31,81.711
2003-04-30,95.502
2003-05-30,113.523
2003-06-30,120.969
2003-07-31,112.705
2003-08-29,112.975
2003-09-30,115.118
2003-10-31,122.563
2003-11-28,131.424
2003-12-31,137.038
2004-01-30,144.813
2004-02-27,149.932
2004-03-31,149.02
2004-04-30,149.664
2004-05-31,150.443
2004-06-30,162.691
2004-07-30,148.013
2004-08-31,141.038
2004-09-30,146.001
2004-10-29,153.214
2004-11-30,168.354
2004-12-31,185.928
2005-01-31,189.541
2005-02-28,193.758
2005-03-31,189.129
2005-04-29,190.807
2005-05-31,199.521
2005-06-30,181.624
2005-07-29,197.63
2005-08-31,202.512
2005-09-30,211.208
2005-10-31,206.173
2005-11-30,211.238
2005-12-30,218.832
2006-01-31,221.34
2006-02-28,215.359
2006-03-31,218.486
2006-04-28,234.446
2006-05-31,229.344
2006-06-30,210.404
2006-07-31,211.05
2006-08-31,218.701
2006-09-29,224.697
2006-10-31,234.685
2006-11-30,242.316
2006-12-29,239.553
2007-01-31,247.245
