Date,ISRAEL VALUE Standard (Large+Mid Cap)
2000-12-29,100.0
2001-01-31,94.103
2001-02-28,92.11
2001-03-30,76.705
2001-04-30,83.76
2001-05-31,82.541
2001-06-29,81.203
2001-07-31,82.11
2001-08-31,76.829
2001-09-28,64.998
2001-10-31,66.018
2001-11-30,73.896
2001-12-31,79.511
2002-01-31,74.497
2002-02-28,69.303
2002-03-29,67.47
2002-04-30,57.387
2002-05-31,57.964
2002-06-28,55.969
2002-07-31,57.46
2002-08-30,56.767
2002-09-30,49.356
2002-10-31,46.879
2002-11-29,54.948
2002-12-31,46.787
2003-01-31,45.061
2003-02-28,45.975
2003-03-31,47.434
2003-04-30,55.412
2003-05-30,65.863
2003-06-30,70.174
2003-07-31,65.38
2003-08-29,65.495
2003-09-30,66.665
2003-10-31,70.972
2003-11-28,76.095
2003-12-31,79.2
2004-01-30,83.689
2004-02-27,86.604
2004-03-31,86.078
2004-04-30,86.312
2004-05-31,86.741
2004-06-30,93.737
2004-07-30,85.28
2004-08-31,81.24
2004-09-30,83.908
2004-10-29,88.053
2004-11-30,96.746
2004-12-31,106.718
2005-01-31,108.773
2005-02-28,111.042
2005-03-31,108.232
2005-04-29,109.109
2005-05-31,113.982
2005-06-30,103.73
2005-07-29,112.871
2005-08-31,115.55
2005-09-30,120.464
2005-10-31,117.535
2005-11-30,120.407
2005-12-30,124.608
2006-01-31,125.971
2006-02-28,122.43
2006-03-31,124.202
2006-04-28,133.012
2006-05-31,130.103
2006-06-30,119.188
2006-07-31,119.555
2006-08-31,123.732
2006-09-29,127.121
2006-10-31,132.691
2006-11-30,136.92
2006-12-29,135.307
2007-01-31,139.652
2007-02-28,141.193
2007-03-30,144.781
2007-04-30,153.597
2007-05-31,160.213
2007-06-29,156.648
2007-07-31,157.923
2007-08-31,156.962
2007-09-28,169.17
2007-10-31,176.602
2007-11-30,170.864
2007-12-31,175.598
2008-01-31,167.842
2008-02-29,173.374
2008-03-31,162.69
2008-04-30,174.784
2008-05-30,181.026
2008-06-30,171.73
2008-07-31,162.482
2008-08-29,160.165
2008-09-30,145.965
2008-10-31,119.588
2008-11-28,113.004
2008-12-31,118.284
2009-01-30,114.877
2009-02-27,122.442
2009-03-31,126.612
2009-04-30,136.616
2009-05-29,152.683
2009-06-30,154.097
2009-07-31,172.675
2009-08-31,169.372
2009-09-30,171.558
2009-10-30,174.632
2009-11-30,184.715
2009-12-31,196.559
2010-01-29,197.645
2010-02-26,202.201
2010-03-31,216.92
2010-04-30,199.323
2010-05-31,178.361
2010-06-30,174.037
2010-07-30,177.23
2010-08-31,180.124
2010-09-30,200.199
2010-10-29,200.23
2010-11-30,200.238
2010-12-31,213.407
2011-01-31,204.885
2011-02-28,199.713
2011-03-31,208.72
2011-04-29,201.622
2011-05-31,205.783
2011-06-30,196.878
2011-07-29,192.056
2011-08-31,165.883
2011-09-30,145.411
2011-10-31,165.046
2011-11-30,149.431
2011-12-30,148.149
2012-01-31,161.57
2012-02-29,156.251
2012-03-30,158.608
2012-04-30,160.772
2012-05-31,138.098
2012-06-29,131.764
2012-07-31,134.709
2012-08-31,134.458
2012-09-28,143.46
2012-10-31,149.138
2012-11-30,152.941
2012-12-31,145.641
2013-01-31,145.283
2013-02-28,150.734
2013-03-29,156.846
2013-04-30,156.471
2013-05-31,154.198
2013-06-28,154.282
2013-07-31,158.84
2013-08-30,155.507
2013-09-30,159.083
2013-10-31,158.433
2013-11-29,168.296
2013-12-31,166.695
2014-01-31,178.612
2014-02-28,193.716
2014-03-31,206.634
2014-04-30,202.423
2014-05-30,204.051
2014-06-30,211.92
2014-07-31,215.296
2014-08-29,210.25
2014-09-30,214.352
2014-10-31,213.066
2014-11-28,218.407
2014-12-31,215.642
2015-01-30,211.797
2015-02-27,210.799
2015-03-31,233.516
2015-04-30,232.615
2015-05-29,232.225
2015-06-30,232.482
2015-07-31,257.298
2015-08-31,233.667
2015-09-30,216.772
2015-10-30,232.743
2015-11-30,229.088
2015-12-31,234.533
2016-01-29,217.999
2016-02-29,211.88
2016-03-31,211.416
2016-04-29,217.685
2016-05-31,205.802
2016-06-30,199.99
2016-07-29,212.766
2016-08-31,206.331
2016-09-30,201.229
2016-10-31,186.574
2016-11-30,180.678
2016-12-30,178.783
2017-01-31,171.705
2017-02-28,178.612
2017-03-31,170.969
2017-04-28,171.458
2017-05-31,165.687
2017-06-30,187.271
2017-07-31,182.697
2017-08-31,122.599
2017-09-29,130.105
2017-10-31,117.35
2017-11-30,120.0
2017-12-29,137.264
2018-01-31,144.445
2018-02-28,135.457
2018-03-30,127.062
2018-04-30,129.976
2018-05-31,143.127
2018-06-29,151.246
2018-07-31,152.128
2018-08-31,155.545
2018-09-28,150.007
2018-10-31,140.277
2018-11-30,147.33
2018-12-31,119.343
2019-01-31,141.016
2019-02-28,130.253
2019-03-29,124.563
2019-04-30,127.59
2019-05-31,102.645
2019-06-28,109.034
2019-07-31,107.504
2019-08-30,99.641
2019-09-30,104.492
2019-10-31,109.145
2019-11-29,117.25
2019-12-31,115.83
2020-01-31,117.817
2020-02-28,113.54
2020-03-31,90.634
2020-04-30,98.829
2020-05-29,101.065
2020-06-30,96.628
2020-07-31,95.996
2020-08-31,93.497
2020-09-30,82.939
2020-10-30,84.916
2020-11-30,98.048
2020-12-31,103.786
2021-01-29,110.766
2021-02-26,105.652
2021-03-31,112.885
2021-04-30,115.987
2021-05-31,121.667
2021-06-30,119.994
2021-07-30,122.623
2021-08-31,124.251
2021-09-30,123.999
2021-10-29,130.479
2021-11-30,127.158
2021-12-31,134.169
2022-01-31,129.462
2022-02-28,133.035
2022-03-31,136.517
2022-04-29,128.028
2022-05-31,122.422
2022-06-30,108.552
2022-07-29,119.05
2022-08-31,127.26
2022-09-30,108.953
2022-10-31,120.037
2022-11-30,116.111
2022-12-30,110.014
2023-01-31,115.149
2023-02-28,107.525
2023-03-31,105.299
2023-04-28,106.435
2023-05-31,99.604
2023-06-30,103.442
2023-07-31,113.745
2023-08-31,112.548
2023-09-29,118.078
2023-10-31,97.776
2023-11-30,112.621
2023-12-29,120.315
2024-01-31,120.333
2024-02-29,131.459
2024-03-29,133.082
2024-04-30,128.328
2024-05-31,136.507
2024-06-28,132.031
2024-07-31,139.168
2024-08-30,152.031
2024-09-30,150.843
2024-10-31,156.84
2024-11-29,164.044
2024-12-31,182.9
2025-01-31,181.993
2025-02-28,183.984
2025-03-31,178.517
2025-04-30,191.087
2025-05-30,212.91
2025-06-30,238.928
2025-07-31,232.329
2025-08-29,244.143
2025-09-30,253.516
2025-10-31,257.157
