Date,NETHERLANDS MID VALUE Mid Cap
2001-01-01,397.404
2001-01-02,404.479
2001-01-03,396.039
2001-01-04,403.133
2001-01-05,405.478
2001-01-08,403.445
2001-01-09,402.487
2001-01-10,400.228
2001-01-11,409.918
2001-01-12,412.247
2001-01-15,411.453
2001-01-16,410.924
2001-01-17,410.522
2001-01-18,417.169
2001-01-19,414.053
2001-01-22,412.707
2001-01-23,416.304
2001-01-24,410.034
2001-01-25,412.719
2001-01-26,411.255
2001-01-29,408.447
2001-01-30,410.553
2001-01-31,420.253
2001-02-01,423.421
2001-02-02,418.374
2001-02-05,420.875
2001-02-06,417.727
2001-02-07,422.567
2001-02-08,416.37
2001-02-09,417.543
2001-02-12,424.323
2001-02-13,424.145
2001-02-14,418.491
2001-02-15,414.476
2001-02-16,423.009
2001-02-19,425.651
2001-02-20,420.344
2001-02-21,418.441
2001-02-22,411.736
2001-02-23,409.407
2001-02-26,411.933
2001-02-27,420.047
2001-02-28,417.272
2001-03-01,421.938
2001-03-02,425.191
2001-03-05,421.41
2001-03-06,421.212
2001-03-07,422.321
2001-03-08,425.281
2001-03-09,423.622
2001-03-12,418.126
2001-03-13,410.489
2001-03-14,400.267
2001-03-15,398.911
2001-03-16,390.639
2001-03-19,388.787
2001-03-20,390.66
2001-03-21,381.439
2001-03-22,360.254
2001-03-23,366.76
2001-03-26,369.191
2001-03-27,373.809
2001-03-28,374.06
2001-03-29,371.025
2001-03-30,371.565
2001-04-02,372.439
2001-04-03,369.171
2001-04-04,369.169
2001-04-05,371.09
2001-04-06,369.575
2001-04-09,370.439
2001-04-10,368.452
2001-04-11,370.717
2001-04-12,376.675
2001-04-13,376.675
2001-04-16,372.817
2001-04-17,368.01
2001-04-18,348.064
2001-04-19,352.214
2001-04-20,356.618
2001-04-23,353.039
2001-04-24,350.356
2001-04-25,352.034
2001-04-26,352.547
2001-04-27,349.518
2001-04-30,347.168
2001-05-01,354.873
2001-05-02,363.233
2001-05-03,362.819
2001-05-04,364.58
2001-05-07,364.575
2001-05-08,365.421
2001-05-09,366.637
2001-05-10,366.009
2001-05-11,364.581
2001-05-14,363.148
2001-05-15,365.487
2001-05-16,368.574
2001-05-17,366.563
2001-05-18,369.516
2001-05-21,369.386
2001-05-22,371.469
2001-05-23,367.193
2001-05-24,365.512
2001-05-25,364.781
2001-05-28,367.626
2001-05-29,365.132
2001-05-30,363.577
2001-05-31,359.545
2001-06-01,358.262
2001-06-04,358.749
2001-06-05,364.147
2001-06-06,360.911
2001-06-07,360.477
2001-06-08,358.078
2001-06-11,353.554
2001-06-12,353.2
2001-06-13,353.224
2001-06-14,351.142
2001-06-15,344.77
2001-06-18,344.236
2001-06-19,340.528
2001-06-20,330.602
2001-06-21,327.956
2001-06-22,328.041
2001-06-25,332.895
2001-06-26,330.253
2001-06-27,316.053
2001-06-28,316.276
2001-06-29,318.423
2001-07-02,312.449
2001-07-03,312.342
2001-07-04,312.331
2001-07-05,306.505
2001-07-06,304.688
2001-07-09,303.123
2001-07-10,306.197
2001-07-11,305.06
2001-07-12,304.53
2001-07-13,303.423
2001-07-16,300.974
2001-07-17,300.207
2001-07-18,303.697
2001-07-19,303.088
2001-07-20,304.233
2001-07-23,301.921
2001-07-24,303.891
2001-07-25,301.28
2001-07-26,299.199
2001-07-27,298.974
2001-07-30,301.6
2001-07-31,302.468
2001-08-01,306.5
2001-08-02,308.55
2001-08-03,310.759
2001-08-06,308.637
2001-08-07,308.387
2001-08-08,306.192
2001-08-09,306.533
2001-08-10,308.296
2001-08-13,310.272
2001-08-14,309.187
2001-08-15,310.945
2001-08-16,309.958
2001-08-17,308.834
2001-08-20,304.027
2001-08-21,304.772
2001-08-22,308.278
2001-08-23,304.343
2001-08-24,306.515
2001-08-27,306.161
2001-08-28,305.931
2001-08-29,306.652
2001-08-30,305.057
2001-08-31,302.545
2001-09-03,298.669
2001-09-04,290.279
2001-09-05,290.026
2001-09-06,288.745
2001-09-07,288.19
2001-09-10,282.3
2001-09-11,272.43
2001-09-12,269.844
2001-09-13,269.422
2001-09-14,264.301
2001-09-17,259.798
2001-09-18,253.789
2001-09-19,254.052
2001-09-20,242.762
2001-09-21,230.08
