Date,NETHERLANDS MID VALUE Mid Cap
1994-05-31,365.161
1994-06-30,363.452
1994-07-29,383.588
1994-08-31,369.743
1994-09-30,362.003
1994-10-31,361.756
1994-11-30,344.695
1994-12-30,353.098
1995-01-31,358.733
1995-02-28,362.352
1995-03-31,354.576
1995-04-28,367.287
1995-05-31,377.006
1995-06-30,380.801
1995-07-31,392.339
1995-08-31,381.104
1995-09-29,386.574
1995-10-31,373.585
1995-11-30,367.708
1995-12-29,376.167
1996-01-31,377.686
1996-02-29,407.54
1996-03-29,403.458
1996-04-30,395.199
1996-05-31,395.623
1996-06-28,405.218
1996-07-31,403.615
1996-08-30,412.388
1996-09-30,414.656
1996-10-31,419.167
1996-11-29,435.562
1996-12-31,448.956
1997-01-31,463.789
1997-02-28,471.033
1997-03-31,489.063
1997-04-30,481.954
1997-05-30,490.459
1997-06-30,506.156
1997-07-31,524.446
1997-08-29,489.762
1997-09-30,533.82
1997-10-31,481.69
1997-11-28,453.797
1997-12-31,461.501
1998-01-30,481.133
1998-02-27,524.672
1998-03-31,536.791
1998-04-30,548.204
1998-05-29,568.243
1998-06-30,545.335
1998-07-31,558.307
1998-08-31,503.105
1998-09-30,431.142
1998-10-30,475.277
1998-11-30,460.727
1998-12-31,473.169
1999-01-29,447.622
1999-02-26,455.428
1999-03-31,444.087
1999-04-30,476.419
1999-05-31,461.936
1999-06-30,471.805
1999-07-30,481.226
1999-08-31,467.097
1999-09-30,461.59
1999-10-29,447.438
1999-11-30,420.689
1999-12-31,438.998
2000-01-31,392.682
2000-02-29,397.875
2000-03-31,400.667
2000-04-28,378.401
2000-05-31,406.237
2000-06-30,429.315
2000-07-31,419.802
2000-08-31,406.458
2000-09-29,380.616
2000-10-31,390.234
2000-11-30,377.789
2000-12-29,397.404
2001-01-31,420.253
2001-02-28,417.272
2001-03-30,371.565
2001-04-30,347.168
2001-05-31,359.545
2001-06-29,318.423
2001-07-31,302.468
2001-08-31,302.545
2001-09-28,253.001
2001-10-31,266.281
2001-11-30,290.579
2001-12-31,300.469
2002-01-31,296.273
2002-02-28,298.737
2002-03-29,332.836
2002-04-30,334.18
2002-05-31,341.582
2002-06-28,331.516
2002-07-31,327.259
2002-08-30,315.256
2002-09-30,295.898
2002-10-31,307.932
2002-11-29,324.346
2002-12-31,324.915
2003-01-31,302.273
2003-02-28,268.889
2003-03-31,254.596
2003-04-30,310.793
2003-05-30,388.027
2003-06-30,384.596
2003-07-31,396.329
2003-08-29,419.146
2003-09-30,424.772
2003-10-31,405.287
2003-11-28,413.717
2003-12-31,439.648
2004-01-30,427.668
2004-02-27,440.837
2004-03-31,431.945
2004-04-30,442.127
2004-05-31,445.766
2004-06-30,451.519
2004-07-30,449.964
2004-08-31,446.596
2004-09-30,463.642
2004-10-29,486.116
2004-11-30,540.773
2004-12-31,557.758
2005-01-31,540.396
2005-02-28,593.642
2005-03-31,566.475
2005-04-29,539.785
2005-05-31,542.768
2005-06-30,567.327
2005-07-29,595.418
2005-08-31,604.407
2005-09-30,615.559
2005-10-31,594.281
2005-11-30,607.483
2005-12-30,644.352
2006-01-31,680.02
2006-02-28,664.095
2006-03-31,711.28
2006-04-28,744.815
2006-05-31,733.861
2006-06-30,732.921
2006-07-31,730.262
2006-08-31,764.715
2006-09-29,813.321
2006-10-31,841.552
2006-11-30,859.82
2006-12-29,921.033
2007-01-31,934.05
2007-02-28,909.584
2007-03-30,924.181
2007-04-30,979.312
2007-05-31,1000.0
2007-06-29,963.39
2007-07-31,982.184
2007-08-31,990.94
2007-09-28,1054.502
2007-10-31,1101.465
2007-11-30,1000.683
2007-12-31,980.945
2008-01-31,886.472
2008-02-29,919.459
2008-03-31,958.686
2008-04-30,1036.582
2008-05-30,1112.392
2008-06-30,1009.935
2008-07-31,988.614
2008-08-29,968.302
2008-09-30,799.631
2008-10-31,531.181
2008-11-28,457.299
2008-12-31,467.27
2009-01-30,441.423
2009-02-27,399.963
2009-03-31,423.721
2009-04-30,506.563
2009-05-29,583.431
2009-06-30,563.736
2009-07-31,640.525
2009-08-31,686.953
2009-09-30,753.474
2009-10-30,748.43
2009-11-30,795.121
2009-12-31,810.931
2010-01-29,774.15
2010-02-26,719.898
2010-03-31,782.512
2010-04-30,791.928
2010-05-31,682.894
2010-06-30,701.541
2010-07-30,793.355
2010-08-31,735.303
2010-09-30,838.51
2010-10-29,880.238
2010-11-30,790.169
2010-12-31,888.876
2011-01-31,938.271
2011-02-28,953.963
2011-03-31,983.601
2011-04-29,1024.156
2011-05-31,993.288
2011-06-30,932.751
2011-07-29,873.446
2011-08-31,782.974
2011-09-30,672.991
2011-10-31,767.058
2011-11-30,703.425
2011-12-30,689.475
2012-01-31,729.954
2012-02-29,766.857
2012-03-30,788.149
2012-04-30,757.668
2012-05-31,650.964
2012-06-29,700.06
2012-07-31,712.133
2012-08-31,742.975
2012-09-28,772.083
2012-10-31,791.268
2012-11-30,821.066
2012-12-31,862.693
2013-01-31,909.5
2013-02-28,884.623
2013-03-29,923.545
2013-04-30,964.1
2013-05-31,979.773
2013-06-28,970.359
2013-07-31,1108.208
2013-08-30,1130.129
2013-09-30,1221.655
2013-10-31,1259.024
2013-11-29,1300.634
2013-12-31,1322.252
2014-01-31,1268.698
2014-02-28,1293.515
2014-03-31,1287.657
2014-04-30,1304.045
2014-05-30,1353.596
2014-06-30,1360.083
2014-07-31,1238.982
2014-08-29,1243.293
2014-09-30,1166.773
2014-10-31,1122.218
2014-11-28,1209.942
2014-12-31,1195.028
2015-01-30,1115.502
2015-02-27,1190.484
2015-03-31,1202.491
2015-04-30,1241.937
2015-05-29,1226.766
2015-06-30,1216.403
2015-07-31,1249.366
2015-08-31,1141.236
2015-09-30,1006.764
2015-10-30,1102.131
2015-11-30,1067.801
2015-12-31,1058.452
2016-01-29,1012.676
2016-02-29,996.014
2016-03-31,1094.655
2016-04-29,1149.566
2016-05-31,1122.168
2016-06-30,1020.653
2016-07-29,1050.11
2016-08-31,1117.67
2016-09-30,1111.223
2016-10-31,1095.347
2016-11-30,1056.904
2016-12-30,1097.658
2017-01-31,1142.486
2017-02-28,1107.984
2017-03-31,1135.248
2017-04-28,1167.882
2017-05-31,1233.497
2017-06-30,1221.025
2017-07-31,1346.315
2017-08-31,1326.449
2017-09-29,1361.779
