Date,NETHERLANDS MID VALUE Mid Cap
2001-01-01,378.075
2001-01-02,384.806
2001-01-03,376.776
2001-01-04,383.526
2001-01-05,385.757
2001-01-08,383.823
2001-01-09,382.911
2001-01-10,380.761
2001-01-11,389.981
2001-01-12,392.196
2001-01-15,391.441
2001-01-16,390.937
2001-01-17,390.555
2001-01-18,396.879
2001-01-19,393.914
2001-01-22,392.634
2001-01-23,396.056
2001-01-24,390.09
2001-01-25,392.645
2001-01-26,391.253
2001-01-29,388.581
2001-01-30,390.584
2001-01-31,399.813
2001-02-01,402.947
2001-02-02,398.144
2001-02-05,400.524
2001-02-06,397.529
2001-02-07,402.135
2001-02-08,396.237
2001-02-09,397.354
2001-02-12,403.806
2001-02-13,403.636
2001-02-14,398.255
2001-02-15,394.434
2001-02-16,402.555
2001-02-19,405.07
2001-02-20,400.019
2001-02-21,398.208
2001-02-22,391.827
2001-02-23,389.611
2001-02-26,392.014
2001-02-27,399.736
2001-02-28,397.096
2001-03-01,401.536
2001-03-02,404.632
2001-03-05,401.033
2001-03-06,400.845
2001-03-07,401.9
2001-03-08,404.717
2001-03-09,403.275
2001-03-12,398.043
2001-03-13,390.773
2001-03-14,381.042
2001-03-15,379.751
2001-03-16,371.877
2001-03-19,370.113
2001-03-20,371.896
2001-03-21,363.118
2001-03-22,342.951
2001-03-23,349.144
2001-03-26,351.459
2001-03-27,355.855
2001-03-28,356.093
2001-03-29,353.205
2001-03-30,354.155
2001-04-02,354.988
2001-04-03,351.872
2001-04-04,351.87
2001-04-05,353.702
2001-04-06,352.258
2001-04-09,353.105
2001-04-10,351.211
2001-04-11,353.37
2001-04-12,359.049
2001-04-13,359.049
2001-04-16,355.372
2001-04-17,350.789
2001-04-18,331.777
2001-04-19,335.733
2001-04-20,340.201
2001-04-23,336.787
2001-04-24,334.227
2001-04-25,336.02
2001-04-26,336.51
2001-04-27,333.689
2001-04-30,331.446
2001-05-01,338.802
2001-05-02,346.783
2001-05-03,346.388
2001-05-04,348.069
2001-05-07,348.133
2001-05-08,349.034
2001-05-09,350.195
2001-05-10,349.595
2001-05-11,348.231
2001-05-14,346.862
2001-05-15,349.097
2001-05-16,352.045
2001-05-17,350.124
2001-05-18,353.057
2001-05-21,352.934
2001-05-22,354.923
2001-05-23,350.838
2001-05-24,349.232
2001-05-25,348.533
2001-05-28,351.251
2001-05-29,348.869
2001-05-30,347.383
2001-05-31,343.531
2001-06-01,342.305
2001-06-04,342.77
2001-06-05,347.927
2001-06-06,344.836
2001-06-07,344.421
2001-06-08,342.129
2001-06-11,337.806
2001-06-12,337.596
2001-06-13,337.62
2001-06-14,335.63
2001-06-15,329.539
2001-06-18,329.029
2001-06-19,325.484
2001-06-20,315.997
2001-06-21,313.468
2001-06-22,313.549
2001-06-25,318.189
2001-06-26,315.663
2001-06-27,302.091
2001-06-28,302.304
2001-06-29,304.356
2001-07-02,298.646
2001-07-03,298.543
2001-07-04,298.533
2001-07-05,292.965
2001-07-06,291.228
2001-07-09,289.732
2001-07-10,292.67
2001-07-11,291.583
2001-07-12,291.076
2001-07-13,290.018
2001-07-16,287.678
2001-07-17,286.945
2001-07-18,290.28
2001-07-19,289.698
2001-07-20,290.793
2001-07-23,288.582
2001-07-24,290.466
2001-07-25,287.97
2001-07-26,285.981
2001-07-27,285.968
2001-07-30,288.48
2001-07-31,289.31
2001-08-01,293.167
2001-08-02,295.128
2001-08-03,297.241
2001-08-06,295.211
2001-08-07,294.972
2001-08-08,292.872
2001-08-09,293.198
2001-08-10,294.885
2001-08-13,296.774
2001-08-14,295.737
2001-08-15,297.418
2001-08-16,296.475
2001-08-17,295.399
2001-08-20,290.801
2001-08-21,291.513
2001-08-22,294.867
2001-08-23,291.104
2001-08-24,293.181
2001-08-27,292.842
2001-08-28,292.623
2001-08-29,293.312
2001-08-30,291.786
2001-08-31,289.48
2001-09-03,285.771
2001-09-04,277.744
2001-09-05,277.552
2001-09-06,276.326
2001-09-07,275.795
2001-09-10,270.158
2001-09-11,260.713
2001-09-12,258.238
2001-09-13,257.834
2001-09-14,252.933
2001-09-17,248.624
2001-09-18,242.874
2001-09-19,243.125
2001-09-20,232.321
2001-09-21,220.185
2001-09-24,228.453
2001-09-25,239.686
2001-09-26,238.226
2001-09-27,235.788
2001-09-28,242.12
2001-10-01,240.497
2001-10-02,235.267
2001-10-03,234.511
2001-10-04,238.877
2001-10-05,241.088
2001-10-08,244.48
2001-10-09,244.688
2001-10-10,248.604
2001-10-11,252.769
2001-10-12,251.294
2001-10-15,250.923
2001-10-16,251.106
2001-10-17,254.453
2001-10-18,250.842
2001-10-19,246.326
2001-10-22,243.755
2001-10-23,248.947
2001-10-24,252.673
2001-10-25,253.691
2001-10-26,254.431
2001-10-29,259.291
2001-10-30,256.506
2001-10-31,254.879
