Date,GERMANY LARGE GROWTH Large Cap
1994-05-31,265.18
1994-06-30,267.815
1994-07-29,280.55
1994-08-31,288.969
1994-09-30,271.65
1994-10-31,284.481
1994-11-30,269.294
1994-12-30,281.902
1995-01-31,275.108
1995-02-28,299.449
1995-03-31,292.607
1995-04-28,306.912
1995-05-31,312.729
1995-06-30,323.306
1995-07-31,344.544
1995-08-31,326.657
1995-09-29,332.384
1995-10-31,327.735
1995-11-30,328.214
1995-12-29,339.038
1996-01-31,350.638
1996-02-29,350.709
1996-03-29,344.322
1996-04-30,327.872
1996-05-31,333.228
1996-06-28,343.672
1996-07-31,343.393
1996-08-30,350.224
1996-09-30,350.527
1996-10-31,353.706
1996-11-29,360.496
1996-12-31,364.272
1997-01-31,355.437
1997-02-28,369.688
1997-03-31,398.958
1997-04-30,387.162
1997-05-30,403.628
1997-06-30,427.069
1997-07-31,457.068
1997-08-29,409.355
1997-09-30,432.339
1997-10-31,404.527
1997-11-28,419.455
1997-12-31,434.031
1998-01-30,464.882
1998-02-27,502.908
1998-03-31,528.755
1998-04-30,544.164
1998-05-29,584.142
1998-06-30,619.623
1998-07-31,645.709
1998-08-31,534.242
1998-09-30,520.963
1998-10-30,548.049
1998-11-30,591.17
1998-12-31,597.408
1999-01-29,594.571
1999-02-26,537.968
1999-03-31,517.321
1999-04-30,551.547
1999-05-31,509.19
1999-06-30,534.651
1999-07-30,535.609
1999-08-31,543.834
1999-09-30,555.949
1999-10-29,582.265
1999-11-30,618.163
1999-12-31,736.674
2000-01-31,759.518
2000-02-29,851.652
2000-03-31,842.657
2000-04-28,790.657
2000-05-31,759.1
2000-06-30,774.629
2000-07-31,751.893
2000-08-31,721.956
2000-09-29,664.641
2000-10-31,645.058
2000-11-30,576.065
2000-12-29,622.376
2001-01-31,643.597
2001-02-28,596.81
2001-03-30,522.753
2001-04-30,560.039
2001-05-31,526.672
2001-06-29,505.873
2001-07-31,502.971
2001-08-31,483.264
2001-09-28,391.973
2001-10-31,416.58
2001-11-30,457.357
2001-12-31,469.975
2002-01-31,453.751
2002-02-28,450.851
2002-03-29,486.193
2002-04-30,461.747
2002-05-31,449.978
2002-06-28,429.915
2002-07-31,359.49
2002-08-30,358.193
2002-09-30,256.198
2002-10-31,311.776
2002-11-29,328.164
2002-12-31,299.526
2003-01-31,289.225
2003-02-28,271.123
2003-03-31,262.797
2003-04-30,330.121
2003-05-30,351.77
2003-06-30,369.493
2003-07-31,388.855
2003-08-29,380.548
2003-09-30,383.819
2003-10-31,433.969
2003-11-28,460.535
2003-12-31,505.509
2004-01-30,517.338
2004-02-27,514.048
2004-03-31,490.772
2004-04-30,482.932
2004-05-31,482.895
2004-06-30,498.335
2004-07-30,476.816
2004-08-31,467.102
2004-09-30,495.483
2004-10-29,514.833
2004-11-30,559.553
2004-12-31,586.752
2005-01-31,557.224
2005-02-28,565.312
2005-03-31,553.124
2005-04-29,535.437
2005-05-31,545.048
2005-06-30,557.302
2005-07-29,574.129
2005-08-31,568.027
2005-09-30,577.918
2005-10-31,556.631
2005-11-30,587.592
2005-12-30,607.29
2006-01-31,660.571
2006-02-28,665.485
2006-03-31,710.497
2006-04-28,739.937
2006-05-31,728.949
2006-06-30,728.095
2006-07-31,702.347
2006-08-31,731.445
2006-09-29,753.108
2006-10-31,770.971
2006-11-30,823.058
2006-12-29,847.581
2007-01-31,865.166
2007-02-28,850.551
2007-03-30,879.373
2007-04-30,958.247
2007-05-31,1000.0
2007-06-29,1034.925
2007-07-31,1008.191
2007-08-31,1016.215
2007-09-28,1087.613
2007-10-31,1135.8
2007-11-30,1151.388
2007-12-31,1186.927
2008-01-31,1032.128
2008-02-29,1035.168
2008-03-31,1037.601
2008-04-30,1096.986
2008-05-30,1127.384
2008-06-30,1055.731
2008-07-31,1078.641
2008-08-29,996.616
2008-09-30,912.002
2008-10-31,775.468
2008-11-28,655.742
2008-12-31,714.367
2009-01-30,628.923
2009-02-27,551.025
2009-03-31,605.977
2009-04-30,668.08
2009-05-29,736.333
2009-06-30,721.446
2009-07-31,808.126
2009-08-31,772.54
2009-09-30,819.454
2009-10-30,807.802
2009-11-30,842.885
2009-12-31,857.227
2010-01-29,769.901
2010-02-26,740.408
2010-03-31,795.0
2010-04-30,802.876
2010-05-31,729.616
2010-06-30,743.091
2010-07-30,791.319
2010-08-31,743.338
2010-09-30,875.446
2010-10-29,927.403
2010-11-30,897.899
2010-12-31,953.338
2011-01-31,983.543
2011-02-28,1023.451
2011-03-31,1031.233
2011-04-29,1144.53
2011-05-31,1086.003
2011-06-30,1113.782
2011-07-29,1097.426
2011-08-31,915.112
2011-09-30,800.028
2011-10-31,939.165
2011-11-30,904.817
2011-12-30,842.797
2012-01-31,934.022
2012-02-29,1011.603
2012-03-30,1022.608
2012-04-30,1002.33
2012-05-31,868.906
2012-06-29,893.171
2012-07-31,934.975
2012-08-31,968.949
2012-09-28,1030.624
2012-10-31,1046.639
2012-11-30,1107.036
2012-12-31,1145.184
2013-01-31,1204.674
2013-02-28,1167.117
2013-03-29,1175.663
2013-04-30,1210.273
2013-05-31,1232.179
2013-06-28,1216.572
2013-07-31,1277.15
2013-08-30,1239.404
2013-09-30,1298.358
2013-10-31,1360.307
2013-11-29,1455.215
2013-12-31,1503.914
2014-01-31,1407.468
2014-02-28,1493.997
2014-03-31,1455.91
2014-04-30,1472.228
2014-05-30,1491.108
2014-06-30,1475.175
2014-07-31,1391.377
2014-08-29,1382.481
2014-09-30,1345.588
2014-10-31,1333.717
2014-11-28,1416.601
2014-12-31,1352.471
2015-01-30,1387.49
2015-02-27,1464.612
2015-03-31,1472.789
2015-04-30,1474.887
2015-05-29,1453.214
2015-06-30,1421.032
2015-07-31,1460.137
2015-08-31,1349.011
2015-09-30,1288.094
2015-10-30,1429.081
2015-11-30,1430.875
2015-12-31,1390.601
2016-01-29,1297.397
2016-02-29,1261.316
2016-03-31,1373.699
2016-04-29,1367.768
2016-05-31,1352.518
2016-06-30,1319.529
2016-07-29,1423.437
2016-08-31,1426.382
2016-09-30,1435.965
2016-10-31,1380.935
2016-11-30,1319.998
2016-12-30,1397.713
2017-01-31,1441.58
2017-02-28,1457.916
2017-03-31,1526.024
2017-04-28,1587.235
2017-05-31,1685.243
2017-06-30,1659.683
2017-07-31,1687.195
2017-08-31,1692.403
2017-09-29,1772.165
2017-10-31,1783.194
2017-11-30,1787.284
2017-12-29,1783.101
2018-01-31,1876.746
2018-02-28,1749.009
2018-03-30,1725.804
2018-04-30,1767.239
2018-05-31,1750.583
2018-06-29,1728.67
2018-07-31,1769.645
2018-08-31,1742.079
2018-09-28,1708.898
2018-10-31,1546.632
2018-11-30,1516.997
2018-12-31,1428.304
2019-01-31,1504.93
2019-02-28,1516.589
2019-03-29,1542.32
2019-04-30,1656.354
2019-05-31,1588.76
2019-06-28,1706.787
2019-07-31,1633.233
2019-08-30,1555.879
2019-09-30,1592.721
2019-10-31,1684.151
2019-11-29,1748.65
2019-12-31,1771.178
2020-01-31,1753.085
2020-02-28,1600.809
2020-03-31,1388.792
2020-04-30,1498.588
2020-05-29,1607.763
2020-06-30,1648.026
2020-07-31,1795.332
2020-08-31,1891.538
2020-09-30,1844.078
2020-10-30,1536.497
2020-11-30,1742.142
