Date,GERMANY LARGE GROWTH Large Cap
2001-01-01,606.863
2001-01-02,596.861
2001-01-03,607.321
2001-01-04,599.212
2001-01-05,596.635
2001-01-08,599.284
2001-01-09,598.14
2001-01-10,589.892
2001-01-11,608.569
2001-01-12,604.355
2001-01-15,601.35
2001-01-16,602.247
2001-01-17,612.553
2001-01-18,618.893
2001-01-19,612.635
2001-01-22,618.051
2001-01-23,623.153
2001-01-24,616.61
2001-01-25,614.404
2001-01-26,610.694
2001-01-29,612.299
2001-01-30,617.031
2001-01-31,627.554
2001-02-01,629.318
2001-02-02,621.815
2001-02-05,624.499
2001-02-06,622.706
2001-02-07,612.229
2001-02-08,608.315
2001-02-09,599.566
2001-02-12,609.513
2001-02-13,605.02
2001-02-14,594.882
2001-02-15,603.283
2001-02-16,598.78
2001-02-19,602.718
2001-02-20,593.413
2001-02-21,588.868
2001-02-22,579.311
2001-02-23,558.18
2001-02-26,568.239
2001-02-27,574.252
2001-02-28,582.578
2001-03-01,581.033
2001-03-02,583.129
2001-03-05,585.082
2001-03-06,593.479
2001-03-07,592.899
2001-03-08,593.413
2001-03-09,584.332
2001-03-12,566.993
2001-03-13,548.04
2001-03-14,532.773
2001-03-15,536.9
2001-03-16,512.288
2001-03-19,506.056
2001-03-20,522.594
2001-03-21,505.702
2001-03-22,477.467
2001-03-23,500.836
2001-03-26,518.94
2001-03-27,535.379
2001-03-28,513.416
2001-03-29,512.131
2001-03-30,510.287
2001-04-02,497.167
2001-04-03,476.468
2001-04-04,490.284
2001-04-05,507.049
2001-04-06,503.971
2001-04-09,507.196
2001-04-10,506.418
2001-04-11,510.617
2001-04-12,521.451
2001-04-13,521.451
2001-04-16,516.111
2001-04-17,505.991
2001-04-18,522.05
2001-04-19,535.426
2001-04-20,536.739
2001-04-23,524.426
2001-04-24,530.112
2001-04-25,535.894
2001-04-26,540.492
2001-04-27,539.278
2001-04-30,546.81
2001-05-01,549.709
2001-05-02,548.012
2001-05-03,538.878
2001-05-04,542.288
2001-05-07,539.796
2001-05-08,536.371
2001-05-09,529.063
2001-05-10,540.15
2001-05-11,532.366
2001-05-14,523.375
2001-05-15,527.688
2001-05-16,538.039
2001-05-17,538.601
2001-05-18,537.891
2001-05-21,541.139
2001-05-22,538.592
2001-05-23,531.012
2001-05-24,533.597
2001-05-25,528.879
2001-05-28,530.09
2001-05-29,519.723
2001-05-30,512.325
2001-05-31,514.543
2001-06-01,511.263
2001-06-04,518.616
2001-06-05,525.963
2001-06-06,522.377
2001-06-07,522.946
2001-06-08,524.73
2001-06-11,516.412
2001-06-12,509.63
2001-06-13,515.699
2001-06-14,511.962
2001-06-15,503.807
2001-06-18,499.793
2001-06-19,503.109
2001-06-20,492.314
2001-06-21,496.211
2001-06-22,499.93
2001-06-25,499.137
2001-06-26,494.253
2001-06-27,491.589
2001-06-28,492.717
2001-06-29,494.395
2001-07-02,496.808
2001-07-03,492.657
2001-07-04,487.22
2001-07-05,477.673
2001-07-06,469.494
2001-07-09,469.945
2001-07-10,469.133
2001-07-11,467.936
2001-07-12,472.18
