Date,GERMANY LARGE GROWTH Large Cap
1994-05-31,254.278
1994-06-30,256.933
1994-07-29,269.284
1994-08-31,277.38
1994-09-30,260.756
1994-10-31,273.144
1994-11-30,258.571
1994-12-30,270.764
1995-01-31,264.239
1995-02-28,287.693
1995-03-31,281.141
1995-04-28,294.963
1995-05-31,300.996
1995-06-30,311.333
1995-07-31,331.943
1995-08-31,314.722
1995-09-29,320.24
1995-10-31,315.85
1995-11-30,316.311
1995-12-29,326.866
1996-01-31,338.06
1996-02-29,338.197
1996-03-29,332.048
1996-04-30,316.192
1996-05-31,321.526
1996-06-28,331.749
1996-07-31,331.705
1996-08-30,338.304
1996-09-30,338.596
1996-10-31,341.756
1996-11-29,348.316
1996-12-31,352.052
1997-01-31,343.518
1997-02-28,357.407
1997-03-31,385.726
1997-04-30,374.338
1997-05-30,390.55
1997-06-30,413.678
1997-07-31,442.909
1997-08-29,396.686
1997-09-30,418.963
1997-10-31,392.011
1997-11-28,406.477
1997-12-31,420.706
1998-01-30,450.61
1998-02-27,487.643
1998-03-31,512.764
1998-04-30,527.736
1998-05-29,566.685
1998-06-30,601.403
1998-07-31,626.858
1998-08-31,518.646
1998-09-30,505.754
1998-10-30,532.064
1998-11-30,573.957
1998-12-31,580.014
1999-01-29,577.291
1999-02-26,522.49
1999-03-31,502.437
1999-04-30,535.711
1999-05-31,495.539
1999-06-30,520.427
1999-07-30,521.549
1999-08-31,529.558
1999-09-30,541.355
1999-10-29,566.98
1999-11-30,601.935
1999-12-31,717.337
2000-01-31,739.582
2000-02-29,829.531
2000-03-31,820.77
2000-04-28,770.187
2000-05-31,739.984
2000-06-30,755.155
2000-07-31,733.151
2000-08-31,703.96
2000-09-29,648.074
2000-10-31,628.979
2000-11-30,561.706
2000-12-29,606.863
2001-01-31,627.554
2001-02-28,582.578
2001-03-30,510.287
2001-04-30,546.81
2001-05-31,514.543
2001-06-29,494.395
2001-07-31,491.743
2001-08-31,472.476
2001-09-28,383.223
2001-10-31,407.28
2001-11-30,447.147
2001-12-31,459.483
2002-01-31,443.886
2002-02-28,441.049
2002-03-29,475.72
2002-04-30,451.899
2002-05-31,440.774
2002-06-28,421.357
2002-07-31,352.373
2002-08-30,351.102
2002-09-30,251.126
2002-10-31,305.604
2002-11-29,321.668
2002-12-31,293.597
2003-01-31,283.884
2003-02-28,266.116
2003-03-31,257.944
2003-04-30,324.37
2003-05-30,345.79
2003-06-30,363.589
2003-07-31,382.641
2003-08-29,374.467
2003-09-30,377.686
2003-10-31,427.034
2003-11-28,453.176
2003-12-31,497.431
2004-01-30,509.407
2004-02-27,506.168
2004-03-31,483.248
