Date,BELGIUM VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,112.742
1975-02-28,120.754
1975-03-31,118.165
1975-04-30,118.8
1975-05-30,118.662
1975-06-30,116.517
1975-07-31,106.958
1975-08-29,107.747
1975-09-30,97.407
1975-10-31,99.469
1975-11-28,106.189
1975-12-31,106.298
1976-01-30,113.214
1976-02-27,112.202
1976-03-31,108.625
1976-04-30,109.237
1976-05-31,105.502
1976-06-30,104.429
1976-07-30,104.137
1976-08-31,103.547
1976-09-30,103.163
1976-10-29,103.922
1976-11-30,110.859
1976-12-31,118.621
1977-01-31,114.574
1977-02-28,116.435
1977-03-31,114.078
1977-04-29,118.351
1977-05-31,116.993
1977-06-30,121.499
1977-07-29,124.759
1977-08-31,122.608
1977-09-30,121.037
1977-10-31,122.874
1977-11-30,120.954
1977-12-30,128.606
1978-01-31,131.151
1978-02-28,137.948
1978-03-31,140.605
1978-04-28,146.425
1978-05-31,138.652
1978-06-30,137.125
1978-07-31,142.192
1978-08-31,146.309
1978-09-29,152.475
1978-10-31,171.286
1978-11-30,157.934
1978-12-29,168.256
1979-01-31,176.261
1979-02-28,176.568
1979-03-30,180.655
1979-04-30,183.206
1979-05-31,180.872
1979-06-29,190.621
1979-07-31,193.479
1979-08-31,194.526
1979-09-28,203.731
1979-10-31,189.107
1979-11-30,196.45
1979-12-31,196.152
1980-01-31,197.399
1980-02-29,184.478
1980-03-31,161.241
1980-04-30,188.65
1980-05-30,187.494
1980-06-30,194.897
1980-07-31,194.709
1980-08-29,186.411
1980-09-30,177.685
1980-10-31,164.546
1980-11-28,153.885
1980-12-31,150.012
1981-01-30,141.132
1981-02-27,139.751
1981-03-31,133.371
1981-04-30,130.895
1981-05-29,113.232
1981-06-30,109.525
1981-07-31,97.567
1981-08-31,99.675
1981-09-30,99.662
1981-10-30,102.146
1981-11-30,106.096
1981-12-31,129.626
1982-01-29,140.619
1982-02-26,139.449
1982-03-31,129.796
1982-04-30,133.506
1982-05-31,123.17
1982-06-30,117.433
1982-07-30,125.386
1982-08-31,129.756
1982-09-30,131.653
1982-10-29,129.624
1982-11-30,133.527
1982-12-31,145.108
1983-01-31,146.813
1983-02-28,150.981
1983-03-31,171.118
1983-04-29,180.474
1983-05-31,175.108
1983-06-30,184.935
1983-07-29,190.354
1983-08-31,180.687
1983-09-30,182.484
1983-10-31,172.582
1983-11-30,173.809
1983-12-30,184.124
1984-01-31,190.763
1984-02-29,192.158
1984-03-30,202.607
1984-04-30,211.152
1984-05-31,201.858
1984-06-29,190.798
1984-07-31,188.161
1984-08-31,211.411
1984-09-28,204.217
1984-10-31,211.453
1984-11-30,205.035
1984-12-31,205.509
1985-01-31,199.431
1985-02-28,200.951
1985-03-29,222.162
1985-04-30,214.555
1985-05-31,229.75
1985-06-28,222.866
1985-07-31,245.379
1985-08-30,256.079
1985-09-30,285.352
1985-10-31,339.006
1985-11-29,376.666
1985-12-31,387.026
1986-01-31,382.18
1986-02-28,490.212
1986-03-31,512.86
1986-04-30,562.774
1986-05-30,514.483
1986-06-30,533.08
1986-07-31,542.364
1986-08-29,582.759
1986-09-30,585.663
1986-10-31,593.812
1986-11-28,640.345
1986-12-31,658.442
1987-01-30,704.162
1987-02-27,726.622
1987-03-31,756.648
1987-04-30,801.77
1987-05-29,752.28
1987-06-30,800.349
1987-07-31,850.805
1987-08-31,872.807
1987-09-30,822.757
1987-10-30,683.582
1987-11-30,693.719
1987-12-31,727.485
1988-01-29,758.036
1988-02-29,995.608
1988-03-31,998.602
1988-04-29,1020.946
1988-05-31,961.706
1988-06-30,965.302
1988-07-29,920.82
1988-08-31,929.71
1988-09-30,998.993
1988-10-31,1097.153
1988-11-30,1132.922
1988-12-30,1148.487
1989-01-31,1161.041
1989-02-28,1152.811
1989-03-31,1142.755
1989-04-28,1177.572
1989-05-31,1129.948
1989-06-30,1148.641
1989-07-31,1204.322
1989-08-31,1158.448
1989-09-29,1233.983
1989-10-31,1199.372
1989-11-30,1285.216
1989-12-29,1358.177
1990-01-31,1296.132
1990-02-28,1183.593
1990-03-30,1296.179
1990-04-30,1301.122
1990-05-31,1331.018
1990-06-29,1319.103
1990-07-31,1397.6
1990-08-31,1257.77
1990-09-28,1148.195
1990-10-31,1278.793
1990-11-30,1285.819
1990-12-31,1292.367
1991-01-31,1351.465
1991-02-28,1455.809
1991-03-29,1367.886
1991-04-30,1317.089
1991-05-31,1318.448
1991-06-28,1246.785
1991-07-31,1263.082
1991-08-30,1255.588
1991-09-30,1271.061
1991-10-31,1308.567
1991-11-29,1315.312
1991-12-31,1469.156
1992-01-31,1471.932
1992-02-28,1485.929
1992-03-31,1447.831
1992-04-30,1466.231
1992-05-29,1541.803
1992-06-30,1559.335
1992-07-31,1592.256
1992-08-31,1578.739
1992-09-30,1649.863
1992-10-30,1602.937
1992-11-30,1550.264
1992-12-31,1565.139
1993-01-29,1670.646
1993-02-26,1700.828
1993-03-31,1844.757
1993-04-30,1787.952
1993-05-31,1758.284
1993-06-30,1756.924
1993-07-30,1718.013
1993-08-31,1757.022
