Date,BELGIUM VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,112.896
1975-02-28,121.085
1975-03-31,118.668
1975-04-30,119.463
1975-05-30,119.485
1975-06-30,117.485
1975-07-31,107.991
1975-08-29,108.936
1975-09-30,98.644
1975-10-31,100.898
1975-11-28,107.86
1975-12-31,108.127
1976-01-30,115.311
1976-02-27,114.437
1976-03-31,110.924
1976-04-30,111.69
1976-05-31,108.01
1976-06-30,107.05
1976-07-30,106.89
1976-08-31,106.427
1976-09-30,106.174
1976-10-29,107.105
1976-11-30,114.393
1976-12-31,122.555
1977-01-31,118.524
1977-02-28,120.603
1977-03-31,118.317
1977-04-29,122.902
1977-05-31,121.662
1977-06-30,126.51
1977-07-29,130.074
1977-08-31,128.006
1977-09-30,126.543
1977-10-31,128.643
1977-11-30,126.818
1977-12-30,135.035
1978-01-31,137.901
1978-02-28,145.247
1978-03-31,148.253
1978-04-28,154.583
1978-05-31,146.589
1978-06-30,145.187
1978-07-31,150.757
1978-08-31,155.334
1978-09-29,162.093
1978-10-31,182.348
1978-11-30,168.361
1978-12-29,179.613
1979-01-31,188.392
1979-02-28,188.973
1979-03-30,193.558
1979-04-30,196.495
1979-05-31,194.197
1979-06-29,204.87
1979-07-31,208.16
1979-08-31,209.502
1979-09-28,219.729
1979-10-31,204.283
1979-11-30,212.545
1979-12-31,212.55
1980-01-31,214.237
1980-02-29,200.56
1980-03-31,175.629
1980-04-30,205.804
1980-05-30,204.926
1980-06-30,213.394
1980-07-31,213.569
1980-08-29,204.851
1980-09-30,195.65
1980-10-31,181.534
1980-11-28,170.134
1980-12-31,166.182
1981-01-30,156.655
1981-02-27,155.409
1981-03-31,148.628
1981-04-30,146.157
1981-05-29,126.751
1981-06-30,122.87
1981-07-31,109.727
1981-08-31,112.354
1981-09-30,112.631
1981-10-30,115.726
1981-11-30,120.497
1981-12-31,147.46
1982-01-29,160.222
1982-02-26,159.141
1982-03-31,148.369
1982-04-30,152.885
1982-05-31,141.322
1982-06-30,134.988
1982-07-30,144.377
1982-08-31,149.647
1982-09-30,152.053
1982-10-29,149.951
1982-11-30,154.718
1982-12-31,168.399
1983-01-31,170.65
1983-02-28,175.77
1983-03-31,199.48
1983-04-29,210.68
1983-05-31,204.719
1983-06-30,216.493
1983-07-29,223.114
1983-08-31,212.08
1983-09-30,214.497
1983-10-31,203.186
1983-11-30,204.926
1983-12-30,217.37
1984-01-31,225.482
1984-02-29,227.463
1984-03-30,240.226
1984-04-30,250.768
1984-05-31,240.185
1984-06-29,227.48
1984-07-31,224.754
1984-08-31,252.911
1984-09-28,244.701
1984-10-31,253.77
1984-11-30,246.484
1984-12-31,247.454
1985-01-31,240.556
1985-02-28,242.751
1985-03-29,268.797
1985-04-30,260.069
1985-05-31,278.928
1985-06-28,271.067
1985-07-31,298.958
1985-08-30,312.501
1985-09-30,348.718
1985-10-31,414.765
1985-11-29,461.378
1985-12-31,474.653
1986-01-31,469.331
1986-02-28,602.552
1986-03-31,630.974
1986-04-30,693.107
1986-05-30,634.335
1986-06-30,658.01
1986-07-31,670.255
1986-08-29,720.927
1986-09-30,725.299
1986-10-31,736.141
1986-11-28,794.612
1986-12-31,817.884
1987-01-30,875.548
1987-02-27,904.344
1987-03-31,942.623
1987-04-30,999.748
1987-05-29,939.066
1987-06-30,999.981
1987-07-31,1063.913
1987-08-31,1092.405
1987-09-30,1030.875
1987-10-30,857.921
1987-11-30,871.887
1987-12-31,915.56
1988-01-29,955.086
1988-02-29,1255.299
1988-03-31,1260.523
1988-04-29,1290.151
1988-05-31,1216.783
1988-06-30,1222.612
1988-07-29,1167.623
1988-08-31,1180.185
1988-09-30,1269.452
1988-10-31,1395.648
1988-11-30,1442.709
1988-12-30,1464.02
1989-01-31,1481.412
1989-02-28,1472.471
1989-03-31,1461.104
1989-04-28,1507.151
1989-05-31,1447.711
1989-06-30,1473.248
1989-07-31,1546.329
1989-08-31,1489.008
1989-09-29,1587.71
1989-10-31,1544.957
1989-11-30,1657.217
1989-12-29,1753.156
1990-01-31,1675.066
1990-02-28,1531.705
1990-03-30,1679.166
1990-04-30,1687.586
1990-05-31,1728.316
1990-06-29,1714.945
1990-07-31,1819.111
1990-08-31,1639.568
1990-09-28,1499.144
1990-10-31,1671.772
1990-11-30,1683.311
1990-12-31,1694.302
1991-01-31,1774.181
1991-02-28,1913.365
1991-03-29,1799.618
1991-04-30,1734.69
1991-05-31,1738.391
1991-06-28,1645.736
1991-07-31,1669.183
1991-08-30,1661.227
1991-09-30,1683.824
1991-10-31,1735.489
1991-11-29,1746.614
1991-12-31,1953.078
1992-01-31,1958.788
1992-02-28,1979.496
1992-03-31,1930.991
1992-04-30,1957.699
1992-05-29,2060.847
1992-06-30,2086.581
1992-07-31,2132.95
1992-08-31,2117.416
1992-09-30,2214.983
1992-10-30,2153.959
1992-11-30,2085.202
1992-12-31,2107.203
1993-01-29,2251.16
1993-02-26,2293.752
1993-03-31,2489.945
1993-04-30,2415.696
1993-05-31,2377.952
1993-06-30,2378.178
1993-07-30,2327.527
1993-08-31,2382.512
1993-09-30,2413.062
1993-10-29,2484.31
1993-11-30,2552.347
1993-12-31,2719.941
1994-01-31,2859.909
1994-02-28,2817.884
1994-03-31,2768.648
1994-04-29,2961.973
1994-05-31,2887.216
1994-06-30,2828.35
1994-07-29,2971.898
1994-08-31,3042.094
1994-09-30,2877.277
1994-10-31,2999.716
1994-11-30,3016.376
1994-12-30,3074.663
1995-01-31,3106.542
1995-02-28,3270.397
1995-03-31,3483.185
1995-04-28,3794.248
1995-05-31,3819.094
1995-06-30,3828.51
1995-07-31,3942.286
1995-08-31,3678.225
1995-09-29,3820.057
1995-10-31,3852.127
1995-11-30,3959.514
1995-12-29,4237.898
1996-01-31,4387.04
1996-02-29,4363.106
1996-03-29,4281.005
1996-04-30,4399.035
1996-05-31,4480.291
1996-06-28,4584.604
1996-07-31,4569.653
1996-08-30,4681.439
1996-09-30,4706.226
1996-10-31,4736.053
1996-11-29,4822.743
1996-12-31,4765.733
1997-01-31,4906.38
1997-02-28,5067.122
1997-03-31,5207.237
1997-04-30,5312.43
1997-05-30,5411.266
1997-06-30,5423.605
1997-07-31,5491.477
1997-08-29,5080.608
1997-09-30,5424.64
1997-10-31,5511.612
1997-11-28,5513.684
1997-12-31,5666.106
1998-01-30,5844.746
1998-02-27,6124.654
1998-03-31,6596.646
1998-04-30,7088.963
1998-05-29,7557.965
1998-06-30,7966.933
