Date,BELGIUM VALUE Standard (Large+Mid Cap)
2001-11-20,7059.387
2001-11-21,6989.042
2001-11-22,7061.19
2001-11-23,7035.274
2001-11-26,6976.486
2001-11-27,7030.145
2001-11-28,7028.179
2001-11-29,7109.634
2001-11-30,7383.423
2001-12-03,7252.056
2001-12-04,7268.879
2001-12-05,7365.764
2001-12-06,7473.542
2001-12-07,7480.178
2001-12-10,7405.01
2001-12-11,7387.457
2001-12-12,7377.697
2001-12-13,7383.665
2001-12-14,7506.269
2001-12-17,7510.682
2001-12-18,7617.368
2001-12-19,7721.741
2001-12-20,7593.977
2001-12-21,7677.717
2001-12-24,7627.407
2001-12-25,7627.407
2001-12-26,7633.922
2001-12-27,7882.766
2001-12-28,7912.86
2001-12-31,7990.032
2002-01-01,7990.032
2002-01-02,7971.716
2002-01-03,7882.034
2002-01-04,7680.43
2002-01-07,7556.669
2002-01-08,7563.144
2002-01-09,7602.622
2002-01-10,7534.035
2002-01-11,7495.447
2002-01-14,7396.167
2002-01-15,7460.625
2002-01-16,7340.462
2002-01-17,7496.179
2002-01-18,7535.744
2002-01-21,7519.041
2002-01-22,7511.568
2002-01-23,7588.087
2002-01-24,7649.006
2002-01-25,7493.749
2002-01-28,7568.236
2002-01-29,7530.718
2002-01-30,7319.339
2002-01-31,7369.495
2002-02-01,7369.818
2002-02-04,7422.859
2002-02-05,7299.79
2002-02-06,7290.53
2002-02-07,7353.12
2002-02-08,7397.836
2002-02-11,7556.524
2002-02-12,7528.85
2002-02-13,7499.747
2002-02-14,7574.256
2002-02-15,7551.483
2002-02-18,7452.777
2002-02-19,7121.966
2002-02-20,7064.073
2002-02-21,7056.309
2002-02-22,7020.227
2002-02-25,7078.008
2002-02-26,7057.252
2002-02-27,7089.785
2002-02-28,7181.531
2002-03-01,7297.732
2002-03-04,7389.627
2002-03-05,7415.519
2002-03-06,7440.921
2002-03-07,7442.227
2002-03-08,7401.797
2002-03-11,7425.884
2002-03-12,7356.976
2002-03-13,7343.529
2002-03-14,7340.239
2002-03-15,7289.383
2002-03-18,7361.655
2002-03-19,7444.741
2002-03-20,7387.19
2002-03-21,7364.311
2002-03-22,7374.44
2002-03-25,7380.381
2002-03-26,7418.725
2002-03-27,7384.257
2002-03-28,7386.886
2002-03-29,7386.886
2002-04-01,7447.428
2002-04-02,7401.81
2002-04-03,7461.521
2002-04-04,7560.434
2002-04-05,7512.248
2002-04-08,7415.594
2002-04-09,7396.417
2002-04-10,7498.205
2002-04-11,7517.07
2002-04-12,7558.523
2002-04-15,7639.288
2002-04-16,7783.103
2002-04-17,7875.406
2002-04-18,7900.106
2002-04-19,7932.656
2002-04-22,7968.45
2002-04-23,8009.267
2002-04-24,7990.713
2002-04-25,7878.248
2002-04-26,7724.214
2002-04-29,7614.886
2002-04-30,7761.222
2002-05-01,7805.148
2002-05-02,7660.369
2002-05-03,7773.593
2002-05-06,7835.048
2002-05-07,7674.099
2002-05-08,7829.65
