Date,BELGIUM VALUE Standard (Large+Mid Cap)
2001-01-01,5397.799
2001-01-02,5437.523
2001-01-03,5372.82
2001-01-04,5417.985
2001-01-05,5458.671
2001-01-08,5388.349
2001-01-09,5304.43
2001-01-10,5263.872
2001-01-11,5370.643
2001-01-12,5410.577
2001-01-15,5354.963
2001-01-16,5326.256
2001-01-17,5278.298
2001-01-18,5380.379
2001-01-19,5339.18
2001-01-22,5352.683
2001-01-23,5334.413
2001-01-24,5247.136
2001-01-25,5211.374
2001-01-26,5216.791
2001-01-29,5173.656
2001-01-30,5182.503
2001-01-31,5226.08
2001-02-01,5314.879
2001-02-02,5301.92
2001-02-05,5439.58
2001-02-06,5450.984
2001-02-07,5406.234
2001-02-08,5268.238
2001-02-09,5339.332
2001-02-12,5385.37
2001-02-13,5430.246
2001-02-14,5418.89
2001-02-15,5372.56
2001-02-16,5439.739
2001-02-19,5439.254
2001-02-20,5379.21
2001-02-21,5366.796
2001-02-22,5342.051
2001-02-23,5319.297
2001-02-26,5382.344
2001-02-27,5475.581
2001-02-28,5542.945
2001-03-01,5566.552
2001-03-02,5623.429
2001-03-05,5649.291
2001-03-06,5667.289
2001-03-07,5638.435
2001-03-08,5662.146
2001-03-09,5638.011
2001-03-12,5634.998
2001-03-13,5432.103
2001-03-14,5307.441
2001-03-15,5209.243
2001-03-16,5001.97
2001-03-19,4993.321
2001-03-20,5051.979
2001-03-21,4905.056
2001-03-22,4689.442
2001-03-23,4789.264
2001-03-26,4951.59
2001-03-27,5062.993
2001-03-28,5043.297
2001-03-29,5038.573
2001-03-30,5170.665
2001-04-02,5205.385
2001-04-03,5211.257
2001-04-04,5277.709
2001-04-05,5305.997
2001-04-06,5336.918
2001-04-09,5381.964
2001-04-10,5371.072
2001-04-11,5389.571
2001-04-12,5356.775
2001-04-13,5356.775
2001-04-16,5301.915
2001-04-17,5278.785
2001-04-18,5240.336
2001-04-19,5300.721
2001-04-20,5293.249
2001-04-23,5190.364
2001-04-24,5151.496
2001-04-25,5154.204
2001-04-26,5194.863
2001-04-27,5149.276
2001-04-30,5168.404
2001-05-01,5195.804
2001-05-02,5249.807
2001-05-03,5191.942
2001-05-04,5121.468
