Lion-MariBank SavePlus SGD (Acc)
"NAV Price","Dealing Date"
1.0301,"13-May-24"
1.0302,"14-May-24"
1.0304,"15-May-24"
1.0305,"16-May-24"
1.0305,"17-May-24"
1.0308,"20-May-24"
1.0310,"21-May-24"
1.0312,"23-May-24"
1.0313,"24-May-24"
1.0315,"27-May-24"
1.0317,"28-May-24"
1.0318,"29-May-24"
1.0319,"30-May-24"
1.0320,"31-May-24"
1.0323,"03-Jun-24"
1.0324,"04-Jun-24"
1.0325,"05-Jun-24"
1.0326,"06-Jun-24"
1.0327,"07-Jun-24"
1.0329,"10-Jun-24"
1.0331,"11-Jun-24"
1.0332,"12-Jun-24"
1.0333,"13-Jun-24"
1.0335,"14-Jun-24"
1.0338,"18-Jun-24"
1.0340,"19-Jun-24"
1.0341,"20-Jun-24"
1.0342,"21-Jun-24"
1.0344,"24-Jun-24"
1.0346,"25-Jun-24"
1.0347,"26-Jun-24"
1.0348,"27-Jun-24"
1.0349,"28-Jun-24"
1.0352,"01-Jul-24"
1.0353,"02-Jul-24"
1.0355,"03-Jul-24"
1.0355,"04-Jul-24"
1.0356,"05-Jul-24"
1.0359,"08-Jul-24"
1.0360,"09-Jul-24"
1.0361,"10-Jul-24"
1.0362,"11-Jul-24"
1.0363,"12-Jul-24"
1.0366,"15-Jul-24"
1.0367,"16-Jul-24"
1.0369,"17-Jul-24"
1.0370,"18-Jul-24"
1.0371,"19-Jul-24"
1.0374,"22-Jul-24"
1.0375,"23-Jul-24"
1.0376,"24-Jul-24"
1.0377,"25-Jul-24"
1.0378,"26-Jul-24"
1.0381,"29-Jul-24"
1.0382,"30-Jul-24"
1.0383,"31-Jul-24"
1.0384,"01-Aug-24"
1.0385,"02-Aug-24"
1.0388,"05-Aug-24"
1.0389,"06-Aug-24"
1.0391,"07-Aug-24"
1.0391,"08-Aug-24"
1.0394,"12-Aug-24"
1.0396,"13-Aug-24"
1.0397,"14-Aug-24"
1.0398,"15-Aug-24"
1.0399,"16-Aug-24"
1.0401,"19-Aug-24"
1.0403,"20-Aug-24"
1.0404,"21-Aug-24"
1.0405,"22-Aug-24"
1.0406,"23-Aug-24"
1.0409,"26-Aug-24"
1.0410,"27-Aug-24"
1.0412,"28-Aug-24"
1.0412,"29-Aug-24"
1.0414,"30-Aug-24"
1.0416,"02-Sep-24"
1.0417,"03-Sep-24"
1.0419,"04-Sep-24"
1.0419,"05-Sep-24"
1.0420,"06-Sep-24"
1.0423,"09-Sep-24"
1.0424,"10-Sep-24"
1.0426,"11-Sep-24"
1.0426,"12-Sep-24"
1.0427,"13-Sep-24"
1.0429,"16-Sep-24"
1.0431,"17-Sep-24"
1.0432,"18-Sep-24"
1.0433,"19-Sep-24"
1.0434,"20-Sep-24"
1.0436,"23-Sep-24"
1.0437,"24-Sep-24"
1.0439,"25-Sep-24"
1.0439,"26-Sep-24"
1.0440,"27-Sep-24"
1.0443,"30-Sep-24"
1.0444,"01-Oct-24"
1.0445,"02-Oct-24"
1.0446,"03-Oct-24"
1.0446,"04-Oct-24"
1.0448,"07-Oct-24"
1.0449,"08-Oct-24"
1.0450,"09-Oct-24"
1.0451,"10-Oct-24"
1.0452,"11-Oct-24"
1.0454,"14-Oct-24"
1.0456,"15-Oct-24"
1.0457,"16-Oct-24"
1.0458,"17-Oct-24"
1.0459,"18-Oct-24"
1.0461,"21-Oct-24"
1.0463,"22-Oct-24"
1.0463,"23-Oct-24"
1.0464,"24-Oct-24"
1.0465,"25-Oct-24"
1.0467,"28-Oct-24"
1.0468,"29-Oct-24"
1.0469,"30-Oct-24"
1.0470,"01-Nov-24"
1.0473,"04-Nov-24"
1.0474,"05-Nov-24"
1.0475,"06-Nov-24"
1.0476,"07-Nov-24"
1.0477,"08-Nov-24"
