date,open,high,low,close,volume
2011-09-09,10.0,10.0,10.0,10.0,0.0
2011-09-12,10.0,10.0,10.0,10.0,0.0
2011-09-13,10.11,10.11,10.11,10.11,0.0
2011-09-14,10.27,10.27,10.27,10.27,0.0
2011-09-15,10.42,10.42,10.42,10.42,0.0
2011-09-16,10.52,10.52,10.52,10.52,0.0
2011-09-17,10.39,10.39,10.39,10.39,0.0
2011-09-19,10.39,10.39,10.39,10.39,0.0
2011-09-20,10.37,10.37,10.37,10.37,0.0
2011-09-21,10.27,10.27,10.27,10.27,0.0
2011-09-22,9.89,9.89,9.89,9.89,0.0
2011-09-23,9.75,9.75,9.75,9.75,0.0
2011-09-26,9.88,9.88,9.88,9.88,0.0
2011-09-27,10.11,10.11,10.11,10.11,0.0
2011-09-28,10.06,10.06,10.06,10.06,0.0
2011-09-29,10.03,10.03,10.03,10.03,0.0
2011-09-30,9.86,9.86,9.86,9.86,0.0
2011-10-03,9.66,9.66,9.66,9.66,0.0
2011-10-04,9.59,9.59,9.59,9.59,0.0
2011-10-05,9.78,9.78,9.78,9.78,0.0
2011-10-06,10.08,10.08,10.08,10.08,0.0
2011-10-07,10.03,10.03,10.03,10.03,0.0
2011-10-10,10.16,10.16,10.16,10.16,0.0
2011-10-11,10.25,10.25,10.25,10.25,0.0
2011-10-12,10.36,10.36,10.36,10.36,0.0
2011-10-13,10.36,10.36,10.36,10.36,0.0
2011-10-14,10.38,10.38,10.38,10.38,0.0
2011-10-17,10.37,10.37,10.37,10.37,0.0
2011-10-18,10.3,10.3,10.3,10.3,0.0
2011-10-19,10.35,10.35,10.35,10.35,0.0
2011-10-20,10.28,10.28,10.28,10.28,0.0
2011-10-21,10.29,10.29,10.29,10.29,0.0
2011-10-24,10.46,10.46,10.46,10.46,0.0
2011-10-25,10.46,10.46,10.46,10.46,0.0
2011-10-26,10.47,10.47,10.47,10.47,0.0
2011-10-27,10.83,10.83,10.83,10.83,0.0
2011-10-28,10.85,10.85,10.85,10.85,0.0
2011-10-31,10.64,10.64,10.64,10.64,0.0
2011-11-01,10.28,10.28,10.28,10.28,0.0
2011-11-02,10.31,10.31,10.31,10.31,0.0
2011-11-03,10.45,10.45,10.45,10.45,0.0
2011-11-04,10.49,10.49,10.49,10.49,0.0
2011-11-07,10.4,10.4,10.4,10.4,0.0
2011-11-08,10.51,10.51,10.51,10.51,0.0
2011-11-09,10.27,10.27,10.27,10.27,0.0
2011-11-10,10.3,10.3,10.3,10.3,0.0
2011-11-11,10.36,10.36,10.36,10.36,0.0
2011-11-14,10.41,10.41,10.41,10.41,0.0
2011-11-15,10.36,10.36,10.36,10.36,0.0
2011-11-16,10.34,10.34,10.34,10.34,0.0
2011-11-17,10.22,10.22,10.22,10.22,0.0
2011-11-18,10.16,10.16,10.16,10.16,0.0
2011-11-21,9.99,9.99,9.99,9.99,0.0
2011-11-22,10.0,10.0,10.0,10.0,0.0
2011-11-23,9.82,9.82,9.82,9.82,0.0
2011-11-24,9.82,9.82,9.82,9.82,0.0
2011-11-25,9.71,9.71,9.71,9.71,0.0
2011-11-28,10.01,10.01,10.01,10.01,0.0
2011-11-29,10.07,10.07,10.07,10.07,0.0
2011-11-30,10.29,10.29,10.29,10.29,0.0
2011-12-01,10.41,10.41,10.41,10.41,0.0
2011-12-02,10.53,10.53,10.53,10.53,0.0
2011-12-05,10.59,10.59,10.59,10.59,0.0
2011-12-06,10.58,10.58,10.58,10.58,0.0
2011-12-07,10.59,10.59,10.59,10.59,0.0
2011-12-08,10.41,10.41,10.41,10.41,0.0
2011-12-09,10.43,10.43,10.43,10.43,0.0
2011-12-12,10.34,10.34,10.34,10.34,0.0
2011-12-13,10.28,10.28,10.28,10.28,0.0
2011-12-14,10.14,10.14,10.14,10.14,0.0
2011-12-15,10.11,10.11,10.11,10.11,0.0
2011-12-16,10.15,10.15,10.15,10.15,0.0
2011-12-19,10.08,10.08,10.08,10.08,0.0
2011-12-20,10.1,10.1,10.1,10.1,0.0
2011-12-21,10.23,10.23,10.23,10.23,0.0
2011-12-22,10.27,10.27,10.27,10.27,0.0
2011-12-23,10.38,10.38,10.38,10.38,0.0
2011-12-28,10.36,10.36,10.36,10.36,0.0
2011-12-29,10.43,10.43,10.43,10.43,0.0
2011-12-30,10.44,10.44,10.44,10.44,0.0
2012-01-03,10.5,10.5,10.5,10.5,0.0
2012-01-04,10.51,10.51,10.51,10.51,0.0
2012-01-05,10.49,10.49,10.49,10.49,0.0
2012-01-06,10.52,10.52,10.52,10.52,0.0
2012-01-09,10.52,10.52,10.52,10.52,0.0
2012-01-10,10.66,10.66,10.66,10.66,0.0
2012-01-11,10.71,10.71,10.71,10.71,0.0
2012-01-12,10.83,10.83,10.83,10.83,0.0
2012-01-13,10.8,10.8,10.8,10.8,0.0
2012-01-16,10.8,10.8,10.8,10.8,0.0
2012-01-17,10.87,10.87,10.87,10.87,0.0
2012-01-18,10.92,10.92,10.92,10.92,0.0
2012-01-19,10.98,10.98,10.98,10.98,0.0
2012-01-20,10.99,10.99,10.99,10.99,0.0
2012-01-23,11.03,11.03,11.03,11.03,0.0
2012-01-24,10.95,10.95,10.95,10.95,0.0
2012-01-25,10.99,10.99,10.99,10.99,0.0
2012-01-26,11.05,11.05,11.05,11.05,0.0
2012-01-27,11.04,11.04,11.04,11.04,0.0
2012-01-30,10.94,10.94,10.94,10.94,0.0
2012-01-31,10.97,10.97,10.97,10.97,0.0
2012-02-01,11.05,11.05,11.05,11.05,0.0
2012-02-02,11.1,11.1,11.1,11.1,0.0
2012-02-03,11.21,11.21,11.21,11.21,0.0
2012-02-06,11.24,11.24,11.24,11.24,0.0
2012-02-07,11.22,11.22,11.22,11.22,0.0
2012-02-08,11.33,11.33,11.33,11.33,0.0
