LionGlobal SGD Money Market Fund Class A SGD (Acc)
"NAV Price","Dealing Date"
1.4233,"13-May-24"
1.4234,"14-May-24"
1.4236,"15-May-24"
1.4236,"16-May-24"
1.4239,"17-May-24"
1.4242,"20-May-24"
1.4244,"21-May-24"
1.4246,"23-May-24"
1.4248,"24-May-24"
1.4254,"27-May-24"
1.4254,"28-May-24"
1.4256,"29-May-24"
1.4257,"30-May-24"
1.4259,"31-May-24"
1.4262,"03-Jun-24"
1.4264,"04-Jun-24"
1.4265,"05-Jun-24"
1.4266,"06-Jun-24"
1.4268,"07-Jun-24"
1.4273,"10-Jun-24"
1.4275,"11-Jun-24"
1.4276,"12-Jun-24"
1.4276,"13-Jun-24"
1.4277,"14-Jun-24"
1.4284,"18-Jun-24"
1.4285,"19-Jun-24"
1.4286,"20-Jun-24"
1.4288,"21-Jun-24"
1.4293,"24-Jun-24"
1.4294,"25-Jun-24"
1.4296,"26-Jun-24"
1.4297,"27-Jun-24"
1.4300,"28-Jun-24"
1.4304,"01-Jul-24"
1.4305,"02-Jul-24"
1.4306,"03-Jul-24"
1.4307,"04-Jul-24"
1.4309,"05-Jul-24"
1.4314,"08-Jul-24"
1.4315,"09-Jul-24"
1.4316,"10-Jul-24"
1.4317,"11-Jul-24"
1.4319,"12-Jul-24"
1.4324,"15-Jul-24"
1.4326,"16-Jul-24"
1.4328,"17-Jul-24"
1.4328,"18-Jul-24"
1.4331,"19-Jul-24"
1.4334,"22-Jul-24"
1.4336,"23-Jul-24"
1.4338,"24-Jul-24"
1.4339,"25-Jul-24"
1.4340,"26-Jul-24"
1.4344,"29-Jul-24"
1.4346,"30-Jul-24"
1.4347,"31-Jul-24"
1.4348,"01-Aug-24"
1.4349,"02-Aug-24"
1.4353,"05-Aug-24"
1.4353,"06-Aug-24"
1.4354,"07-Aug-24"
1.4356,"08-Aug-24"
1.4363,"12-Aug-24"
1.4363,"13-Aug-24"
1.4363,"14-Aug-24"
1.4365,"15-Aug-24"
1.4367,"16-Aug-24"
1.4371,"19-Aug-24"
1.4373,"20-Aug-24"
1.4374,"21-Aug-24"
1.4375,"22-Aug-24"
1.4378,"23-Aug-24"
1.4383,"26-Aug-24"
1.4383,"27-Aug-24"
1.4384,"28-Aug-24"
1.4386,"29-Aug-24"
1.4388,"30-Aug-24"
1.4392,"02-Sep-24"
1.4392,"03-Sep-24"
1.4393,"04-Sep-24"
1.4393,"05-Sep-24"
1.4396,"06-Sep-24"
1.4400,"09-Sep-24"
1.4401,"10-Sep-24"
1.4402,"11-Sep-24"
1.4405,"12-Sep-24"
1.4406,"13-Sep-24"
1.4411,"16-Sep-24"
1.4412,"17-Sep-24"
1.4413,"18-Sep-24"
1.4416,"19-Sep-24"
1.4417,"20-Sep-24"
1.4420,"23-Sep-24"
1.4421,"24-Sep-24"
1.4422,"25-Sep-24"
1.4424,"26-Sep-24"
1.4427,"27-Sep-24"
1.4431,"30-Sep-24"
1.4432,"01-Oct-24"
1.4433,"02-Oct-24"
1.4434,"03-Oct-24"
1.4435,"04-Oct-24"
1.4438,"07-Oct-24"
1.4439,"08-Oct-24"
1.4440,"09-Oct-24"
1.4442,"10-Oct-24"
1.4444,"11-Oct-24"
1.4448,"14-Oct-24"
1.4450,"15-Oct-24"
1.4451,"16-Oct-24"
1.4452,"17-Oct-24"
1.4453,"18-Oct-24"
1.4458,"21-Oct-24"
1.4458,"22-Oct-24"
1.4459,"23-Oct-24"
1.4460,"24-Oct-24"
1.4462,"25-Oct-24"
1.4465,"28-Oct-24"
1.4466,"29-Oct-24"
1.4467,"30-Oct-24"
1.4470,"01-Nov-24"
1.4473,"04-Nov-24"
1.4474,"05-Nov-24"
1.4477,"06-Nov-24"
1.4479,"07-Nov-24"
