date,rate
1955-01-01,2.5
1963-01-01,5
1964-01-01,5.25
1967-01-01,5.5
1970-01-01,5.75
1974-01-01,6.5
1986-03-01,5.78
1986-07-01,5.38
1987-01-01,4.34
1987-06-30,4.34
