date,NAV
04-02-2009,$1
05-02-2009,$1.00001
06-02-2009,$1.00002
09-02-2009,$1.00006
10-02-2009,$1.00008
11-02-2009,$1.00009
12-02-2009,$1.00011
13-02-2009,$1.00012
16-02-2009,$1.00017
17-02-2009,$1.00018
18-02-2009,$1.0002
19-02-2009,$1.00021
20-02-2009,$1.00022
23-02-2009,$1.00027
24-02-2009,$1.00029
25-02-2009,$1.0003
26-02-2009,$1.00032
27-02-2009,$1.00034
02-03-2009,$1.00039
03-03-2009,$1.0004
04-03-2009,$1.00042
05-03-2009,$1.00044
06-03-2009,$1.00045
09-03-2009,$1.00051
10-03-2009,$1.00053
11-03-2009,$1.00054
12-03-2009,$1.00056
13-03-2009,$1.00059
16-03-2009,$1.00065
17-03-2009,$1.00067
18-03-2009,$1.00069
19-03-2009,$1.00072
20-03-2009,$1.00074
23-03-2009,$1.0008
24-03-2009,$1.00082
25-03-2009,$1.00084
26-03-2009,$1.00086
27-03-2009,$1.00088
30-03-2009,$1.00094
31-03-2009,$1.00096
01-04-2009,$1.00098
02-04-2009,$1.001
03-04-2009,$1.00102
06-04-2009,$1.00108
07-04-2009,$1.0011
08-04-2009,$1.00112
09-04-2009,$1.00113
13-04-2009,$1.00121
14-04-2009,$1.00123
15-04-2009,$1.00125
16-04-2009,$1.00127
17-04-2009,$1.0013
20-04-2009,$1.00136
21-04-2009,$1.0014
22-04-2009,$1.00139
23-04-2009,$1.00141
24-04-2009,$1.00143
27-04-2009,$1.00148
28-04-2009,$1.0015
29-04-2009,$1.00152
30-04-2009,$1.00154
04-05-2009,$1.00162
05-05-2009,$1.00164
06-05-2009,$1.0017
07-05-2009,$1.0017
08-05-2009,$1.0017
11-05-2009,$1.00176
12-05-2009,$1.00178
13-05-2009,$1.0018
14-05-2009,$1.00182
15-05-2009,$1.00184
18-05-2009,$1.00191
19-05-2009,$1.00193
21-05-2009,$1.00197
22-05-2009,$1.00199
25-05-2009,$1.00206
26-05-2009,$1.00208
27-05-2009,$1.00211
28-05-2009,$1.00213
29-05-2009,$1.00215
01-06-2009,$1.00222
