Date,Open,High,Low,Close,Volume
1999-12-31,211.74,211.74,211.74,211.74,0.0
2000-03-31,214.27,214.27,214.27,214.27,0.0
2000-05-31,200.0,200.0,200.0,200.0,0.0
2000-06-01,203.42,203.42,203.42,203.42,0.0
2000-06-02,208.38,208.38,208.38,208.38,0.0
2000-06-05,208.15,208.15,208.15,208.15,0.0
2000-06-06,208.21,208.21,208.21,208.21,0.0
2000-06-07,208.75,208.75,208.75,208.75,0.0
2000-06-08,207.78,207.78,207.78,207.78,0.0
2000-06-09,207.27,207.27,207.27,207.27,0.0
2000-06-12,206.81,206.81,206.81,206.81,0.0
2000-06-13,208.42,208.42,208.42,208.42,0.0
2000-06-14,208.56,208.56,208.56,208.56,0.0
2000-06-15,207.95,207.95,207.95,207.95,0.0
2000-06-16,207.18,207.18,207.18,207.18,0.0
2000-06-19,209.17,209.17,209.17,209.17,0.0
2000-06-20,209.27,209.27,209.27,209.27,0.0
2000-06-21,209.01,209.01,209.01,209.01,0.0
2000-06-22,206.46,206.46,206.46,206.46,0.0
2000-06-23,205.02,205.02,205.02,205.02,0.0
2000-06-26,205.49,205.49,205.49,205.49,0.0
2000-06-27,205.64,205.64,205.64,205.64,0.0
2000-06-28,206.49,206.49,206.49,206.49,0.0
2000-06-29,205.11,205.11,205.11,205.11,0.0
2000-06-30,206.8,206.8,206.8,206.8,0.0
2000-07-03,208.46,208.46,208.46,208.46,0.0
2000-07-04,208.46,208.46,208.46,208.46,0.0
2000-07-05,206.7,206.7,206.7,206.7,0.0
2000-07-06,207.18,207.18,207.18,207.18,0.0
2000-07-07,209.44,209.44,209.44,209.44,0.0
2000-07-10,209.71,209.71,209.71,209.71,0.0
2000-07-11,209.92,209.92,209.92,209.92,0.0
2000-07-12,210.52,210.52,210.52,210.52,0.0
2000-07-13,210.08,210.08,210.08,210.08,0.0
2000-07-14,211.57,211.57,211.57,211.57,0.0
2000-07-17,211.73,211.73,211.73,211.73,0.0
2000-07-18,209.22,209.22,209.22,209.22,0.0
2000-07-19,207.78,207.78,207.78,207.78,0.0
2000-07-20,209.53,209.53,209.53,209.53,0.0
2000-07-21,207.76,207.76,207.76,207.76,0.0
2000-07-24,206.42,206.42,206.42,206.42,0.0
2000-07-25,207.21,207.21,207.21,207.21,0.0
2000-07-26,205.73,205.73,205.73,205.73,0.0
2000-07-27,204.11,204.11,204.11,204.11,0.0
2000-07-28,200.24,200.24,200.24,200.24,0.0
2000-07-31,201.48,201.48,201.48,201.48,0.0
2000-08-01,202.48,202.48,202.48,202.48,0.0
2000-08-02,202.22,202.22,202.22,202.22,0.0
2000-08-03,201.89,201.89,201.89,201.89,0.0
2000-08-04,203.2,203.2,203.2,203.2,0.0
2000-08-07,205.03,205.03,205.03,205.03,0.0
2000-08-08,204.85,204.85,204.85,204.85,0.0
2000-08-09,204.99,204.99,204.99,204.99,0.0
2000-08-10,204.48,204.48,204.48,204.48,0.0
2000-08-11,205.42,205.42,205.42,205.42,0.0
2000-08-14,207.19,207.19,207.19,207.19,0.0
2000-08-15,207.38,207.38,207.38,207.38,0.0
2000-08-16,207.45,207.45,207.45,207.45,0.0
2000-08-17,208.28,208.28,208.28,208.28,0.0
2000-08-18,207.79,207.79,207.79,207.79,0.0
2000-08-21,207.89,207.89,207.89,207.89,0.0
2000-08-22,208.16,208.16,208.16,208.16,0.0
2000-08-23,208.71,208.71,208.71,208.71,0.0
2000-08-24,209.33,209.33,209.33,209.33,0.0
2000-08-25,209.82,209.82,209.82,209.82,0.0
2000-08-28,210.48,210.48,210.48,210.48,0.0
2000-08-29,209.87,209.87,209.87,209.87,0.0
2000-08-30,208.75,208.75,208.75,208.75,0.0
2000-08-31,209.85,209.85,209.85,209.85,0.0
2000-09-01,211.94,211.94,211.94,211.94,0.0
2000-09-04,212.42,212.42,212.42,212.42,0.0
2000-09-05,209.97,209.97,209.97,209.97,0.0
2000-09-06,207.88,207.88,207.88,207.88,0.0
2000-09-07,208.2,208.2,208.2,208.2,0.0
2000-09-08,206.64,206.64,206.64,206.64,0.0
2000-09-11,205.35,205.35,205.35,205.35,0.0
