Date,HONG KONG SMALL GROWTH Small Cap
1994-05-31,435.02
1994-06-30,413.274
1994-07-29,433.348
1994-08-31,438.639
1994-09-30,447.112
1994-10-31,439.007
1994-11-30,389.41
1994-12-30,378.448
1995-01-31,336.679
1995-02-28,357.118
1995-03-31,365.096
1995-04-28,362.764
1995-05-31,398.955
1995-06-30,408.262
1995-07-31,433.533
1995-08-31,435.748
1995-09-29,455.015
1995-10-31,449.286
1995-11-30,447.833
1995-12-29,455.475
1996-01-31,495.332
1996-02-29,511.112
1996-03-29,504.246
1996-04-30,505.248
1996-05-31,521.042
1996-06-28,528.551
1996-07-31,520.916
1996-08-30,531.795
1996-09-30,541.301
1996-10-31,583.036
1996-11-29,624.21
1996-12-31,632.819
1997-01-31,625.612
1997-02-28,641.803
1997-03-31,612.127
1997-04-30,611.1
1997-05-30,655.296
1997-06-30,692.053
1997-07-31,727.997
1997-08-29,710.64
1997-09-30,693.351
1997-10-31,469.675
1997-11-28,464.632
1997-12-31,456.634
1998-01-30,321.254
1998-02-27,439.556
1998-03-31,430.454
1998-04-30,405.138
1998-05-29,347.277
1998-06-30,310.926
1998-07-31,289.183
1998-08-31,240.053
1998-09-30,256.912
1998-10-30,295.803
1998-11-30,336.405
1998-12-31,315.2
1999-01-29,293.797
1999-02-26,296.792
1999-03-31,308.886
1999-04-30,363.9
1999-05-31,358.018
1999-06-30,405.165
1999-07-30,423.307
1999-08-31,409.832
1999-09-30,414.269
1999-10-29,409.344
1999-11-30,441.061
1999-12-31,456.387
2000-01-31,443.37
2000-02-29,453.943
2000-03-31,444.694
2000-04-28,427.472
2000-05-31,373.42
2000-06-30,393.523
2000-07-31,387.048
2000-08-31,392.235
2000-09-29,343.571
2000-10-31,313.253
2000-11-30,299.373
2000-12-29,305.055
2001-01-31,330.025
2001-02-28,335.652
2001-03-30,296.996
2001-04-30,321.625
2001-05-31,339.27
2001-06-29,323.258
2001-07-31,303.303
2001-08-31,289.859
2001-09-28,255.335
2001-10-31,274.104
2001-11-30,293.165
2001-12-31,293.49
2002-01-31,305.596
2002-02-28,314.526
2002-03-29,329.676
2002-04-30,348.861
2002-05-31,356.266
2002-06-28,343.987
2002-07-31,307.486
2002-08-30,287.529
2002-09-30,260.433
2002-10-31,264.62
2002-11-29,283.057
2002-12-31,271.755
2003-01-31,278.095
