Date,GERMANY LARGE VALUE Large Cap
2001-01-01,569.768
2001-01-02,566.512
2001-01-03,577.085
2001-01-04,576.65
2001-01-05,584.195
2001-01-08,578.936
2001-01-09,569.713
2001-01-10,564.058
2001-01-11,581.441
2001-01-12,586.848
2001-01-15,587.348
2001-01-16,582.624
2001-01-17,587.184
2001-01-18,597.24
2001-01-19,591.647
2001-01-22,591.945
2001-01-23,599.001
2001-01-24,583.346
2001-01-25,582.407
2001-01-26,582.445
2001-01-29,586.355
2001-01-30,587.528
2001-01-31,593.443
2001-02-01,590.198
2001-02-02,578.794
2001-02-05,583.067
2001-02-06,584.851
2001-02-07,577.342
2001-02-08,572.687
2001-02-09,563.869
2001-02-12,573.755
2001-02-13,567.226
2001-02-14,559.507
2001-02-15,552.011
2001-02-16,546.331
2001-02-19,552.634
2001-02-20,543.627
2001-02-21,535.635
2001-02-22,528.639
2001-02-23,516.841
2001-02-26,527.995
2001-02-27,537.935
2001-02-28,537.905
2001-03-01,536.152
2001-03-02,546.475
2001-03-05,546.606
2001-03-06,552.529
2001-03-07,551.942
2001-03-08,550.886
2001-03-09,548.51
2001-03-12,534.968
2001-03-13,523.19
2001-03-14,502.703
2001-03-15,511.969
2001-03-16,496.157
2001-03-19,489.338
2001-03-20,500.572
2001-03-21,482.358
2001-03-22,454.493
2001-03-23,469.691
2001-03-26,485.98
2001-03-27,507.137
2001-03-28,497.982
2001-03-29,500.585
2001-03-30,499.767
2001-04-02,495.378
2001-04-03,484.688
2001-04-04,496.093
2001-04-05,501.902
2001-04-06,498.959
2001-04-09,509.325
2001-04-10,517.788
2001-04-11,514.05
2001-04-12,521.992
2001-04-13,521.992
2001-04-16,516.646
2001-04-17,511.241
2001-04-18,524.151
2001-04-19,532.702
2001-04-20,535.597
2001-04-23,529.91
2001-04-24,533.223
2001-04-25,531.496
2001-04-26,534.501
2001-04-27,532.136
2001-04-30,533.496
2001-05-01,536.324
2001-05-02,531.737
2001-05-03,522.881
2001-05-04,528.156
2001-05-07,524.245
2001-05-08,518.831
2001-05-09,515.996
2001-05-10,521.289
2001-05-11,515.676
2001-05-14,508.512
2001-05-15,512.005
2001-05-16,519.171
2001-05-17,520.793
2001-05-18,518.739
2001-05-21,522.566
2001-05-22,520.028
2001-05-23,510.994
2001-05-24,514.083
2001-05-25,508.148
2001-05-28,509.254
2001-05-29,497.476
2001-05-30,494.386
2001-05-31,493.756
2001-06-01,496.734
2001-06-04,499.096
2001-06-05,500.918
2001-06-06,493.771
2001-06-07,496.217
2001-06-08,493.619
2001-06-11,490.027
2001-06-12,490.253
2001-06-13,497.322
2001-06-14,496.691
2001-06-15,490.838
2001-06-18,486.865
2001-06-19,487.025
2001-06-20,484.661
2001-06-21,489.2
2001-06-22,490.945
2001-06-25,492.866
2001-06-26,490.222
2001-06-27,488.932
2001-06-28,497.124
2001-06-29,507.596
2001-07-02,513.168
2001-07-03,508.561
2001-07-04,506.609
2001-07-05,503.165
2001-07-06,498.425
2001-07-09,504.26
2001-07-10,504.989
2001-07-11,509.516
2001-07-12,509.244
2001-07-13,513.474
2001-07-16,509.92
2001-07-17,508.754
2001-07-18,511.637
2001-07-19,514.845
2001-07-20,517.044
2001-07-23,513.076
2001-07-24,506.834
2001-07-25,500.244
2001-07-26,504.368
2001-07-27,509.439
2001-07-30,514.983
2001-07-31,518.569
2001-08-01,514.653
2001-08-02,507.79
2001-08-03,506.403
2001-08-06,505.608
2001-08-07,501.536
2001-08-08,480.827
2001-08-09,478.71
2001-08-10,474.403
2001-08-13,475.454
2001-08-14,481.812
2001-08-15,479.691
2001-08-16,471.903
2001-08-17,460.958
2001-08-20,461.024
2001-08-21,460.212
2001-08-22,462.287
2001-08-23,461.481
2001-08-24,473.038
2001-08-27,472.153
2001-08-28,464.306
2001-08-29,465.562
2001-08-30,453.303
2001-08-31,455.169
2001-09-03,448.37
2001-09-04,449.439
2001-09-05,438.181
