Date,GERMANY LARGE VALUE Large Cap
1994-05-31,291.442
1994-06-30,288.47
1994-07-29,302.903
1994-08-31,313.553
1994-09-30,294.207
1994-10-31,313.118
1994-11-30,296.257
1994-12-30,304.647
1995-01-31,302.744
1995-02-28,323.719
1995-03-31,320.154
1995-04-28,328.917
1995-05-31,330.339
1995-06-30,337.992
1995-07-31,353.87
1995-08-31,335.196
1995-09-29,338.689
1995-10-31,339.917
1995-11-30,338.85
1995-12-29,347.289
1996-01-31,362.394
1996-02-29,369.569
1996-03-29,375.361
1996-04-30,364.561
1996-05-31,375.129
1996-06-28,380.845
1996-07-31,382.29
1996-08-30,391.975
1996-09-30,394.79
1996-10-31,401.12
1996-11-29,425.829
1996-12-31,428.568
1997-01-31,426.782
1997-02-28,439.609
1997-03-31,464.448
1997-04-30,442.805
1997-05-30,464.175
1997-06-30,472.088
1997-07-31,522.796
1997-08-29,481.629
1997-09-30,525.995
1997-10-31,488.774
1997-11-28,499.3
1997-12-31,524.457
1998-01-30,510.576
1998-02-27,535.406
1998-03-31,578.178
1998-04-30,602.149
1998-05-29,644.925
1998-06-30,657.741
1998-07-31,652.749
1998-08-31,551.052
1998-09-30,556.627
1998-10-30,571.08
1998-11-30,577.831
1998-12-31,601.956
1999-01-29,625.424
1999-02-26,592.886
1999-03-31,580.713
1999-04-30,610.558
1999-05-31,589.081
1999-06-30,622.41
1999-07-30,611.725
1999-08-31,625.939
1999-09-30,595.778
1999-10-29,631.041
1999-11-30,619.339
1999-12-31,710.968
2000-01-31,623.696
2000-02-29,674.369
2000-03-31,665.55
2000-04-28,605.799
2000-05-31,603.701
2000-06-30,592.857
2000-07-31,596.151
2000-08-31,563.524
2000-09-29,536.392
2000-10-31,553.679
2000-11-30,523.762
2000-12-29,569.768
2001-01-31,593.443
2001-02-28,537.905
2001-03-30,499.767
2001-04-30,533.496
2001-05-31,493.756
2001-06-29,507.596
2001-07-31,518.569
2001-08-31,455.169
2001-09-28,397.38
2001-10-31,407.472
2001-11-30,438.737
2001-12-31,445.597
2002-01-31,424.933
2002-02-28,417.046
2002-03-29,448.651
2002-04-30,440.217
2002-05-31,443.244
2002-06-28,443.68
2002-07-31,372.336
2002-08-30,381.347
2002-09-30,309.199
2002-10-31,319.106
2002-11-29,335.79
2002-12-31,310.196
2003-01-31,306.131
2003-02-28,283.407
2003-03-31,266.354
2003-04-30,328.062
2003-05-30,349.446
2003-06-30,368.706
2003-07-31,390.248
2003-08-29,381.328
2003-09-30,367.031
2003-10-31,404.661
2003-11-28,428.368
2003-12-31,485.546
2004-01-30,482.774
2004-02-27,476.532
2004-03-31,448.795
2004-04-30,458.874
2004-05-31,460.612
2004-06-30,474.921
2004-07-30,451.231
2004-08-31,440.482
2004-09-30,459.7
2004-10-29,483.173
2004-11-30,525.246
2004-12-31,558.033
2005-01-31,534.391
2005-02-28,558.799
2005-03-31,546.032
2005-04-29,516.909
2005-05-31,526.251
2005-06-30,528.659
2005-07-29,572.884
2005-08-31,572.905
2005-09-30,587.809
2005-10-31,572.303
2005-11-30,589.617
2005-12-30,614.506
2006-01-31,657.747
2006-02-28,660.287
2006-03-31,681.772
2006-04-28,711.622
2006-05-31,680.188
2006-06-30,673.047
2006-07-31,681.64
2006-08-31,699.429
2006-09-29,703.958
2006-10-31,749.979
2006-11-30,778.438
2006-12-29,817.427
2007-01-31,821.894
2007-02-28,838.803
2007-03-30,872.674
2007-04-30,955.385
2007-05-31,1000.0
2007-06-29,1007.916
2007-07-31,958.137
2007-08-31,961.787
2007-09-28,1038.696
2007-10-31,1091.845
2007-11-30,1063.767
2007-12-31,1064.004
2008-01-31,913.337
2008-02-29,931.576
2008-03-31,953.24
2008-04-30,968.684
2008-05-30,967.388
2008-06-30,870.392
2008-07-31,848.469
2008-08-29,803.324
2008-09-30,663.945
2008-10-31,468.263
2008-11-28,462.162
2008-12-31,533.419
2009-01-30,427.092
