Date,GERMANY LARGE VALUE Large Cap
2001-01-01,544.735
2001-01-02,541.622
2001-01-03,551.73
2001-01-04,551.315
2001-01-05,558.528
2001-01-08,553.5
2001-01-09,544.682
2001-01-10,539.276
2001-01-11,555.895
2001-01-12,561.065
2001-01-15,561.543
2001-01-16,557.026
2001-01-17,561.385
2001-01-18,570.999
2001-01-19,565.652
2001-01-22,565.938
2001-01-23,572.683
2001-01-24,557.716
2001-01-25,556.818
2001-01-26,556.855
2001-01-29,560.593
2001-01-30,561.715
2001-01-31,567.37
2001-02-01,564.267
2001-02-02,553.364
2001-02-05,557.45
2001-02-06,559.155
2001-02-07,551.976
2001-02-08,547.525
2001-02-09,539.095
2001-02-12,548.547
2001-02-13,542.304
2001-02-14,534.924
2001-02-15,527.758
2001-02-16,522.327
2001-02-19,528.354
2001-02-20,519.743
2001-02-21,512.101
2001-02-22,505.412
2001-02-23,494.134
2001-02-26,504.797
2001-02-27,514.3
2001-02-28,514.272
2001-03-01,512.595
2001-03-02,522.465
2001-03-05,522.705
2001-03-06,528.369
2001-03-07,527.808
2001-03-08,526.797
2001-03-09,524.525
2001-03-12,511.576
2001-03-13,500.312
2001-03-14,480.721
2001-03-15,489.583
2001-03-16,474.462
2001-03-19,467.941
2001-03-20,478.684
2001-03-21,461.266
2001-03-22,434.62
2001-03-23,449.153
2001-03-26,464.73
2001-03-27,484.962
2001-03-28,476.207
2001-03-29,478.696
2001-03-30,477.914
2001-04-02,473.717
2001-04-03,463.494
2001-04-04,474.401
2001-04-05,479.956
2001-04-06,477.141
2001-04-09,487.054
2001-04-10,495.147
2001-04-11,491.573
2001-04-12,499.838
2001-04-13,499.838
2001-04-16,494.719
2001-04-17,489.544
2001-04-18,501.905
2001-04-19,510.094
2001-04-20,512.866
2001-04-23,507.42
2001-04-24,510.593
2001-04-25,508.939
2001-04-26,511.816
2001-04-27,509.907
2001-04-30,511.21
2001-05-01,513.92
2001-05-02,509.843
2001-05-03,501.352
2001-05-04,506.41
2001-05-07,502.66
2001-05-08,497.469
2001-05-09,494.75
2001-05-10,499.825
2001-05-11,494.444
2001-05-14,487.716
2001-05-15,491.065
2001-05-16,497.938
2001-05-17,499.494
2001-05-18,497.75
2001-05-21,501.766
2001-05-22,499.329
