Date,GERMANY LARGE VALUE Large Cap
1994-05-31,269.02
1994-06-30,266.354
1994-07-29,279.75
1994-08-31,289.586
1994-09-30,271.719
1994-10-31,289.184
1994-11-30,273.611
1994-12-30,281.501
1995-01-31,279.743
1995-02-28,299.279
1995-03-31,296.035
1995-04-28,304.525
1995-05-31,306.919
1995-06-30,314.188
1995-07-31,328.994
1995-08-31,311.64
1995-09-29,314.887
1995-10-31,316.029
1995-11-30,315.037
1995-12-29,323.059
1996-01-31,337.12
1996-02-29,343.921
1996-03-29,349.644
1996-04-30,339.844
1996-05-31,351.122
1996-06-28,356.626
1996-07-31,357.997
1996-08-30,367.086
1996-09-30,369.742
1996-10-31,375.67
1996-11-29,398.812
1996-12-31,401.598
1997-01-31,399.937
1997-02-28,412.031
1997-03-31,435.373
1997-04-30,415.106
1997-05-30,436.685
1997-06-30,444.417
1997-07-31,492.158
1997-08-29,453.431
1997-09-30,495.214
1997-10-31,460.171
1997-11-28,470.081
1997-12-31,493.959
1998-01-30,480.885
1998-02-27,504.271
1998-03-31,544.599
1998-04-30,567.178
1998-05-29,609.117
1998-06-30,622.224
1998-07-31,617.647
1998-08-31,521.441
1998-09-30,526.717
1998-10-30,540.394
1998-11-30,546.782
1998-12-31,569.61
1999-01-29,591.818
1999-02-26,561.028
1999-03-31,549.607
1999-04-30,578.16
1999-05-31,559.714
1999-06-30,591.568
1999-07-30,581.48
1999-08-31,594.992
1999-09-30,566.322
1999-10-29,599.841
1999-11-30,588.904
1999-12-31,676.029
2000-01-31,593.047
2000-02-29,641.229
2000-03-31,632.843
2000-04-28,577.026
2000-05-31,576.535
2000-06-30,566.467
2000-07-31,569.726
2000-08-31,538.545
2000-09-29,512.659
2000-10-31,529.181
2000-11-30,500.75
2000-12-29,544.735
2001-01-31,567.37
2001-02-28,514.272
2001-03-30,477.914
2001-04-30,511.21
2001-05-31,474.813
2001-06-29,488.579
2001-07-31,499.167
2001-08-31,438.139
2001-09-28,382.512
2001-10-31,392.227
2001-11-30,422.322
2001-12-31,428.925
2002-01-31,409.035
2002-02-28,401.442
2002-03-29,431.962
2002-04-30,424.549
2002-05-31,428.89
2002-06-28,429.402
2002-07-31,360.354
2002-08-30,369.074
2002-09-30,299.248
2002-10-31,308.836
2002-11-29,324.983
2002-12-31,300.213
2003-01-31,296.279
2003-02-28,274.286
2003-03-31,257.782
2003-04-30,318.755
2003-05-30,340.822
2003-06-30,359.762
2003-07-31,380.782
2003-08-29,372.078
2003-09-30,358.128
2003-10-31,394.845
2003-11-28,417.977
2003-12-31,473.767
2004-01-30,471.244
2004-02-27,465.15
2004-03-31,438.076
2004-04-30,449.615
2004-05-31,451.789
2004-06-30,466.135
2004-07-30,442.883
2004-08-31,432.334
2004-09-30,451.196
2004-10-29,474.234
2004-11-30,515.529
2004-12-31,547.71
2005-01-31,524.722
2005-02-28,548.689
2005-03-31,536.153
2005-04-29,509.407
2005-05-31,519.423
2005-06-30,521.799
2005-07-29,565.451
2005-08-31,565.472
2005-09-30,580.182
2005-10-31,564.878
2005-11-30,581.966
2005-12-30,606.533
2006-01-31,649.579
2006-02-28,652.088
2006-03-31,673.307
2006-04-28,703.511
2006-05-31,675.591
2006-06-30,669.0
2006-07-31,677.542
2006-08-31,695.223
2006-09-29,699.726
2006-10-31,745.47
2006-11-30,773.757
2006-12-29,812.512
2007-01-31,817.103
2007-02-28,833.914
2007-03-30,867.587
2007-04-30,951.484
2007-05-31,1000.0
2007-06-29,1007.916
2007-07-31,958.137
2007-08-31,961.787
2007-09-28,1038.696
2007-10-31,1091.845
2007-11-30,1063.767
2007-12-31,1064.004
2008-01-31,913.625
2008-02-29,931.87
2008-03-31,953.541
2008-04-30,972.255
2008-05-30,976.647
2008-06-30,878.764
2008-07-31,856.63
2008-08-29,811.051
2008-09-30,670.332
2008-10-31,472.767
2008-11-28,466.607
2008-12-31,538.55
2009-01-30,431.425
2009-02-27,376.652
2009-03-31,420.777
2009-04-30,508.852
2009-05-29,558.339
2009-06-30,539.045
2009-07-31,603.735
2009-08-31,656.112
2009-09-30,688.735
2009-10-30,658.519
2009-11-30,692.213
2009-12-31,700.219
2010-01-29,640.113
2010-02-26,630.449
2010-03-31,692.216
2010-04-30,669.449
2010-05-31,599.599
2010-06-30,592.104
2010-07-30,655.089
2010-08-31,616.381
2010-09-30,681.136
2010-10-29,739.999
2010-11-30,695.754
2010-12-31,746.138
2011-01-31,791.195
2011-02-28,813.435
2011-03-31,804.286
2011-04-29,901.962
2011-05-31,836.4
2011-06-30,852.114
2011-07-29,807.367
2011-08-31,636.705
2011-09-30,568.54
2011-10-31,655.951
2011-11-30,625.204
2011-12-30,585.51
2012-01-31,643.472
2012-02-29,699.289
2012-03-30,703.764
2012-04-30,675.203
2012-05-31,584.015
2012-06-29,625.214
2012-07-31,629.017
2012-08-31,673.43
2012-09-28,709.13
2012-10-31,719.621
2012-11-30,716.882
2012-12-31,751.449
2013-01-31,791.759
2013-02-28,749.248
2013-03-29,729.647
2013-04-30,768.227
2013-05-31,810.685
2013-06-28,760.467
2013-07-31,816.414
2013-08-30,794.995
2013-09-30,883.424
2013-10-31,939.399
2013-11-29,966.129
2013-12-31,988.774
2014-01-31,950.236
2014-02-28,1013.859
2014-03-31,1002.078
2014-04-30,1015.276
2014-05-30,1034.981
2014-06-30,1032.468
2014-07-31,960.859
2014-08-29,948.152
2014-09-30,901.056
2014-10-31,872.668
2014-11-28,930.628
2014-12-31,883.549
2015-01-30,890.786
2015-02-27,951.356
2015-03-31,956.202
2015-04-30,949.732
2015-05-29,909.35
2015-06-30,877.805
2015-07-31,896.643
2015-08-31,821.023
2015-09-30,739.364
2015-10-30,827.888
2015-11-30,831.029
2015-12-31,805.194
2016-01-29,709.993
2016-02-29,692.701
2016-03-31,766.58
2016-04-29,792.307
2016-05-31,789.976
2016-06-30,714.413
2016-07-29,761.212
2016-08-31,794.169
2016-09-30,790.311
2016-10-31,803.752
2016-11-30,786.976
2016-12-30,853.956
2017-01-31,876.723
2017-02-28,879.452
2017-03-31,915.762
2017-04-28,934.507
2017-05-31,956.4
2017-06-30,946.656
2017-07-31,963.752
2017-08-31,962.237
2017-09-29,1031.805
2017-10-31,1056.189
2017-11-30,1072.838
2017-12-29,1067.379
2018-01-31,1142.334
2018-02-28,1043.418
2018-03-30,1020.596
2018-04-30,1046.527
2018-05-31,979.205
2018-06-29,939.077
2018-07-31,996.051
2018-08-31,926.974
2018-09-28,926.317
2018-10-31,870.62
2018-11-30,860.439
2018-12-31,815.65
2019-01-31,870.856
2019-02-28,896.542
