Date,FRANCE SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,101.116
2001-01-03,99.98
2001-01-04,100.848
2001-01-05,101.262
2001-01-08,100.255
2001-01-09,98.504
2001-01-10,97.805
2001-01-11,99.286
2001-01-12,100.775
2001-01-15,100.559
2001-01-16,100.367
2001-01-17,99.591
2001-01-18,101.392
2001-01-19,101.691
2001-01-22,102.65
2001-01-23,103.153
2001-01-24,101.467
2001-01-25,102.157
2001-01-26,102.35
2001-01-29,101.536
2001-01-30,102.746
2001-01-31,104.34
2001-02-01,106.544
2001-02-02,106.129
2001-02-05,106.4
2001-02-06,105.962
2001-02-07,105.778
2001-02-08,104.556
2001-02-09,104.708
2001-02-12,105.648
2001-02-13,104.525
2001-02-14,104.031
2001-02-15,103.144
2001-02-16,103.928
2001-02-19,104.156
2001-02-20,102.75
2001-02-21,102.345
2001-02-22,101.369
2001-02-23,100.824
2001-02-26,101.421
2001-02-27,102.95
2001-02-28,102.847
2001-03-01,103.348
2001-03-02,103.632
2001-03-05,106.123
2001-03-06,107.679
2001-03-07,107.388
2001-03-08,108.001
2001-03-09,107.178
2001-03-12,105.58
2001-03-13,102.822
2001-03-14,101.058
2001-03-15,101.06
2001-03-16,99.228
2001-03-19,98.739
2001-03-20,100.135
2001-03-21,97.782
2001-03-22,93.713
2001-03-23,96.119
2001-03-26,97.409
2001-03-27,98.163
2001-03-28,97.264
2001-03-29,96.253
2001-03-30,97.314
2001-04-02,97.078
2001-04-03,95.924
2001-04-04,98.266
2001-04-05,100.828
2001-04-06,100.685
2001-04-09,100.269
2001-04-10,98.19
2001-04-11,97.385
2001-04-12,98.825
2001-04-13,98.825
2001-04-16,97.813
2001-04-17,97.047
2001-04-18,97.351
2001-04-19,99.237
2001-04-20,100.091
2001-04-23,99.688
2001-04-24,99.818
2001-04-25,100.858
2001-04-26,101.286
2001-04-27,100.771
2001-04-30,101.14
2001-05-01,101.676
2001-05-02,102.154
2001-05-03,103.306
2001-05-04,102.789
2001-05-07,103.178
2001-05-08,102.665
2001-05-09,102.215
2001-05-10,101.845
2001-05-11,101.329
2001-05-14,101.27
2001-05-15,102.384
2001-05-16,102.424
2001-05-17,102.932
2001-05-18,102.742
2001-05-21,102.349
2001-05-22,100.96
2001-05-23,100.097
2001-05-24,99.819
2001-05-25,99.562
2001-05-28,100.52
2001-05-29,99.407
2001-05-30,99.79
2001-05-31,99.949
2001-06-01,100.038
2001-06-04,100.174
2001-06-05,101.647
2001-06-06,101.259
2001-06-07,100.836
2001-06-08,101.092
2001-06-11,100.64
2001-06-12,100.681
2001-06-13,100.082
2001-06-14,99.964
2001-06-15,99.92
2001-06-18,98.739
2001-06-19,98.564
2001-06-20,97.11
2001-06-21,96.451
2001-06-22,96.373
2001-06-25,96.042
2001-06-26,96.169
2001-06-27,95.337
2001-06-28,94.441
2001-06-29,94.633
2001-07-02,95.135
2001-07-03,95.363
2001-07-04,95.688
2001-07-05,93.761
2001-07-06,93.504
2001-07-09,94.258
2001-07-10,94.805
2001-07-11,93.822
2001-07-12,92.97
2001-07-13,92.745
2001-07-16,93.115
2001-07-17,92.703
2001-07-18,94.048
2001-07-19,94.075
2001-07-20,94.404
2001-07-23,93.925
2001-07-24,94.105
2001-07-25,93.402
2001-07-26,92.781
2001-07-27,92.94
2001-07-30,93.45
2001-07-31,93.723
2001-08-01,93.867
2001-08-02,94.378
2001-08-03,95.131
2001-08-06,94.398
2001-08-07,93.856
2001-08-08,93.381
2001-08-09,92.986
2001-08-10,93.44
2001-08-13,93.959
2001-08-14,94.413
2001-08-15,96.34
2001-08-16,96.428
2001-08-17,96.333
2001-08-20,95.375
2001-08-21,95.189
2001-08-22,96.036
2001-08-23,95.291
2001-08-24,95.203
2001-08-27,95.46
2001-08-28,95.79
2001-08-29,95.827
2001-08-30,95.352
2001-08-31,94.538
2001-09-03,92.61
2001-09-04,90.776
2001-09-05,89.61
2001-09-06,86.8
2001-09-07,87.412
2001-09-10,84.184
2001-09-11,79.563
2001-09-12,77.684
2001-09-13,77.009
2001-09-14,72.308
2001-09-17,72.124
2001-09-18,72.044
2001-09-19,71.764
2001-09-20,68.13
2001-09-21,64.366
2001-09-24,68.07
2001-09-25,70.94
2001-09-26,72.672
2001-09-27,71.336
2001-09-28,71.939
2001-10-01,72.795
2001-10-02,73.149
2001-10-03,73.559
2001-10-04,75.911
2001-10-05,76.058
2001-10-08,75.98
2001-10-09,76.988
2001-10-10,77.699
2001-10-11,80.134
2001-10-12,80.34
2001-10-15,78.977
2001-10-16,79.781
2001-10-17,81.663
2001-10-18,79.672
2001-10-19,79.551
2001-10-22,79.898
2001-10-23,81.665
2001-10-24,82.624
2001-10-25,81.851
2001-10-26,83.122
2001-10-29,84.148
2001-10-30,82.609
2001-10-31,82.523
2001-11-01,82.878
2001-11-02,83.317
2001-11-05,83.798
2001-11-06,83.924
2001-11-07,85.036
2001-11-08,86.428
2001-11-09,85.131
2001-11-12,83.695
2001-11-13,85.519
2001-11-14,86.752
2001-11-15,87.474
2001-11-16,88.575
2001-11-19,90.593
2001-11-20,90.04
2001-11-21,87.555
2001-11-22,88.864
2001-11-23,88.201
2001-11-26,88.93
2001-11-27,88.826
2001-11-28,88.832
2001-11-29,88.959
2001-11-30,90.014
2001-12-03,88.197
2001-12-04,88.931
2001-12-05,90.978
2001-12-06,92.371
2001-12-07,92.315
2001-12-10,91.448
2001-12-11,91.239
2001-12-12,91.539
2001-12-13,89.708
2001-12-14,89.31
2001-12-17,90.092
2001-12-18,89.922
2001-12-19,88.954
2001-12-20,87.774
2001-12-21,86.707
2001-12-24,86.22
2001-12-25,86.22
2001-12-26,86.294
2001-12-27,87.581
2001-12-28,87.308
2001-12-31,88.16
2002-01-01,88.16
2002-01-02,90.672
2002-01-03,92.451
2002-01-04,92.355
2002-01-07,92.704
2002-01-08,92.307
2002-01-09,94.094
2002-01-10,94.387
2002-01-11,94.835
2002-01-14,95.299
2002-01-15,94.455
2002-01-16,93.154
2002-01-17,93.421
2002-01-18,93.447
2002-01-21,92.447
2002-01-22,93.208
2002-01-23,92.995
2002-01-24,93.838
2002-01-25,92.243
2002-01-28,92.703
2002-01-29,91.986
2002-01-30,90.989
2002-01-31,92.781
2002-02-01,93.47
2002-02-04,93.793
2002-02-05,92.768
2002-02-06,91.854
2002-02-07,91.64
2002-02-08,90.987
2002-02-11,92.726
2002-02-12,92.487
2002-02-13,91.939
2002-02-14,92.486
2002-02-15,91.667
2002-02-18,91.282
2002-02-19,90.61
2002-02-20,89.098
2002-02-21,89.698
2002-02-22,89.191
2002-02-25,88.879
2002-02-26,90.035
2002-02-27,91.457
2002-02-28,91.993
2002-03-01,92.92
2002-03-04,95.567
2002-03-05,95.789
2002-03-06,96.649
2002-03-07,98.065
2002-03-08,98.373
2002-03-11,98.724
2002-03-12,97.362
2002-03-13,97.503
2002-03-14,98.577
2002-03-15,98.905
2002-03-18,99.262
2002-03-19,99.511
2002-03-20,98.862
2002-03-21,98.192
2002-03-22,98.589
2002-03-25,98.192
2002-03-26,98.4
2002-03-27,98.033
2002-03-28,99.208
2002-03-29,99.208
2002-04-01,100.022
2002-04-02,99.772
2002-04-03,98.947
2002-04-04,97.79
2002-04-05,97.476
2002-04-08,96.227
2002-04-09,97.126
2002-04-10,98.29
2002-04-11,97.32
2002-04-12,96.982
2002-04-15,98.045
2002-04-16,98.536
2002-04-17,99.139
2002-04-18,99.089
2002-04-19,98.839
2002-04-22,97.959
2002-04-23,97.803
2002-04-24,98.083
2002-04-25,98.042
2002-04-26,97.875
2002-04-29,97.52
2002-04-30,97.671
2002-05-01,98.224
2002-05-02,97.141
2002-05-03,97.778
2002-05-06,97.437
2002-05-07,95.64
2002-05-08,97.592
2002-05-09,97.864
2002-05-10,98.098
2002-05-13,97.95
2002-05-14,98.244
2002-05-15,98.741
2002-05-16,99.19
2002-05-17,100.298
2002-05-20,99.776
2002-05-21,98.617
2002-05-22,97.906
2002-05-23,96.631
2002-05-24,96.265
2002-05-27,95.945
2002-05-28,96.558
2002-05-29,96.442
2002-05-30,95.86
2002-05-31,96.455
2002-06-03,96.132
2002-06-04,94.97
2002-06-05,94.428
2002-06-06,95.053
2002-06-07,93.812
2002-06-10,94.149
2002-06-11,93.942
2002-06-12,92.977
2002-06-13,92.02
2002-06-14,89.919
2002-06-17,91.158
2002-06-18,92.365
2002-06-19,92.132
2002-06-20,91.671
2002-06-21,91.452
2002-06-24,89.133
2002-06-25,89.386
2002-06-26,89.121
2002-06-27,89.707
2002-06-28,92.542
2002-07-01,92.987
2002-07-02,90.565
2002-07-03,88.515
2002-07-04,88.193
2002-07-05,89.646
2002-07-08,90.964
2002-07-09,91.866
2002-07-10,89.931
2002-07-11,87.765
2002-07-12,88.224
2002-07-15,88.283
2002-07-16,87.011
2002-07-17,87.773
2002-07-18,88.728
2002-07-19,87.857
2002-07-22,84.922
2002-07-23,82.174
2002-07-24,78.696
2002-07-25,81.919
2002-07-26,79.692
2002-07-29,80.785
2002-07-30,82.403
2002-07-31,82.312
2002-08-01,82.26
2002-08-02,81.326
2002-08-05,80.632
2002-08-06,78.08
2002-08-07,78.233
2002-08-08,78.637
2002-08-09,79.784
2002-08-12,79.103
2002-08-13,79.045
2002-08-14,78.677
2002-08-15,78.706
2002-08-16,79.05
2002-08-19,78.74
2002-08-20,79.282
2002-08-21,80.566
2002-08-22,80.871
2002-08-23,81.059
2002-08-26,81.293
2002-08-27,82.609
2002-08-28,82.116
2002-08-29,81.468
2002-08-30,81.06
2002-09-02,81.486
2002-09-03,80.802
2002-09-04,80.187
2002-09-05,78.968
2002-09-06,78.794
2002-09-09,77.977
2002-09-10,77.309
2002-09-11,77.902
2002-09-12,77.483
2002-09-13,76.36
2002-09-16,74.532
2002-09-17,74.696
2002-09-18,72.743
2002-09-19,71.197
2002-09-20,70.658
2002-09-23,68.487
2002-09-24,66.568
2002-09-25,67.404
2002-09-26,68.883
2002-09-27,69.467
2002-09-30,67.001
2002-10-01,66.24
2002-10-02,66.988
2002-10-03,66.978
2002-10-04,65.021
2002-10-07,63.723
2002-10-08,62.751
2002-10-09,62.674
2002-10-10,62.375
2002-10-11,63.75
2002-10-14,63.228
2002-10-15,65.614
2002-10-16,65.626
2002-10-17,67.817
2002-10-18,68.306
2002-10-21,69.805
2002-10-22,70.545
2002-10-23,68.986
2002-10-24,69.103
2002-10-25,68.982
2002-10-28,70.375
2002-10-29,69.367
2002-10-30,69.393
2002-10-31,70.627
2002-11-01,71.821
2002-11-04,73.722
2002-11-05,73.634
2002-11-06,73.13
2002-11-07,72.582
2002-11-08,72.392
