Date,SWITZERLAND IMI IMI (Large+Mid+Small Cap)
2001-01-01,550.296
2001-01-02,554.657
2001-01-03,552.429
2001-01-04,552.787
2001-01-05,545.959
2001-01-08,544.152
2001-01-09,538.218
2001-01-10,531.977
2001-01-11,535.941
2001-01-12,532.534
2001-01-15,529.476
2001-01-16,529.594
2001-01-17,530.628
2001-01-18,539.631
2001-01-19,530.314
2001-01-22,529.394
2001-01-23,531.182
2001-01-24,526.008
2001-01-25,528.851
2001-01-26,532.035
2001-01-29,531.821
2001-01-30,535.401
2001-01-31,537.063
2001-02-01,536.496
2001-02-02,532.873
2001-02-05,539.029
2001-02-06,535.166
2001-02-07,533.975
2001-02-08,522.673
2001-02-09,524.049
2001-02-12,524.684
2001-02-13,520.288
2001-02-14,513.876
2001-02-15,509.144
2001-02-16,507.094
2001-02-19,510.229
2001-02-20,501.832
2001-02-21,499.967
2001-02-22,497.918
2001-02-23,494.217
2001-02-26,497.782
2001-02-27,502.719
2001-02-28,502.659
2001-03-01,498.744
2001-03-02,500.313
2001-03-05,500.193
2001-03-06,503.75
2001-03-07,501.77
2001-03-08,501.107
2001-03-09,497.839
2001-03-12,488.664
2001-03-13,480.964
2001-03-14,468.687
2001-03-15,468.792
2001-03-16,454.497
2001-03-19,451.279
2001-03-20,455.701
2001-03-21,446.576
2001-03-22,417.733
2001-03-23,431.046
2001-03-26,446.497
2001-03-27,450.013
2001-03-28,444.417
2001-03-29,446.073
2001-03-30,454.495
2001-04-02,445.611
2001-04-03,437.936
2001-04-04,442.426
2001-04-05,449.218
2001-04-06,449.432
2001-04-09,456.739
2001-04-10,457.728
2001-04-11,461.211
2001-04-12,466.033
2001-04-13,466.033
2001-04-16,461.292
2001-04-17,460.387
2001-04-18,460.312
2001-04-19,466.563
2001-04-20,469.694
2001-04-23,463.552
2001-04-24,466.732
2001-04-25,464.629
2001-04-26,465.908
2001-04-27,463.331
2001-04-30,464.686
2001-05-01,466.07
2001-05-02,468.949
2001-05-03,466.35
2001-05-04,469.622
2001-05-07,474.314
2001-05-08,470.689
2001-05-09,466.943
2001-05-10,473.318
2001-05-11,472.684
2001-05-14,469.255
2001-05-15,475.486
2001-05-16,479.3
2001-05-17,481.69
2001-05-18,480.516
2001-05-21,481.247
2001-05-22,479.113
2001-05-23,476.979
2001-05-24,475.799
2001-05-25,473.282
2001-05-28,473.763
2001-05-29,468.641
2001-05-30,467.319
2001-05-31,459.766
2001-06-01,461.262
2001-06-04,462.317
2001-06-05,467.723
2001-06-06,465.273
2001-06-07,467.194
2001-06-08,463.813
2001-06-11,459.131
2001-06-12,456.345
2001-06-13,460.317
2001-06-14,458.454
2001-06-15,457.695
2001-06-18,455.211
2001-06-19,450.559
2001-06-20,445.021
2001-06-21,447.186
2001-06-22,444.757
2001-06-25,447.236
2001-06-26,441.302
2001-06-27,436.941
2001-06-28,440.045
2001-06-29,443.281
2001-07-02,447.069
2001-07-03,443.09
2001-07-04,439.572
2001-07-05,431.232
2001-07-06,428.183
2001-07-09,429.998
2001-07-10,428.475
2001-07-11,427.685
2001-07-12,431.327
2001-07-13,431.721
2001-07-16,432.66
2001-07-17,428.074
2001-07-18,437.969
2001-07-19,444.661
2001-07-20,442.996
2001-07-23,440.072
2001-07-24,434.058
2001-07-25,431.015
2001-07-26,429.337
2001-07-27,432.336
2001-07-30,435.602
2001-07-31,437.141
2001-08-01,443.652
2001-08-02,446.703
2001-08-03,445.526
2001-08-06,443.904
2001-08-07,441.935
2001-08-08,440.678
2001-08-09,437.308
2001-08-10,433.505
2001-08-13,439.067
2001-08-14,444.44
2001-08-15,449.464
2001-08-16,446.08
2001-08-17,444.638
2001-08-20,440.767
2001-08-21,446.462
2001-08-22,445.478
2001-08-23,440.127
2001-08-24,445.488
2001-08-27,446.658
2001-08-28,441.288
2001-08-29,436.42
2001-08-30,432.729
2001-08-31,435.505
2001-09-03,426.496
2001-09-04,425.225
2001-09-05,421.611
2001-09-06,415.715
2001-09-07,412.613
2001-09-10,402.675
2001-09-11,382.417
2001-09-12,389.871
2001-09-13,394.794
2001-09-14,384.51
2001-09-17,396.715
2001-09-18,394.738
2001-09-19,393.192
2001-09-20,376.809
2001-09-21,361.518
2001-09-24,377.057
2001-09-25,390.576
2001-09-26,391.758
2001-09-27,395.205
2001-09-28,404.468
2001-10-01,400.013
2001-10-02,398.987
2001-10-03,397.969
2001-10-04,404.565
2001-10-05,403.443
2001-10-08,405.009
2001-10-09,403.262
2001-10-10,402.598
2001-10-11,407.197
2001-10-12,405.279
2001-10-15,403.986
2001-10-16,404.377
2001-10-17,405.24
2001-10-18,407.663
2001-10-19,404.12
2001-10-22,406.853
2001-10-23,411.355
2001-10-24,412.566
2001-10-25,410.662
2001-10-26,413.491
2001-10-29,411.689
2001-10-30,406.021
2001-10-31,407.478
2001-11-01,410.462
2001-11-02,410.32
2001-11-05,412.932
2001-11-06,413.752
2001-11-07,416.564
2001-11-08,423.148
2001-11-09,421.155
2001-11-12,416.01
2001-11-13,417.794
2001-11-14,421.802
2001-11-15,428.57
2001-11-16,433.512
2001-11-19,434.985
2001-11-20,431.037
2001-11-21,428.233
2001-11-22,431.596
2001-11-23,423.909
2001-11-26,425.292
2001-11-27,423.907
2001-11-28,419.759
2001-11-29,418.011
2001-11-30,417.484
2001-12-03,415.215
2001-12-04,423.85
2001-12-05,427.807
2001-12-06,429.067
2001-12-07,427.351
2001-12-10,419.967
2001-12-11,419.358
2001-12-12,422.383
2001-12-13,419.694
2001-12-14,417.577
2001-12-17,425.256
2001-12-18,422.563
2001-12-19,416.467
2001-12-20,423.381
2001-12-21,423.186
2001-12-24,414.099
2001-12-25,414.099
2001-12-26,414.014
2001-12-27,421.134
2001-12-28,420.841
2001-12-31,425.53
2002-01-01,425.53
2002-01-02,428.293
2002-01-03,426.993
2002-01-04,427.936
2002-01-07,427.482
2002-01-08,421.884
2002-01-09,423.634
2002-01-10,424.143
2002-01-11,427.094
2002-01-14,421.022
2002-01-15,419.195
2002-01-16,414.573
2002-01-17,418.514
2002-01-18,417.837
2002-01-21,414.818
2002-01-22,416.285
2002-01-23,418.678
2002-01-24,421.089
2002-01-25,413.218
2002-01-28,413.601
2002-01-29,408.796
2002-01-30,401.695
2002-01-31,402.928
2002-02-01,401.099
2002-02-04,401.305
2002-02-05,400.009
2002-02-06,398.6
2002-02-07,405.534
2002-02-08,407.536
2002-02-11,411.354
2002-02-12,409.566
2002-02-13,411.362
2002-02-14,414.91
2002-02-15,416.241
2002-02-18,412.981
2002-02-19,406.703
2002-02-20,402.724
2002-02-21,404.591
2002-02-22,404.857
2002-02-25,405.897
