Date,SWITZERLAND IMI IMI (Large+Mid+Small Cap)
2001-01-01,572.378
2001-01-02,576.914
2001-01-03,574.597
2001-01-04,574.969
2001-01-05,567.867
2001-01-08,565.987
2001-01-09,559.815
2001-01-10,553.324
2001-01-11,557.447
2001-01-12,553.903
2001-01-15,550.723
2001-01-16,550.845
2001-01-17,551.921
2001-01-18,561.285
2001-01-19,551.594
2001-01-22,550.637
2001-01-23,552.497
2001-01-24,547.116
2001-01-25,550.073
2001-01-26,553.384
2001-01-29,553.162
2001-01-30,556.886
2001-01-31,558.615
2001-02-01,558.025
2001-02-02,554.256
2001-02-05,560.659
2001-02-06,556.641
2001-02-07,555.402
2001-02-08,543.647
2001-02-09,545.078
2001-02-12,545.739
2001-02-13,541.166
2001-02-14,534.496
2001-02-15,529.574
2001-02-16,527.442
2001-02-19,530.703
2001-02-20,521.969
2001-02-21,520.029
2001-02-22,517.898
2001-02-23,514.049
2001-02-26,517.755
2001-02-27,522.89
2001-02-28,522.828
2001-03-01,518.756
2001-03-02,520.387
2001-03-05,520.263
2001-03-06,523.962
2001-03-07,521.903
2001-03-08,521.213
2001-03-09,517.814
2001-03-12,508.272
2001-03-13,500.262
2001-03-14,487.493
2001-03-15,487.601
2001-03-16,472.733
2001-03-19,469.386
2001-03-20,473.977
2001-03-21,464.487
2001-03-22,434.487
2001-03-23,448.334
2001-03-26,464.275
2001-03-27,467.575
2001-03-28,461.742
2001-03-29,463.463
2001-03-30,472.212
2001-04-02,462.983
2001-04-03,455.008
2001-04-04,459.656
2001-04-05,466.712
2001-04-06,466.79
2001-04-09,474.379
2001-04-10,475.407
2001-04-11,478.711
2001-04-12,483.706
2001-04-13,483.706
2001-04-16,478.786
2001-04-17,477.493
2001-04-18,477.415
2001-04-19,483.898
2001-04-20,487.146
2001-04-23,480.775
2001-04-24,484.074
2001-04-25,481.893
2001-04-26,483.208
2001-04-27,480.51
2001-04-30,481.916
2001-05-01,483.351
2001-05-02,486.317
2001-05-03,483.613
2001-05-04,487.005
2001-05-07,491.872
2001-05-08,488.107
2001-05-09,484.221
2001-05-10,490.829
2001-05-11,490.171
2001-05-14,486.55
2001-05-15,492.993
2001-05-16,496.893
2001-05-17,499.342
2001-05-18,498.098
2001-05-21,498.822
2001-05-22,496.609
2001-05-23,494.151
2001-05-24,492.929
2001-05-25,490.315
2001-05-28,490.807
2001-05-29,485.502
2001-05-30,484.132
2001-05-31,476.307
2001-06-01,477.744
2001-06-04,478.837
2001-06-05,484.437
2001-06-06,481.793
2001-06-07,483.767
2001-06-08,480.267
2001-06-11,475.418
2001-06-12,472.533
2001-06-13,476.64
2001-06-14,474.707
2001-06-15,473.92
2001-06-18,471.347
2001-06-19,466.531
2001-06-20,460.767
2001-06-21,463.008
2001-06-22,460.493
2001-06-25,463.407
2001-06-26,457.246
2001-06-27,452.728
2001-06-28,455.944
2001-06-29,459.297
2001-07-02,463.221
2001-07-03,459.098
2001-07-04,455.452
2001-07-05,446.811
2001-07-06,443.652
2001-07-09,445.532
2001-07-10,443.955
2001-07-11,443.136
2001-07-12,446.909
2001-07-13,447.318
2001-07-16,448.291
2001-07-17,443.539
2001-07-18,453.792
2001-07-19,460.725
2001-07-20,459.0
2001-07-23,455.971
2001-07-24,449.739
2001-07-25,446.586
2001-07-26,444.848
2001-07-27,447.956
2001-07-30,451.339
2001-07-31,452.933
2001-08-01,459.68
2001-08-02,462.841
2001-08-03,461.621
2001-08-06,459.941
2001-08-07,457.901
2001-08-08,456.598
2001-08-09,453.107
2001-08-10,449.166
2001-08-13,454.929
2001-08-14,460.497
2001-08-15,465.341
2001-08-16,461.838
2001-08-17,460.344
2001-08-20,456.337
2001-08-21,462.233
2001-08-22,461.214
2001-08-23,455.674
2001-08-24,461.224
2001-08-27,462.436
2001-08-28,456.877
2001-08-29,451.836
2001-08-30,448.014
2001-08-31,450.889
2001-09-03,441.562
2001-09-04,440.246
2001-09-05,436.504
2001-09-06,430.4
2001-09-07,427.188
2001-09-10,416.899
2001-09-11,395.926
2001-09-12,403.643
2001-09-13,408.739
2001-09-14,398.093
2001-09-17,410.729
2001-09-18,408.682
2001-09-19,407.081
2001-09-20,390.119
2001-09-21,374.289
2001-09-24,390.377
2001-09-25,404.372
2001-09-26,405.597
2001-09-27,409.165
2001-09-28,418.756
2001-10-01,414.107
2001-10-02,413.044
2001-10-03,411.991
2001-10-04,418.819
2001-10-05,417.657
2001-10-08,419.279
2001-10-09,417.47
2001-10-10,416.783
2001-10-11,421.544
2001-10-12,419.559
2001-10-15,418.219
2001-10-16,418.624
2001-10-17,419.891
2001-10-18,422.401
2001-10-19,418.731
2001-10-22,421.562
2001-10-23,426.226
2001-10-24,427.481
2001-10-25,425.509
2001-10-26,428.44
2001-10-29,426.572
2001-10-30,420.7
2001-10-31,422.21
2001-11-01,425.302
2001-11-02,425.155
2001-11-05,427.861
2001-11-06,428.71
2001-11-07,431.624
2001-11-08,438.446
2001-11-09,436.364
2001-11-12,431.033
2001-11-13,432.881
