Date,SWITZERLAND IMI IMI (Large+Mid+Small Cap)
1994-05-31,219.966
1994-06-30,222.866
1994-07-29,218.337
1994-08-31,226.048
1994-09-30,224.519
1994-10-31,227.042
1994-11-30,221.328
1994-12-30,227.136
1995-01-31,224.052
1995-02-28,235.724
1995-03-31,250.684
1995-04-28,255.608
1995-05-31,267.591
1995-06-30,276.449
1995-07-31,278.612
1995-08-31,270.592
1995-09-29,292.768
1995-10-31,302.435
1995-11-30,303.557
1995-12-29,315.726
1996-01-31,299.752
1996-02-29,310.457
1996-03-29,333.372
1996-04-30,321.677
1996-05-31,311.727
1996-06-28,325.797
1996-07-31,318.834
1996-08-30,331.567
1996-09-30,323.794
1996-10-31,322.202
1996-11-29,324.254
1996-12-31,315.61
1997-01-31,322.187
1997-02-28,324.614
1997-03-31,343.794
1997-04-30,352.623
1997-05-30,378.781
1997-06-30,407.529
1997-07-31,414.239
1997-08-29,380.244
1997-09-30,417.047
1997-10-31,414.712
1997-11-28,424.679
1997-12-31,445.206
1998-01-30,460.313
1998-02-27,502.415
1998-03-31,516.036
1998-04-30,517.12
1998-05-29,543.125
1998-06-30,539.669
1998-07-31,573.725
1998-08-31,484.395
1998-09-30,442.524
1998-10-30,507.502
1998-11-30,530.946
1998-12-31,544.378
1999-01-29,532.406
1999-02-26,513.781
1999-03-31,510.962
1999-04-30,514.628
1999-05-31,491.099
1999-06-30,485.351
1999-07-30,503.834
1999-08-31,504.203
1999-09-30,504.581
1999-10-29,510.557
1999-11-30,508.801
1999-12-31,523.355
2000-01-31,479.786
2000-02-29,476.666
2000-03-31,511.44
2000-04-28,491.237
2000-05-31,516.935
2000-06-30,539.872
2000-07-31,547.072
2000-08-31,539.525
2000-09-29,518.926
2000-10-31,511.805
2000-11-30,525.406
2000-12-29,572.378
2001-01-31,558.615
2001-02-28,522.828
2001-03-30,472.212
2001-04-30,481.916
2001-05-31,476.307
2001-06-29,459.297
2001-07-31,452.933
2001-08-31,450.889
2001-09-28,418.756
2001-10-31,422.21
2001-11-30,432.56
2001-12-31,440.897
2002-01-31,417.477
2002-02-28,425.656
2002-03-29,453.742
2002-04-30,464.87
2002-05-31,483.019
2002-06-28,463.725
2002-07-31,407.619
2002-08-30,405.729
2002-09-30,377.532
2002-10-31,389.691
2002-11-29,400.186
2002-12-31,390.928
2003-01-31,376.922
2003-02-28,357.294
2003-03-31,355.077
2003-04-30,395.485
2003-05-30,420.575
2003-06-30,419.926
2003-07-31,436.29
2003-08-29,433.547
2003-09-30,453.796
2003-10-31,465.846
2003-11-28,490.411
2003-12-31,528.672
2004-01-30,543.622
2004-02-27,547.335
2004-03-31,532.521
2004-04-30,538.381
2004-05-31,543.356
2004-06-30,544.482
2004-07-30,524.1
2004-08-31,517.852
2004-09-30,530.684
