Date,GERMANY Standard (Large+Mid Cap)
2001-01-01,3523.562
2001-01-02,3483.181
2001-01-03,3541.759
2001-01-04,3517.127
2001-01-05,3527.003
2001-01-08,3511.199
2001-01-09,3476.674
2001-01-10,3442.938
2001-01-11,3560.29
2001-01-12,3569.006
2001-01-15,3558.635
2001-01-16,3545.599
2001-01-17,3580.694
2001-01-18,3622.952
2001-01-19,3590.317
2001-01-22,3607.406
2001-01-23,3644.852
2001-01-24,3579.891
2001-01-25,3583.213
2001-01-26,3574.361
2001-01-29,3595.034
2001-01-30,3610.102
2001-01-31,3655.034
2001-02-01,3649.918
2001-02-02,3595.031
2001-02-05,3617.564
2001-02-06,3626.611
2001-02-07,3574.88
2001-02-08,3550.421
2001-02-09,3497.173
2001-02-12,3552.868
2001-02-13,3516.108
2001-02-14,3465.654
2001-02-15,3455.102
2001-02-16,3424.719
2001-02-19,3459.126
2001-02-20,3402.008
2001-02-21,3365.174
2001-02-22,3310.391
2001-02-23,3211.278
2001-02-26,3284.352
2001-02-27,3331.816
2001-02-28,3359.451
2001-03-01,3343.032
2001-03-02,3381.816
2001-03-05,3383.352
2001-03-06,3428.054
2001-03-07,3427.181
2001-03-08,3421.896
2001-03-09,3385.105
2001-03-12,3286.479
2001-03-13,3190.165
2001-03-14,3079.178
2001-03-15,3126.96
2001-03-16,3000.071
2001-03-19,2959.151
2001-03-20,3045.726
2001-03-21,2940.853
2001-03-22,2767.935
2001-03-23,2876.94
2001-03-26,2979.011
2001-03-27,3097.778
2001-03-28,3002.132
2001-03-29,3008.026
2001-03-30,3008.148
2001-04-02,2963.019
2001-04-03,2870.628
2001-04-04,2942.085
2001-04-05,3013.582
2001-04-06,2990.969
2001-04-09,3035.722
2001-04-10,3060.578
2001-04-11,3056.899
2001-04-12,3112.481
2001-04-13,3112.481
2001-04-16,3080.606
2001-04-17,3034.692
2001-04-18,3122.134
2001-04-19,3186.564
2001-04-20,3200.582
2001-04-23,3154.489
2001-04-24,3177.439
2001-04-25,3182.985
