Date,GERMANY Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,95.165
1970-02-27,92.38
1970-03-31,93.194
1970-04-30,88.889
1970-05-29,80.545
1970-06-30,77.572
1970-07-31,82.295
1970-08-31,83.261
1970-09-30,81.902
1970-10-30,80.673
1970-11-30,77.746
1970-12-31,75.408
1971-01-29,86.227
1971-02-26,89.904
1971-03-31,90.74
1971-04-30,85.203
1971-05-31,89.241
1971-06-30,89.423
1971-07-30,94.064
1971-08-31,92.277
1971-09-30,91.26
1971-10-29,84.363
1971-11-30,86.605
1971-12-31,93.017
1972-01-31,99.775
1972-02-29,108.149
1972-03-31,113.736
1972-04-28,110.773
1972-05-31,114.045
1972-06-30,112.256
1972-07-31,118.663
1972-08-31,115.983
1972-09-29,111.816
1972-10-31,109.553
1972-11-30,111.163
1972-12-29,109.349
1973-01-31,116.292
1973-02-28,126.379
1973-03-30,133.41
1973-04-30,126.346
1973-05-31,118.889
1973-06-29,132.092
1973-07-31,127.471
1973-08-31,122.997
1973-09-28,123.489
1973-10-31,130.762
1973-11-30,108.486
1973-12-31,103.419
1974-01-31,108.48
1974-02-28,105.194
1974-03-29,110.992
1974-04-30,119.798
1974-05-31,112.44
1974-06-28,108.491
1974-07-31,106.297
1974-08-30,103.985
1974-09-30,99.356
1974-10-31,105.157
1974-11-29,115.184
1974-12-31,119.817
1975-01-31,135.294
1975-02-28,153.619
1975-03-31,151.727
1975-04-30,154.49
1975-05-30,145.389
1975-06-30,145.983
1975-07-31,145.142
1975-08-29,137.955
1975-09-30,131.878
1975-10-31,148.721
1975-11-28,152.318
1975-12-31,154.218
1976-01-30,157.692
1976-02-27,160.355
1976-03-31,166.646
1976-04-30,156.69
1976-05-31,151.935
1976-06-30,154.367
1976-07-30,153.025
1976-08-31,153.374
1976-09-30,160.691
1976-10-29,150.827
1976-11-30,158.968
1976-12-31,163.123
1977-01-31,160.228
1977-02-28,157.753
1977-03-31,163.052
1977-04-29,176.915
1977-05-31,173.253
1977-06-30,169.902
1977-07-29,175.647
1977-08-31,176.645
1977-09-30,179.98
1977-10-31,189.82
1977-11-30,193.562
1977-12-30,203.124
1978-01-31,205.646
1978-02-28,213.877
1978-03-31,214.644
1978-04-28,203.588
1978-05-31,204.903
1978-06-30,210.806
1978-07-31,222.181
1978-08-31,231.854
1978-09-29,244.852
1978-10-31,269.561
1978-11-30,238.596
1978-12-29,252.359
1979-01-31,248.318
1979-02-28,242.837
1979-03-30,237.592
1979-04-30,233.486
1979-05-31,221.504
1979-06-29,223.185
1979-07-31,232.999
1979-08-31,237.646
1979-09-28,249.538
1979-10-31,228.757
1979-11-30,241.122
1979-12-31,239.944
1980-01-31,238.4
1980-02-29,239.565
1980-03-31,202.489
1980-04-30,225.771
1980-05-30,233.913
1980-06-30,243.078
1980-07-31,244.639
1980-08-29,238.707
1980-09-30,236.6
1980-10-31,219.214
1980-11-28,220.466
1980-12-31,211.177
1981-01-30,191.848
1981-02-27,190.46
1981-03-31,199.385
1981-04-30,198.298
1981-05-29,183.254
1981-06-30,189.871
1981-07-31,185.005
1981-08-31,182.266
1981-09-30,180.835
1981-10-30,186.271
1981-11-30,196.761
1981-12-31,188.085
1982-01-29,186.237
1982-02-26,183.906
1982-03-31,185.934
1982-04-30,192.542
1982-05-31,188.295
1982-06-30,175.609
1982-07-30,175.921
1982-08-31,171.141
1982-09-30,178.294
1982-10-29,174.368
1982-11-30,184.104
1982-12-31,205.336
1983-01-31,197.698
1983-02-28,214.39
1983-03-31,242.121
1983-04-29,254.067
1983-05-31,234.089
1983-06-30,245.534
1983-07-29,241.901
1983-08-31,222.342
1983-09-30,234.181
1983-10-31,253.049
1983-11-30,251.453
1983-12-30,253.199
1984-01-31,253.304
1984-02-29,262.281
1984-03-30,263.099
1984-04-30,253.439
1984-05-31,241.443
1984-06-29,243.001
1984-07-31,218.377
1984-08-31,231.442
1984-09-28,235.039
1984-10-31,241.186
1984-11-30,238.642
1984-12-31,238.737
1985-01-31,248.565
1985-02-28,240.553
1985-03-29,263.912
1985-04-30,275.09
1985-05-31,303.141
1985-06-28,329.306
1985-07-31,340.161
1985-08-30,371.935
1985-09-30,413.837
1985-10-31,477.337
1985-11-29,483.585
1985-12-31,561.497
1986-01-31,582.96
1986-02-28,614.753
1986-03-31,635.688
1986-04-30,721.865
1986-05-30,607.971
1986-06-30,632.478
1986-07-31,627.617
1986-08-29,739.147
1986-09-30,695.23
1986-10-31,691.679
1986-11-28,755.923
1986-12-31,759.638
1987-01-30,705.414
1987-02-27,669.283
1987-03-31,701.494
1987-04-30,704.697
1987-05-29,681.771
1987-06-30,726.445
1987-07-31,755.424
1987-08-31,785.709
1987-09-30,753.231
1987-10-30,620.61
1987-11-30,560.622
1987-12-31,571.654
1988-01-29,502.19
1988-02-29,582.166
1988-03-31,581.621
1988-04-29,571.977
1988-05-31,565.301
1988-06-30,566.455
1988-07-29,571.429
1988-08-31,567.312
1988-09-30,609.302
1988-10-31,673.572
1988-11-30,669.353
1988-12-30,689.44
1989-01-31,656.493
1989-02-28,657.245
1989-03-31,644.87
1989-04-28,677.04
1989-05-31,653.104
1989-06-30,703.376
1989-07-31,774.916
1989-08-31,765.125
1989-09-29,798.533
1989-10-31,760.987
1989-11-30,839.039
1989-12-29,1008.402
1990-01-31,1038.377
1990-02-28,1017.199
1990-03-30,1115.125
1990-04-30,1038.334
1990-05-31,1050.585
1990-06-29,1095.675
1990-07-31,1175.168
1990-08-31,1000.403
1990-09-28,823.557
1990-10-31,929.883
1990-11-30,948.366
1990-12-31,914.057
1991-01-31,938.671
1991-02-28,1004.386
1991-03-29,869.692
1991-04-30,899.817
1991-05-31,957.848
1991-06-28,868.4
1991-07-31,897.364
1991-08-30,908.743
1991-09-30,928.464
1991-10-31,906.999
1991-11-29,921.371
1991-12-31,988.634
1992-01-31,995.286
1992-02-28,1020.006
1992-03-31,997.615
1992-04-30,993.006
1992-05-29,1055.884
1992-06-30,1074.267
1992-07-31,1015.419
1992-08-31,1014.667
