Date,GERMANY Standard (Large+Mid Cap)
2001-01-01,2720.192
2001-01-02,2689.018
2001-01-03,2734.24
2001-01-04,2715.224
2001-01-05,2722.849
2001-01-08,2710.647
2001-01-09,2683.994
2001-01-10,2657.95
2001-01-11,2748.546
2001-01-12,2755.275
2001-01-15,2747.268
2001-01-16,2737.205
2001-01-17,2764.298
2001-01-18,2796.921
2001-01-19,2771.727
2001-01-22,2784.919
2001-01-23,2813.828
2001-01-24,2763.678
2001-01-25,2766.242
2001-01-26,2759.409
2001-01-29,2775.368
2001-01-30,2787.001
2001-01-31,2821.688
2001-02-01,2817.739
2001-02-02,2775.366
2001-02-05,2792.762
2001-02-06,2799.746
2001-02-07,2759.81
2001-02-08,2740.927
2001-02-09,2699.82
2001-02-12,2742.816
2001-02-13,2714.438
2001-02-14,2675.487
2001-02-15,2667.341
2001-02-16,2643.885
2001-02-19,2670.448
2001-02-20,2626.353
2001-02-21,2597.917
2001-02-22,2555.624
2001-02-23,2477.948
2001-02-26,2534.336
2001-02-27,2570.96
2001-02-28,2592.284
2001-03-01,2579.615
2001-03-02,2609.542
2001-03-05,2610.403
2001-03-06,2644.893
2001-03-07,2644.164
2001-03-08,2640.087
2001-03-09,2611.702
2001-03-12,2535.609
2001-03-13,2461.3
2001-03-14,2375.67
2001-03-15,2412.536
2001-03-16,2314.637
2001-03-19,2283.066
2001-03-20,2349.861
2001-03-21,2268.949
2001-03-22,2135.538
2001-03-23,2219.638
2001-03-26,2298.389
2001-03-27,2390.021
2001-03-28,2316.227
2001-03-29,2320.775
2001-03-30,2320.869
2001-04-02,2286.05
2001-04-03,2214.768
2001-04-04,2269.899
2001-04-05,2325.061
2001-04-06,2307.488
2001-04-09,2342.015
2001-04-10,2361.191
2001-04-11,2358.352
2001-04-12,2399.327
2001-04-13,2399.327
2001-04-16,2374.755
2001-04-17,2339.361
2001-04-18,2406.768
2001-04-19,2456.436
2001-04-20,2467.241
2001-04-23,2431.71
2001-04-24,2449.402
2001-04-25,2453.677
2001-04-26,2468.29
2001-04-27,2463.495
2001-04-30,2480.928
2001-05-01,2494.08
2001-05-02,2474.423
2001-05-03,2429.289
2001-05-04,2450.763
2001-05-07,2436.027
2001-05-08,2412.267
2001-05-09,2391.572
2001-05-10,2424.15
2001-05-11,2396.395
2001-05-14,2363.684
2001-05-15,2380.875
2001-05-16,2420.411
2001-05-17,2425.988
2001-05-18,2418.193
2001-05-21,2436.613
2001-05-22,2426.815
2001-05-23,2392.356
2001-05-24,2410.238
2001-05-25,2386.242
2001-05-28,2391.639
2001-05-29,2344.28
2001-05-30,2320.113
2001-05-31,2323.095
2001-06-01,2322.417
2001-06-04,2350.032
2001-06-05,2373.219
2001-06-06,2350.999
2001-06-07,2354.275
2001-06-08,2350.423
2001-06-11,2321.961
2001-06-12,2306.45
2001-06-13,2334.369
2001-06-14,2326.004
2001-06-15,2294.963
2001-06-18,2273.858
2001-06-19,2283.639
2001-06-20,2256.984
2001-06-21,2274.463
2001-06-22,2287.561
2001-06-25,2290.04
2001-06-26,2274.934
2001-06-27,2257.745
2001-06-28,2279.852
2001-06-29,2309.101
2001-07-02,2325.784
2001-07-03,2303.667
2001-07-04,2287.106
2001-07-05,2254.802
2001-07-06,2221.558
2001-07-09,2236.347
2001-07-10,2236.408
2001-07-11,2243.276
2001-07-12,2253.822
2001-07-13,2270.482
2001-07-16,2253.007
2001-07-17,2238.453
2001-07-18,2244.554
2001-07-19,2282.422
2001-07-20,2265.599
2001-07-23,2267.84
2001-07-24,2238.542
2001-07-25,2216.778
2001-07-26,2248.755
2001-07-27,2271.554
2001-07-30,2291.797
2001-07-31,2319.241
2001-08-01,2320.795
2001-08-02,2305.958
2001-08-03,2300.572
2001-08-06,2287.797
2001-08-07,2285.493
2001-08-08,2233.752
2001-08-09,2224.828
2001-08-10,2216.92
2001-08-13,2234.402
2001-08-14,2256.501
2001-08-15,2266.317
2001-08-16,2238.137
2001-08-17,2194.89
2001-08-20,2179.68
2001-08-21,2183.492
2001-08-22,2205.047
2001-08-23,2198.157
2001-08-24,2246.348
2001-08-27,2248.529
2001-08-28,2210.891
2001-08-29,2208.815
2001-08-30,2146.139
2001-08-31,2153.954
2001-09-03,2109.089
2001-09-04,2116.396
2001-09-05,2048.904
2001-09-06,1986.93
2001-09-07,1953.349
2001-09-10,1915.87
2001-09-11,1772.542
2001-09-12,1797.728
2001-09-13,1826.789
2001-09-14,1742.321
2001-09-17,1789.122
2001-09-18,1777.531
2001-09-19,1729.873
2001-09-20,1626.938
2001-09-21,1590.394
2001-09-24,1696.393
2001-09-25,1700.004
2001-09-26,1739.497
2001-09-27,1778.917
2001-09-28,1804.036
2001-10-01,1793.743
2001-10-02,1823.653
2001-10-03,1882.919
2001-10-04,1912.976
2001-10-05,1901.471
2001-10-08,1900.683
2001-10-09,1889.044
2001-10-10,1932.275
2001-10-11,1955.266
2001-10-12,1932.646
2001-10-15,1903.239
2001-10-16,1936.399
2001-10-17,1936.559
2001-10-18,1900.261
2001-10-19,1866.125
2001-10-22,1893.389
2001-10-23,1920.184
2001-10-24,1966.657
2001-10-25,1937.961
2001-10-26,1972.958
2001-10-29,1933.347
2001-10-30,1897.415
2001-10-31,1883.371
2001-11-01,1926.782
2001-11-02,1902.845
2001-11-05,1951.041
2001-11-06,1934.77
2001-11-07,1997.034
2001-11-08,2029.478
2001-11-09,2000.088
2001-11-12,1965.796
2001-11-13,1981.374
2001-11-14,1990.518
2001-11-15,2000.822
2001-11-16,2032.573
2001-11-19,2070.387
2001-11-20,2048.73
2001-11-21,2032.611
2001-11-22,2052.127
2001-11-23,2056.396
2001-11-26,2042.532
2001-11-27,2031.461
2001-11-28,1988.737
2001-11-29,2004.089
2001-11-30,2048.691
2001-12-03,2035.943
2001-12-04,2046.181
2001-12-05,2130.956
2001-12-06,2145.617
2001-12-07,2116.885
2001-12-10,2080.135
2001-12-11,2090.26
2001-12-12,2073.599
2001-12-13,2041.074
2001-12-14,2027.427
2001-12-17,2093.562
2001-12-18,2079.607
2001-12-19,2051.471
2001-12-20,2029.263
2001-12-21,2039.539
2001-12-24,2019.188
2001-12-25,2019.188
2001-12-26,2020.913
2001-12-27,2083.211
2001-12-28,2090.872
2001-12-31,2111.264
2002-01-01,2111.264
2002-01-02,2142.757
2002-01-03,2175.076
2002-01-04,2180.598
2002-01-07,2140.699
2002-01-08,2138.59
2002-01-09,2156.167
2002-01-10,2142.533
2002-01-11,2131.772
2002-01-14,2083.233
2002-01-15,2074.763
2002-01-16,2025.807
2002-01-17,2076.963
2002-01-18,2083.237
2002-01-21,2062.985
2002-01-22,2049.363
2002-01-23,2100.374
2002-01-24,2088.452
2002-01-25,2050.114
2002-01-28,2041.807
2002-01-29,2012.321
2002-01-30,1999.123
2002-01-31,2014.989
2002-02-01,2014.62
2002-02-04,1982.639
2002-02-05,1967.929
2002-02-06,1917.731
2002-02-07,1939.717
2002-02-08,1934.175
2002-02-11,1986.927
2002-02-12,1960.661
2002-02-13,1969.439
2002-02-14,1975.881
2002-02-15,1939.625
2002-02-18,1935.525
2002-02-19,1896.233
2002-02-20,1898.924
2002-02-21,1928.303
2002-02-22,1903.215
2002-02-25,1933.92
2002-02-26,1943.575
2002-02-27,1958.321
2002-02-28,1988.407
2002-03-01,2007.98
2002-03-04,2076.313
2002-03-05,2068.514
2002-03-06,2103.901
2002-03-07,2121.167
2002-03-08,2140.548
2002-03-11,2132.335
2002-03-12,2101.704
2002-03-13,2094.775
2002-03-14,2123.886
2002-03-15,2175.57
2002-03-18,2180.746
2002-03-19,2198.115
2002-03-20,2163.631
2002-03-21,2146.12
2002-03-22,2148.483
2002-03-25,2125.885
2002-03-26,2154.71
2002-03-27,2127.006
2002-03-28,2147.322
2002-03-29,2147.322
2002-04-01,2164.921
2002-04-02,2135.711
2002-04-03,2121.295
2002-04-04,2114.934
2002-04-05,2110.501
2002-04-08,2067.469
2002-04-09,2067.164
2002-04-10,2111.464
2002-04-11,2083.158
2002-04-12,2084.099
2002-04-15,2111.585
2002-04-16,2153.903
2002-04-17,2155.334
2002-04-18,2139.727
2002-04-19,2140.973
2002-04-22,2109.063
2002-04-23,2105.57
2002-04-24,2099.83
2002-04-25,2076.238
2002-04-26,2060.131
2002-04-29,2065.931
2002-04-30,2083.424
2002-05-01,2095.216
2002-05-02,2057.051
2002-05-03,2051.544
2002-05-06,2055.59
2002-05-07,2040.6
2002-05-08,2095.09
2002-05-09,2070.707
2002-05-10,2043.647
2002-05-13,2080.412
2002-05-14,2090.807
2002-05-15,2113.09
2002-05-16,2107.075
2002-05-17,2129.885
2002-05-20,2117.304
2002-05-21,2100.498
2002-05-22,2092.789
2002-05-23,2066.382
2002-05-24,2076.641
2002-05-27,2095.11
2002-05-28,2096.731
2002-05-29,2088.366
2002-05-30,2048.893
2002-05-31,2061.325
2002-06-03,2042.729
2002-06-04,2000.233
2002-06-05,1988.949
2002-06-06,2019.123
2002-06-07,1997.278
2002-06-10,1987.383
2002-06-11,1988.324
2002-06-12,1955.364
2002-06-13,1939.901
2002-06-14,1875.958
2002-06-17,1937.829
2002-06-18,1931.359
2002-06-19,1909.278
2002-06-20,1886.48
2002-06-21,1896.039
2002-06-24,1865.407
2002-06-25,1884.156
2002-06-26,1875.332
2002-06-27,1934.034
2002-06-28,2000.208
2002-07-01,1989.254
2002-07-02,1910.304
2002-07-03,1871.947
2002-07-04,1919.506
2002-07-05,2005.074
2002-07-08,2015.853
2002-07-09,1992.588
2002-07-10,1901.924
2002-07-11,1868.488
2002-07-12,1874.639
2002-07-15,1810.266
2002-07-16,1847.933
2002-07-17,1893.052
2002-07-18,1896.629
2002-07-19,1814.413
2002-07-22,1710.837
2002-07-23,1607.348
2002-07-24,1658.76
2002-07-25,1622.857
2002-07-26,1628.482
2002-07-29,1734.833
2002-07-30,1759.725
2002-07-31,1669.843
2002-08-01,1631.23
2002-08-02,1604.952
2002-08-05,1516.416
2002-08-06,1582.514
2002-08-07,1550.749
2002-08-08,1643.046
2002-08-09,1685.641
2002-08-12,1643.904
2002-08-13,1658.311
2002-08-14,1632.032
2002-08-15,1654.421
2002-08-16,1671.222
2002-08-19,1724.798
2002-08-20,1692.895
2002-08-21,1745.942
2002-08-22,1748.415
2002-08-23,1714.812
2002-08-26,1694.945
2002-08-27,1737.511
2002-08-28,1664.883
2002-08-29,1659.363
2002-08-30,1677.085
2002-09-02,1638.143
2002-09-03,1564.056
2002-09-04,1572.181
2002-09-05,1535.642
2002-09-06,1583.338
2002-09-09,1552.134
2002-09-10,1568.975
2002-09-11,1604.789
2002-09-12,1540.481
2002-09-13,1516.16
2002-09-16,1486.372
2002-09-17,1468.678
2002-09-18,1407.92
2002-09-19,1367.052
2002-09-20,1393.524
2002-09-23,1327.477
2002-09-24,1303.885
2002-09-25,1341.517
2002-09-26,1364.022
2002-09-27,1319.286
2002-09-30,1268.691
2002-10-01,1304.745
2002-10-02,1331.779
2002-10-03,1286.759
2002-10-04,1237.356
2002-10-07,1217.41
2002-10-08,1194.037
2002-10-09,1191.961
2002-10-10,1247.987
2002-10-11,1336.99
2002-10-14,1305.172
2002-10-15,1389.634
2002-10-16,1370.769
2002-10-17,1427.855
2002-10-18,1423.543
2002-10-21,1477.81
2002-10-22,1427.609
2002-10-23,1362.252
2002-10-24,1391.958
2002-10-25,1402.65
2002-10-28,1453.005
2002-10-29,1379.353
2002-10-30,1418.667
2002-10-31,1446.064
2002-11-01,1459.354
2002-11-04,1528.073
2002-11-05,1545.939
2002-11-06,1521.067
2002-11-07,1472.994
2002-11-08,1449.105
2002-11-11,1428.669
2002-11-12,1459.733
2002-11-13,1435.754
2002-11-14,1482.243
2002-11-15,1488.399
2002-11-18,1502.522
2002-11-19,1502.595
2002-11-20,1492.62
2002-11-21,1527.922
2002-11-22,1533.814
2002-11-25,1516.063
2002-11-26,1469.158
2002-11-27,1531.397
2002-11-28,1543.625
2002-11-29,1528.001
2002-12-02,1550.078
2002-12-03,1511.919
2002-12-04,1533.127
2002-12-05,1492.426
2002-12-06,1495.688
2002-12-09,1431.116
2002-12-10,1478.126
2002-12-11,1492.02
2002-12-12,1466.67
2002-12-13,1456.985
2002-12-16,1511.404
2002-12-17,1496.357
2002-12-18,1440.376
2002-12-19,1408.992
2002-12-20,1441.51
2002-12-23,1429.74
2002-12-24,1435.658
2002-12-25,1435.658
2002-12-26,1439.278
2002-12-27,1373.644
2002-12-30,1405.213
2002-12-31,1410.724
2003-01-01,1410.724
2003-01-02,1494.826
2003-01-03,1495.335
2003-01-06,1533.775
2003-01-07,1506.316
2003-01-08,1444.744
2003-01-09,1477.509
2003-01-10,1485.788
2003-01-13,1499.147
2003-01-14,1522.414
2003-01-15,1500.33
2003-01-16,1501.437
2003-01-17,1447.381
2003-01-20,1437.394
2003-01-21,1426.215
2003-01-22,1395.383
2003-01-23,1407.772
2003-01-24,1369.657
2003-01-27,1334.335
2003-01-28,1347.929
2003-01-29,1369.612
2003-01-30,1350.454
2003-01-31,1376.281
2003-02-03,1379.301
2003-02-04,1337.05
2003-02-05,1377.375
2003-02-06,1340.18
2003-02-07,1299.283
2003-02-10,1302.107
2003-02-11,1315.609
2003-02-12,1288.674
2003-02-13,1291.944
2003-02-14,1344.9
2003-02-17,1353.487
2003-02-18,1363.689
2003-02-19,1315.069
2003-02-20,1309.506
2003-02-21,1336.096
2003-02-24,1293.792
2003-02-25,1249.367
2003-02-26,1236.482
2003-02-27,1261.751
2003-02-28,1280.902
2003-03-03,1290.079
2003-03-04,1273.974
2003-03-05,1278.766
2003-03-06,1249.826
2003-03-07,1255.121
2003-03-10,1206.028
2003-03-11,1194.844
2003-03-12,1137.969
2003-03-13,1196.774
2003-03-14,1206.026
2003-03-17,1238.721
2003-03-18,1280.261
2003-03-19,1288.956
2003-03-20,1286.131
2003-03-21,1330.017
2003-03-24,1265.169
2003-03-25,1310.266
2003-03-26,1281.693
2003-03-27,1289.329
2003-03-28,1260.456
2003-03-31,1232.611
2003-04-01,1243.091
