Date,GERMANY Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,95.232
1970-02-27,92.512
1970-03-31,93.39
1970-04-30,89.142
1970-05-29,80.844
1970-06-30,77.929
1970-07-31,82.744
1970-08-31,83.787
1970-09-30,82.492
1970-10-30,81.325
1970-11-30,78.446
1970-12-31,76.16
1971-01-29,87.16
1971-02-26,90.951
1971-03-31,91.874
1971-04-30,86.343
1971-05-31,90.516
1971-06-30,90.781
1971-07-30,95.577
1971-08-31,93.843
1971-09-30,92.894
1971-10-29,85.958
1971-11-30,88.326
1971-12-31,94.953
1972-01-31,101.939
1972-02-29,110.614
1972-03-31,116.598
1972-04-28,113.643
1972-05-31,116.862
1972-06-30,115.11
1972-07-31,121.76
1972-08-31,119.092
1972-09-29,114.894
1972-10-31,112.651
1972-11-30,114.39
1972-12-29,112.605
1973-01-31,119.84
1973-02-28,130.327
1973-03-30,137.669
1973-04-30,130.471
1973-05-31,122.867
1973-06-29,136.624
1973-07-31,131.96
1973-08-31,127.44
1973-09-28,128.065
1973-10-31,135.721
1973-11-30,112.707
1973-12-31,107.545
1974-01-31,112.909
1974-02-28,109.595
1974-03-29,115.748
1974-04-30,125.05
1974-05-31,117.484
1974-06-28,113.472
1974-07-31,111.291
1974-08-30,108.982
1974-09-30,104.244
1974-10-31,110.449
1974-11-29,121.105
1974-12-31,126.105
1975-01-31,142.53
1975-02-28,161.977
1975-03-31,160.123
1975-04-30,163.177
1975-05-30,153.705
1975-06-30,154.471
1975-07-31,153.709
1975-08-29,146.226
1975-09-30,139.907
1975-10-31,157.904
1975-11-28,161.835
1975-12-31,163.962
1976-01-30,167.766
1976-02-27,170.712
1976-03-31,177.523
1976-04-30,167.041
1976-05-31,162.097
1976-06-30,164.815
1976-07-30,163.508
1976-08-31,164.011
1976-09-30,171.967
1976-10-29,161.546
1976-11-30,170.405
1976-12-31,174.996
1977-01-31,172.026
1977-02-28,169.507
1977-03-31,175.338
1977-04-29,190.395
1977-05-31,186.606
1977-06-30,183.152
1977-07-29,189.506
1977-08-31,190.739
1977-09-30,194.499
1977-10-31,205.3
1977-11-30,209.524
1977-12-30,220.072
1978-01-31,223.004
1978-02-28,232.138
1978-03-31,233.192
1978-04-28,221.338
1978-05-31,222.925
1978-06-30,229.508
1978-07-31,242.054
1978-08-31,252.761
1978-09-29,267.104
1978-10-31,294.255
1978-11-30,260.627
1978-12-29,275.851
1979-01-31,271.615
1979-02-28,265.803
1979-03-30,260.246
1979-04-30,255.935
1979-05-31,242.987
1979-06-29,245.023
1979-07-31,255.994
1979-08-31,261.295
1979-09-28,274.576
1979-10-31,251.908
1979-11-30,265.739
1979-12-31,264.655
1980-01-31,263.167
1980-02-29,264.667
1980-03-31,223.903
1980-04-30,249.871
1980-05-30,259.109
1980-06-30,269.495
1980-07-31,271.456
1980-08-29,265.104
1980-09-30,262.992
1980-10-31,243.885
1980-11-28,245.485
1980-12-31,235.349
1981-01-30,213.993
1981-02-27,212.625
1981-03-31,222.773
1981-04-30,221.733
1981-05-29,205.078
1981-06-30,220.874
1981-07-31,215.381
1981-08-31,212.728
1981-09-30,211.237
1981-10-30,217.776
1981-11-30,230.231
1981-12-31,220.27
1982-01-29,218.286
1982-02-26,215.728
1982-03-31,218.279
1982-04-30,226.217
1982-05-31,221.401
1982-06-30,206.649
1982-07-30,207.184
1982-08-31,201.719
1982-09-30,210.307
1982-10-29,205.83
