Date,USA GROWTH Standard (Large+Mid Cap)
1989-01-31,536.103
1989-02-28,521.569
1989-03-31,536.955
1989-04-28,572.089
1989-05-31,598.518
1989-06-30,594.698
1989-07-31,661.895
1989-08-31,669.329
1989-09-29,670.857
1989-10-31,661.926
1989-11-30,680.013
1989-12-29,692.664
1990-01-31,643.513
1990-02-28,646.544
1990-03-30,672.11
1990-04-30,666.222
1990-05-31,738.049
1990-06-29,748.669
1990-07-31,745.51
1990-08-31,674.735
1990-09-28,642.034
1990-10-31,644.266
1990-11-30,684.037
1990-12-31,703.999
1991-01-31,735.894
1991-02-28,795.207
1991-03-29,825.718
1991-04-30,828.437
1991-05-31,863.181
1991-06-28,824.395
1991-07-31,871.017
1991-08-30,901.941
1991-09-30,875.106
1991-10-31,886.961
1991-11-29,864.02
1991-12-31,992.448
1992-01-31,965.358
1992-02-28,968.128
1992-03-31,950.074
1992-04-30,957.477
1992-05-29,961.578
1992-06-30,935.743
1992-07-31,978.647
1992-08-31,962.866
1992-09-30,973.122
1992-10-30,989.989
1992-11-30,1031.888
1992-12-31,1038.183
1993-01-29,1026.381
1993-02-26,1015.853
1993-03-31,1029.229
1993-04-30,987.059
1993-05-31,1024.012
1993-06-30,1013.488
1993-07-30,992.726
1993-08-31,1029.118
1993-09-30,1007.822
1993-10-29,1045.387
1993-11-30,1050.955
1993-12-31,1058.228
1994-01-31,1089.258
1994-02-28,1067.986
1994-03-31,1016.371
1994-04-29,1025.891
1994-05-31,1042.492
1994-06-30,1009.119
1994-07-29,1042.94
1994-08-31,1094.566
1994-09-30,1085.166
1994-10-31,1107.91
1994-11-30,1075.566
1994-12-30,1094.431
1995-01-31,1122.718
1995-02-28,1164.903
1995-03-31,1197.016
1995-04-28,1231.688
1995-05-31,1277.96
1995-06-30,1321.144
1995-07-31,1359.994
1995-08-31,1349.336
1995-09-29,1424.211
1995-10-31,1442.482
1995-11-30,1495.96
1995-12-29,1507.743
1996-01-31,1567.234
1996-02-29,1587.785
1996-03-29,1592.118
1996-04-30,1616.728
1996-05-31,1685.745
1996-06-28,1710.21
1996-07-31,1637.302
1996-08-30,1663.849
1996-09-30,1782.267
1996-10-31,1808.634
1996-11-29,1944.316
1996-12-31,1904.008
1997-01-31,2065.397
1997-02-28,2083.886
1997-03-31,1969.68
1997-04-30,2148.761
1997-05-30,2268.742
1997-06-30,2390.662
1997-07-31,2561.773
1997-08-29,2374.637
1997-09-30,2486.828
1997-10-31,2411.095
1997-11-28,2547.067
1997-12-31,2559.044
1998-01-30,2655.038
1998-02-27,2851.477
1998-03-31,3003.845
1998-04-30,3010.539
1998-05-29,2960.648
1998-06-30,3188.705
1998-07-31,3170.834
1998-08-31,2783.21
1998-09-30,2997.464
1998-10-30,3213.869
1998-11-30,3469.096
1998-12-31,3778.355
1999-01-29,4002.546
1999-02-26,3821.41
1999-03-31,4042.308
1999-04-30,3982.878
1999-05-31,3866.238
