Date,USA GROWTH Standard (Large+Mid Cap)
2001-01-01,3029.849
2001-01-02,2895.431
2001-01-03,3134.311
2001-01-04,3088.974
2001-01-05,2982.285
2001-01-08,2961.464
2001-01-09,3000.35
2001-01-10,3036.659
2001-01-11,3101.701
2001-01-12,3080.674
2001-01-15,3080.674
2001-01-16,3095.2
2001-01-17,3105.523
2001-01-18,3186.383
2001-01-19,3188.807
2001-01-22,3182.651
2001-01-23,3226.82
2001-01-24,3239.866
2001-01-25,3193.625
2001-01-26,3203.392
2001-01-29,3220.702
2001-01-30,3240.016
2001-01-31,3210.345
2001-02-01,3237.208
2001-02-02,3150.434
2001-02-05,3145.96
2001-02-06,3154.069
2001-02-07,3111.306
2001-02-08,3059.43
2001-02-09,2971.771
2001-02-12,3023.202
2001-02-13,2971.085
2001-02-14,2998.087
2001-02-15,3038.07
2001-02-16,2951.595
2001-02-19,2951.595
2001-02-20,2884.555
2001-02-21,2824.29
2001-02-22,2805.72
2001-02-23,2800.467
2001-02-26,2853.61
2001-02-27,2804.363
2001-02-28,2753.088
2001-03-01,2770.961
2001-03-02,2717.23
2001-03-05,2734.337
2001-03-06,2756.537
2001-03-07,2764.861
2001-03-08,2757.812
2001-03-09,2671.353
2001-03-12,2533.259
2001-03-13,2598.145
2001-03-14,2538.028
2001-03-15,2530.444
2001-03-16,2477.084
2001-03-19,2519.674
2001-03-20,2450.526
2001-03-21,2414.455
2001-03-22,2436.154
2001-03-23,2483.966
2001-03-26,2495.457
2001-03-27,2569.898
2001-03-28,2502.573
2001-03-29,2486.264
2001-03-30,2508.232
2001-04-02,2469.58
2001-04-03,2374.903
2001-04-04,2371.536
2001-04-05,2493.303
2001-04-06,2449.962
2001-04-09,2466.226
2001-04-10,2529.961
2001-04-11,2527.011
2001-04-12,2573.715
2001-04-13,2573.715
2001-04-16,2550.865
2001-04-17,2588.697
2001-04-18,2699.835
2001-04-19,2764.288
2001-04-20,2747.475
2001-04-23,2686.183
2001-04-24,2633.09
2001-04-25,2687.875
2001-04-26,2692.108
2001-04-27,2736.685
2001-04-30,2737.605
2001-05-01,2785.91
2001-05-02,2802.296
2001-05-03,2748.001
2001-05-04,2799.153
2001-05-07,2792.616
2001-05-08,2799.526
2001-05-09,2773.969
2001-05-10,2763.296
2001-05-11,2742.054
2001-05-14,2741.17
2001-05-15,2739.428
2001-05-16,2831.615
2001-05-17,2840.524
2001-05-18,2839.761
2001-05-21,2894.027
2001-05-22,2878.899
2001-05-23,2828.754
2001-05-24,2847.75
2001-05-25,2806.744
2001-05-28,2806.744
2001-05-29,2777.079
2001-05-30,2722.927
2001-05-31,2731.106
2001-06-01,2755.076
2001-06-04,2771.482
2001-06-05,2819.217
2001-06-06,2794.455
2001-06-07,2828.407
2001-06-08,2792.768
2001-06-11,2758.535
2001-06-12,2769.448
2001-06-13,2727.213
2001-06-14,2686.102
2001-06-15,2658.383
2001-06-18,2652.235
2001-06-19,2662.743
2001-06-20,2704.979
2001-06-21,2726.5
2001-06-22,2690.862
2001-06-25,2680.699
2001-06-26,2671.716
2001-06-27,2655.734
2001-06-28,2704.148
2001-06-29,2672.004
2001-07-02,2712.784
2001-07-03,2703.977
2001-07-04,2703.977
2001-07-05,2652.03
2001-07-06,2576.063
2001-07-09,2606.029
2001-07-10,2558.271
2001-07-11,2561.833
2001-07-12,2639.116
2001-07-13,2661.746
2001-07-16,2624.322
2001-07-17,2657.018
2001-07-18,2648.073
2001-07-19,2675.276
2001-07-20,2664.729
2001-07-23,2610.033
2001-07-24,2577.883
2001-07-25,2616.125
2001-07-26,2628.928
2001-07-27,2630.44
2001-07-30,2629.12
2001-07-31,2653.201
2001-08-01,2663.683
2001-08-02,2678.352
2001-08-03,2666.442
2001-08-06,2630.46
2001-08-07,2643.691
2001-08-08,2587.591
2001-08-09,2591.987
2001-08-10,2602.302
2001-08-13,2609.086
2001-08-14,2598.892
2001-08-15,2575.641
2001-08-16,2589.184
2001-08-17,2536.666
2001-08-20,2564.339
2001-08-21,2517.199
2001-08-22,2542.35
2001-08-23,2530.865
2001-08-24,2600.406
2001-08-27,2589.213
2001-08-28,2540.039
2001-08-29,2506.848
2001-08-30,2451.523
2001-08-31,2458.818
2001-09-03,2458.818
2001-09-04,2459.07
2001-09-05,2479.069
2001-09-06,2410.911
2001-09-07,2370.035
2001-09-10,2395.978
2001-09-11,2395.978
2001-09-12,2395.978
2001-09-13,2395.978
2001-09-14,2395.978
2001-09-17,2294.391
2001-09-18,2276.126
2001-09-19,2236.089
2001-09-20,2164.592
2001-09-21,2116.65
2001-09-24,2211.138
2001-09-25,2227.332
2001-09-26,2219.037
2001-09-27,2242.443
2001-09-28,2281.225
2001-10-01,2287.793
2001-10-02,2306.863
2001-10-03,2356.846
2001-10-04,2350.411
2001-10-05,2376.571
2001-10-08,2367.817
2001-10-09,2339.249
2001-10-10,2397.814
2001-10-11,2438.662
2001-10-12,2436.494
2001-10-15,2437.959
2001-10-16,2449.61
2001-10-17,2396.009
2001-10-18,2396.578
2001-10-19,2416.724
2001-10-22,2463.261
2001-10-23,2446.187
2001-10-24,2460.324
2001-10-25,2491.126
2001-10-26,2489.047
2001-10-29,2422.889
2001-10-30,2384.094
2001-10-31,2384.267
2001-11-01,2448.521
2001-11-02,2455.64
2001-11-05,2492.492
2001-11-06,2539.898
2001-11-07,2531.845
2001-11-08,2535.51
2001-11-09,2540.285
2001-11-12,2538.914
2001-11-13,2585.812
2001-11-14,2598.252
2001-11-15,2607.579
2001-11-16,2596.913
2001-11-19,2629.364
2001-11-20,2602.922
2001-11-21,2598.2
2001-11-22,2598.2
2001-11-23,2624.65
2001-11-26,2645.301
2001-11-27,2620.523
2001-11-28,2575.023
2001-11-29,2608.508
