Date,USA GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,111.724
1975-02-28,122.293
1975-03-31,126.421
1975-04-30,132.058
1975-05-30,137.575
1975-06-30,141.293
1975-07-31,128.326
1975-08-29,125.339
1975-09-30,119.026
1975-10-31,129.205
1975-11-28,134.357
1975-12-31,130.974
1976-01-30,146.73
1976-02-27,143.35
1976-03-31,147.462
1976-04-30,143.355
1976-05-31,140.914
1976-06-30,146.647
1976-07-30,144.076
1976-08-31,143.683
1976-09-30,145.006
1976-10-29,141.51
1976-11-30,139.212
1976-12-31,144.807
1977-01-31,133.484
1977-02-28,131.29
1977-03-31,129.194
1977-04-29,126.409
1977-05-31,122.373
1977-06-30,129.96
1977-07-29,128.393
1977-08-31,128.973
1977-09-30,128.182
1977-10-31,122.676
1977-11-30,125.98
1977-12-30,125.69
1978-01-31,117.994
1978-02-28,113.596
1978-03-31,114.718
1978-04-28,128.923
1978-05-31,130.26
1978-06-30,128.824
1978-07-31,138.29
1978-08-31,141.917
1978-09-29,137.619
1978-10-31,126.244
1978-11-30,128.232
1978-12-29,132.388
1979-01-31,137.249
1979-02-28,131.641
1979-03-30,139.118
1979-04-30,139.023
1979-05-31,136.292
1979-06-29,139.227
1979-07-31,139.809
1979-08-31,147.746
1979-09-28,146.674
1979-10-31,138.097
1979-11-30,145.054
1979-12-31,148.245
1980-01-31,156.432
1980-02-29,153.737
1980-03-31,138.081
1980-04-30,142.005
1980-05-30,147.899
1980-06-30,153.256
1980-07-31,165.319
1980-08-29,166.871
1980-09-30,173.399
1980-10-31,179.07
1980-11-28,201.095
1980-12-31,191.65
1981-01-30,180.626
1981-02-27,186.264
1981-03-31,188.575
1981-04-30,179.566
1981-05-29,176.675
1981-06-30,174.95
1981-07-31,179.383
1981-08-31,168.132
1981-09-30,158.393
1981-10-30,169.111
1981-11-30,176.605
1981-12-31,171.647
1982-01-29,168.933
1982-02-26,157.879
1982-03-31,155.663
1982-04-30,164.839
1982-05-31,158.559
1982-06-30,155.887
1982-07-30,154.375
1982-08-31,172.783
1982-09-30,176.789
1982-10-29,196.039
1982-11-30,205.587
1982-12-31,209.743
1983-01-31,214.982
1983-02-28,220.623
1983-03-31,227.207
1983-04-29,242.708
1983-05-31,237.124
1983-06-30,250.732
1983-07-29,238.236
1983-08-31,239.619
1983-09-30,244.264
1983-10-31,239.675
1983-11-30,243.715
1983-12-30,242.289
1984-01-31,233.804
1984-02-29,223.218
1984-03-30,227.177
1984-04-30,228.446
1984-05-31,217.793
1984-06-29,224.803
1984-07-31,224.49
1984-08-31,247.338
1984-09-28,242.687
1984-10-31,246.404
1984-11-30,241.285
1984-12-31,246.897
1985-01-31,268.75
1985-02-28,270.765
1985-03-29,269.773
1985-04-30,265.012
1985-05-31,281.18
1985-06-28,284.618
1985-07-31,286.876
1985-08-30,282.769
1985-09-30,274.71
1985-10-31,285.12
1985-11-29,310.587
1985-12-31,330.067
1986-01-31,330.603
1986-02-28,356.258
1986-03-31,378.617
1986-04-30,378.433
1986-05-30,397.258
1986-06-30,403.822
1986-07-31,379.53
1986-08-29,398.193
1986-09-30,357.137
1986-10-31,376.745
1986-11-28,384.95
1986-12-31,377.177
1987-01-30,431.478
1987-02-27,459.488
1987-03-31,468.267
1987-04-30,463.403
1987-05-29,465.595
1987-06-30,489.875
1987-07-31,514.681
1987-08-31,541.007
1987-09-30,527.346
1987-10-30,410.437
1987-11-30,371.104
1987-12-31,399.098
1988-01-29,402.58
1988-02-29,423.088
1988-03-31,407.208
1988-04-29,405.724
1988-05-31,405.913
1988-06-30,421.78
1988-07-29,418.746
1988-08-31,405.643
1988-09-30,424.895
1988-10-31,436.226
1988-11-30,428.523
1988-12-30,436.85
1989-01-31,468.81
1989-02-28,455.776
1989-03-31,468.921
1989-04-28,499.31
1989-05-31,522.069
1989-06-30,518.412
1989-07-31,576.697
1989-08-31,582.853
1989-09-29,583.842
1989-10-31,575.717
1989-11-30,591.104
1989-12-29,601.751
1990-01-31,558.659
1990-02-28,560.924
1990-03-30,582.755
1990-04-30,577.279
1990-05-31,639.182
1990-06-29,648.016
1990-07-31,644.904
1990-08-31,583.259
1990-09-28,554.6
1990-10-31,556.152
1990-11-30,590.121
1990-12-31,606.965
1991-01-31,634.088
1991-02-28,684.826
1991-03-29,710.725
1991-04-30,712.671
1991-05-31,742.178
1991-06-28,708.41
1991-07-31,748.091
1991-08-30,774.255
1991-09-30,750.789
1991-10-31,760.543
1991-11-29,740.437
1991-12-31,850.122
1992-01-31,826.473
1992-02-28,828.405
1992-03-31,812.527
1992-04-30,818.434
1992-05-29,821.511
1992-06-30,798.995
1992-07-31,835.211
1992-08-31,821.296
1992-09-30,829.59
1992-10-30,843.514
1992-11-30,878.765
1992-12-31,883.658
1993-01-29,873.137
1993-02-26,863.698
1993-03-31,874.6
1993-04-30,838.263
1993-05-31,869.178
1993-06-30,859.754
1993-07-30,841.637
1993-08-31,872.012
1993-09-30,853.468
1993-10-29,884.803
1993-11-30,889.022
1993-12-31,894.675
1994-01-31,920.416
1994-02-28,901.917
1994-03-31,857.799
1994-04-29,865.374
1994-05-31,878.917
1994-06-30,850.296
1994-07-29,878.333
1994-08-31,921.357
1994-09-30,912.956
1994-10-31,931.616
1994-11-30,903.917
1994-12-30,919.288
1995-01-31,942.564
1995-02-28,977.495
1995-03-31,1003.959
1995-04-28,1032.555
1995-05-31,1070.857
1995-06-30,1106.552
1995-07-31,1138.59
1995-08-31,1129.145
1995-09-29,1191.285
1995-10-31,1206.031
1995-11-30,1250.215
1995-12-29,1259.509
1996-01-31,1308.667
1996-02-29,1325.263
1996-03-29,1328.293
1996-04-30,1348.236
1996-05-31,1405.213
1996-06-28,1425.011
1996-07-31,1363.622
1996-08-30,1385.119
1996-09-30,1483.106
1996-10-31,1504.418
1996-11-29,1616.686
1996-12-31,1582.512
1997-01-31,1715.998
1997-02-28,1730.698
1997-03-31,1635.19
1997-04-30,1783.194
1997-05-30,1882.088
1997-06-30,1982.573
1997-07-31,2123.816
1997-08-29,1967.998
1997-09-30,2060.357
1997-10-31,1996.997
1997-11-28,2108.999
1997-12-31,2118.292
1998-01-30,2197.122
1998-02-27,2359.045
1998-03-31,2484.407
1998-04-30,2489.242
1998-05-29,2447.291
1998-06-30,2635.102
1998-07-31,2619.618
1998-08-31,2298.655
1998-09-30,2474.949
1998-10-30,2652.972
1998-11-30,2862.996
1998-12-31,3117.543
1999-01-29,3301.842
1999-02-26,3151.727
1999-03-31,3333.262
1999-04-30,3283.603
1999-05-31,3186.785
1999-06-30,3446.421
1999-07-30,3315.746
1999-08-31,3384.399
1999-09-30,3336.214
1999-10-29,3581.747
1999-11-30,3737.673
1999-12-31,4156.95
2000-01-31,3857.501
2000-02-29,3899.118
2000-03-31,4273.523
2000-04-28,3985.786
2000-05-31,3760.84
2000-06-30,4053.382
2000-07-31,3873.21
2000-08-31,4081.518
2000-09-29,3665.956
2000-10-31,3553.542
2000-11-30,3195.309
2000-12-29,3029.849
2001-01-31,3210.345
2001-02-28,2753.088
2001-03-30,2508.232
2001-04-30,2737.605
2001-05-31,2731.106
2001-06-29,2672.004
2001-07-31,2653.201
2001-08-31,2458.818
2001-09-28,2281.225
2001-10-31,2384.267
2001-11-30,2609.923
2001-12-31,2618.11
2002-01-31,2573.076
2002-02-28,2559.009
2002-03-29,2585.163
2002-04-30,2384.223
2002-05-31,2352.946
2002-06-28,2163.306
2002-07-31,2074.662
2002-08-30,2084.799
2002-09-30,1858.528
2002-10-31,2035.011
2002-11-29,2116.393
2002-12-31,2007.984
2003-01-31,1950.938
2003-02-28,1939.981
2003-03-31,1985.462
2003-04-30,2107.696
2003-05-30,2173.809
2003-06-30,2198.415
2003-07-31,2253.618
2003-08-29,2297.474
2003-09-30,2265.397
2003-10-31,2404.927
2003-11-28,2420.203
2003-12-31,2497.953
2004-01-30,2550.688
2004-02-27,2566.397
2004-03-31,2520.036
2004-04-30,2490.363
2004-05-31,2537.078
2004-06-30,2566.073
2004-07-30,2425.287
2004-08-31,2409.153
2004-09-30,2441.172
2004-10-29,2479.849
2004-11-30,2570.972
2004-12-31,2661.996
2005-01-31,2582.156
2005-02-28,2609.737
2005-03-31,2567.069
2005-04-29,2511.983
