Date,USA GROWTH Standard (Large+Mid Cap)
2001-01-01,3686.251
2001-01-02,3522.713
2001-01-03,3813.539
2001-01-04,3758.377
2001-01-05,3628.567
2001-01-08,3603.255
2001-01-09,3650.568
2001-01-10,3694.745
2001-01-11,3773.882
2001-01-12,3748.3
2001-01-15,3748.3
2001-01-16,3765.974
2001-01-17,3778.535
2001-01-18,3876.919
2001-01-19,3879.867
2001-01-22,3872.377
2001-01-23,3926.118
2001-01-24,3941.991
2001-01-25,3885.73
2001-01-26,3897.614
2001-01-29,3918.685
2001-01-30,3942.199
2001-01-31,3906.14
2001-02-01,3938.844
2001-02-02,3833.263
2001-02-05,3827.855
2001-02-06,3837.722
2001-02-07,3785.797
2001-02-08,3722.674
2001-02-09,3616.094
2001-02-12,3678.677
2001-02-13,3615.358
2001-02-14,3648.414
2001-02-15,3697.07
2001-02-16,3591.837
2001-02-19,3591.837
2001-02-20,3510.258
2001-02-21,3436.926
2001-02-22,3414.33
2001-02-23,3407.937
2001-02-26,3472.608
2001-02-27,3412.715
2001-02-28,3350.319
2001-03-01,3372.081
2001-03-02,3306.694
2001-03-05,3327.872
2001-03-06,3354.912
2001-03-07,3365.272
2001-03-08,3356.695
2001-03-09,3251.46
2001-03-12,3083.379
2001-03-13,3162.733
2001-03-14,3089.552
2001-03-15,3080.321
2001-03-16,3015.366
2001-03-19,3067.219
2001-03-20,2983.044
2001-03-21,2939.205
2001-03-22,2965.65
2001-03-23,3023.855
2001-03-26,3037.843
2001-03-27,3128.464
2001-03-28,3046.51
2001-03-29,3026.663
2001-03-30,3053.406
2001-04-02,3006.353
2001-04-03,2891.098
2001-04-04,2887.163
2001-04-05,3035.436
2001-04-06,2982.723
2001-04-09,3002.524
2001-04-10,3080.191
2001-04-11,3076.599
2001-04-12,3133.46
2001-04-13,3133.46
2001-04-16,3105.641
2001-04-17,3151.701
2001-04-18,3287.142
2001-04-19,3365.616
2001-04-20,3345.151
2001-04-23,3270.526
2001-04-24,3205.883
2001-04-25,3272.586
2001-04-26,3277.747
2001-04-27,3332.074
2001-04-30,3333.194
2001-05-01,3392.008
2001-05-02,3411.958
2001-05-03,3345.882
2001-05-04,3408.163
2001-05-07,3400.24
2001-05-08,3408.709
2001-05-09,3377.658
2001-05-10,3364.667
2001-05-11,3338.873
2001-05-14,3337.805
2001-05-15,3335.684
2001-05-16,3448.154
2001-05-17,3459.003
2001-05-18,3458.187
2001-05-21,3524.27
2001-05-22,3505.848
2001-05-23,3444.785
2001-05-24,3467.928
2001-05-25,3417.999
2001-05-28,3417.999
2001-05-29,3381.873
2001-05-30,3315.96
2001-05-31,3326.11
2001-06-01,3355.302
2001-06-04,3375.289
2001-06-05,3433.423
2001-06-06,3403.323
2001-06-07,3444.675
2001-06-08,3401.27
2001-06-11,3359.579
2001-06-12,3372.89
2001-06-13,3321.836
2001-06-14,3271.763
2001-06-15,3238.0
2001-06-18,3230.511
2001-06-19,3243.31
2001-06-20,3294.825
2001-06-21,3321.069
2001-06-22,3277.66
2001-06-25,3265.281
2001-06-26,3254.339
2001-06-27,3234.877
2001-06-28,3293.856
2001-06-29,3254.702
2001-07-02,3304.375
2001-07-03,3293.813
2001-07-04,3293.813
2001-07-05,3230.922
2001-07-06,3138.389
2001-07-09,3174.936
2001-07-10,3116.752
2001-07-11,3121.164
2001-07-12,3215.32
2001-07-13,3242.891
2001-07-16,3197.296
2001-07-17,3237.131
2001-07-18,3226.374
2001-07-19,3259.522
2001-07-20,3246.673
2001-07-23,3180.032
2001-07-24,3140.86
2001-07-25,3187.454
2001-07-26,3203.053
2001-07-27,3204.904
2001-07-30,3203.346
2001-07-31,3232.688
2001-08-01,3245.459
2001-08-02,3263.332
2001-08-03,3248.851
2001-08-06,3205.009
2001-08-07,3221.169
2001-08-08,3152.871
2001-08-09,3158.295
2001-08-10,3170.863
2001-08-13,3179.199
2001-08-14,3166.787
2001-08-15,3138.619
2001-08-16,3155.129
2001-08-17,3091.253
2001-08-20,3124.976
2001-08-21,3067.53
2001-08-22,3098.233
2001-08-23,3084.237
2001-08-24,3168.994
2001-08-27,3155.353
2001-08-28,3095.456
2001-08-29,3055.036
2001-08-30,2987.794
2001-08-31,2996.691
2001-09-03,2996.691
2001-09-04,2996.998
2001-09-05,3021.406
2001-09-06,2938.336
2001-09-07,2888.518
2001-09-10,2920.137
2001-09-11,2920.137
2001-09-12,2920.137
2001-09-13,2920.137
2001-09-14,2920.137
2001-09-17,2796.46
2001-09-18,2774.197
2001-09-19,2725.483
2001-09-20,2638.337
2001-09-21,2579.903
2001-09-24,2695.071
2001-09-25,2715.125
2001-09-26,2705.368
2001-09-27,2733.916
2001-09-28,2781.198
2001-10-01,2789.205
2001-10-02,2812.455
2001-10-03,2873.552
2001-10-04,2865.707
2001-10-05,2897.619
2001-10-08,2886.946
2001-10-09,2852.154
2001-10-10,2923.561
2001-10-11,2973.47
2001-10-12,2970.826
2001-10-15,2972.613
2001-10-16,2986.819
2001-10-17,2921.604
2001-10-18,2922.303
2001-10-19,2946.868
2001-10-22,3003.614
2001-10-23,2982.794
2001-10-24,3000.032
2001-10-25,3037.592
2001-10-26,3035.058
2001-10-29,2954.395
2001-10-30,2907.142
2001-10-31,2907.353
2001-11-01,2985.704
2001-11-02,2994.384
2001-11-05,3039.351
2001-11-06,3097.158
2001-11-07,3087.432
2001-11-08,3091.97
2001-11-09,3097.792
2001-11-12,3096.121
2001-11-13,3153.392
2001-11-14,3168.726
2001-11-15,3180.101
2001-11-16,3167.217
2001-11-19,3206.794
2001-11-20,3174.599
2001-11-21,3168.84
2001-11-22,3168.84
2001-11-23,3201.098
2001-11-26,3226.296
2001-11-27,3196.084
2001-11-28,3140.72
2001-11-29,3181.589
2001-11-30,3183.315
2001-12-03,3166.273
2001-12-04,3187.006
2001-12-05,3233.29
2001-12-06,3221.105
2001-12-07,3205.044
2001-12-10,3165.141
2001-12-11,3146.69
2001-12-12,3148.252
2001-12-13,3117.665
2001-12-14,3138.19
2001-12-17,3177.374
2001-12-18,3201.745
2001-12-19,3227.506
2001-12-20,3210.964
2001-12-21,3229.672
2001-12-24,3221.13
2001-12-25,3221.13
2001-12-26,3229.096
2001-12-27,3239.28
2001-12-28,3236.355
2001-12-31,3194.473
2002-01-01,3194.473
2002-01-02,3206.987
2002-01-03,3217.121
2002-01-04,3220.357
2002-01-07,3189.58
2002-01-08,3190.099
2002-01-09,3174.289
2002-01-10,3190.369
2002-01-11,3172.366
2002-01-14,3163.178
2002-01-15,3183.746
2002-01-16,3145.979
2002-01-17,3181.208
2002-01-18,3143.345
2002-01-21,3143.345
2002-01-22,3137.617
2002-01-23,3146.017
2002-01-24,3140.017
