Date,PORTUGAL SMID CAP SMID (Small+Mid Cap)
1994-05-31,193.869
1994-06-30,188.312
1994-07-29,200.833
1994-08-31,213.277
1994-09-30,208.938
1994-10-31,215.282
1994-11-30,210.014
1994-12-30,208.745
1995-01-31,201.123
1995-02-28,208.582
1995-03-31,222.826
1995-04-28,222.11
1995-05-31,220.846
1995-06-30,220.726
1995-07-31,218.222
1995-08-31,203.258
1995-09-29,207.163
1995-10-31,214.293
1995-11-30,203.681
1995-12-29,210.173
1996-01-31,219.897
1996-02-29,220.475
1996-03-29,226.132
1996-04-30,223.041
1996-05-31,226.835
1996-06-28,237.21
1996-07-31,243.183
1996-08-30,246.927
1996-09-30,242.597
1996-10-31,246.05
1996-11-29,248.645
1996-12-31,255.365
1997-01-31,263.313
1997-02-28,262.565
1997-03-31,263.812
1997-04-30,263.791
1997-05-30,276.77
1997-06-30,296.764
1997-07-31,313.033
1997-08-29,297.416
1997-09-30,332.634
1997-10-31,325.863
1997-11-28,321.766
1997-12-31,331.368
1998-01-30,370.736
1998-02-27,422.631
1998-03-31,494.827
1998-04-30,551.957
1998-05-29,534.683
1998-06-30,490.095
1998-07-31,511.981
1998-08-31,444.104
1998-09-30,386.651
1998-10-30,456.094
1998-11-30,470.844
1998-12-31,481.731
1999-01-29,474.823
1999-02-26,445.134
1999-03-31,418.184
1999-04-30,390.112
1999-05-31,393.424
1999-06-30,380.18
1999-07-30,387.292
1999-08-31,390.478
1999-09-30,396.157
1999-10-29,406.09
1999-11-30,405.716
1999-12-31,445.069
2000-01-31,455.571
2000-02-29,515.866
2000-03-31,465.862
2000-04-28,418.368
2000-05-31,413.189
2000-06-30,426.61
2000-07-31,422.886
2000-08-31,403.796
2000-09-29,395.36
2000-10-31,361.944
2000-11-30,360.294
2000-12-29,374.5
2001-01-31,400.065
2001-02-28,370.757
2001-03-30,340.158
2001-04-30,327.922
2001-05-31,303.789
2001-06-29,274.773
2001-07-31,271.476
2001-08-31,260.169
2001-09-28,235.848
2001-10-31,260.298
2001-11-30,264.13
2001-12-31,269.559
2002-01-31,263.647
2002-02-28,261.961
2002-03-29,276.399
2002-04-30,286.109
2002-05-31,291.268
2002-06-28,288.21
2002-07-31,254.926
2002-08-30,253.918
2002-09-30,204.598
2002-10-31,226.321
2002-11-29,257.839
2002-12-31,255.907
2003-01-31,253.933
2003-02-28,234.618
2003-03-31,243.554
2003-04-30,258.564
2003-05-30,284.74
