Date,PORTUGAL SMID CAP SMID (Small+Mid Cap)
2001-01-01,357.707
2001-01-02,362.821
2001-01-03,358.309
2001-01-04,365.801
2001-01-05,364.944
2001-01-08,360.166
2001-01-09,358.162
2001-01-10,361.572
2001-01-11,371.078
2001-01-12,378.069
2001-01-15,375.501
2001-01-16,369.733
2001-01-17,373.065
2001-01-18,379.603
2001-01-19,377.169
2001-01-22,375.924
2001-01-23,375.946
2001-01-24,374.874
2001-01-25,374.197
2001-01-26,374.946
2001-01-29,373.241
2001-01-30,376.604
2001-01-31,382.125
2001-02-01,384.689
2001-02-02,379.796
2001-02-05,377.489
2001-02-06,374.707
2001-02-07,373.829
2001-02-08,366.159
2001-02-09,362.198
2001-02-12,364.983
2001-02-13,362.077
2001-02-14,358.161
2001-02-15,355.399
2001-02-16,356.73
2001-02-19,357.974
2001-02-20,353.774
2001-02-21,353.303
2001-02-22,351.38
2001-02-23,349.042
2001-02-26,352.172
2001-02-27,355.657
2001-02-28,354.132
2001-03-01,356.103
2001-03-02,359.092
2001-03-05,362.662
2001-03-06,364.781
2001-03-07,364.205
2001-03-08,365.008
2001-03-09,358.981
2001-03-12,354.479
2001-03-13,350.526
2001-03-14,344.892
2001-03-15,344.035
2001-03-16,333.965
2001-03-19,331.515
2001-03-20,334.499
2001-03-21,326.746
2001-03-22,309.49
2001-03-23,320.324
2001-03-26,322.048
2001-03-27,323.632
2001-03-28,321.175
2001-03-29,322.896
2001-03-30,324.905
2001-04-02,321.801
2001-04-03,317.046
2001-04-04,324.065
2001-04-05,326.887
2001-04-06,327.05
2001-04-09,328.693
2001-04-10,326.479
2001-04-11,321.871
2001-04-12,323.655
2001-04-13,323.655
2001-04-16,320.34
2001-04-17,315.923
2001-04-18,314.985
2001-04-19,321.329
2001-04-20,320.089
2001-04-23,314.962
2001-04-24,315.598
2001-04-25,316.764
2001-04-26,318.067
2001-04-27,313.286
2001-04-30,314.498
2001-05-01,316.165
2001-05-02,315.607
2001-05-03,314.495
2001-05-04,315.215
2001-05-07,313.44
2001-05-08,309.404
2001-05-09,307.851
2001-05-10,307.574
2001-05-11,303.186
2001-05-14,302.145
2001-05-15,304.857
2001-05-16,305.962
2001-05-17,303.987
2001-05-18,300.499
2001-05-21,300.763
2001-05-22,294.967
2001-05-23,292.006
2001-05-24,291.734
2001-05-25,296.642
2001-05-28,300.853
2001-05-29,296.581
2001-05-30,296.702
2001-05-31,291.658
2001-06-01,292.479
2001-06-04,292.234
2001-06-05,291.318
2001-06-06,290.161
2001-06-07,289.596
2001-06-08,287.264
2001-06-11,279.607
2001-06-12,278.219
2001-06-13,283.091
