Date,PORTUGAL SMID CAP SMID (Small+Mid Cap)
1994-05-31,182.034
1994-06-30,176.816
1994-07-29,188.573
1994-08-31,200.258
1994-09-30,196.183
1994-10-31,202.14
1994-11-30,197.194
1994-12-30,196.002
1995-01-31,188.846
1995-02-28,195.849
1995-03-31,209.23
1995-04-28,209.43
1995-05-31,208.394
1995-06-30,208.281
1995-07-31,205.918
1995-08-31,191.798
1995-09-29,195.482
1995-10-31,202.211
1995-11-30,192.197
1995-12-29,198.323
1996-01-31,207.499
1996-02-29,208.044
1996-03-29,213.391
1996-04-30,211.203
1996-05-31,214.926
1996-06-28,224.767
1996-07-31,230.427
1996-08-30,233.975
1996-09-30,229.872
1996-10-31,233.143
1996-11-29,235.602
1996-12-31,241.97
1997-01-31,249.501
1997-02-28,248.792
1997-03-31,249.974
1997-04-30,250.238
1997-05-30,262.729
1997-06-30,281.729
1997-07-31,297.174
1997-08-29,282.348
1997-09-30,315.781
1997-10-31,309.353
1997-11-28,305.465
1997-12-31,314.584
1998-01-30,351.958
1998-02-27,401.224
1998-03-31,469.91
1998-04-30,524.734
1998-05-29,508.464
1998-06-30,466.121
1998-07-31,486.937
1998-08-31,422.38
1998-09-30,367.737
1998-10-30,433.783
1998-11-30,447.812
1998-12-31,458.166
1999-01-29,451.596
1999-02-26,423.36
1999-03-31,397.728
1999-04-30,371.524
1999-05-31,375.024
1999-06-30,362.409
1999-07-30,369.188
1999-08-31,372.225
1999-09-30,377.64
1999-10-29,387.108
1999-11-30,386.752
1999-12-31,424.266
2000-01-31,434.276
2000-02-29,491.753
2000-03-31,444.086
2000-04-28,399.426
2000-05-31,394.647
2000-06-30,407.476
2000-07-31,403.919
2000-08-31,385.686
2000-09-29,377.627
2000-10-31,345.711
2000-11-30,344.135
2000-12-29,357.707
2001-01-31,382.125
2001-02-28,354.132
2001-03-30,324.905
2001-04-30,314.498
2001-05-31,291.658
2001-06-29,263.806
2001-07-31,260.642
2001-08-31,249.786
2001-09-28,226.435
2001-10-31,249.937
2001-11-30,253.616
2001-12-31,258.829
2002-01-31,253.153
2002-02-28,251.533
2002-03-29,265.397
2002-04-30,275.707
2002-05-31,280.786
2002-06-28,278.524
2002-07-31,246.381
2002-08-30,245.407
2002-09-30,197.74
2002-10-31,218.735
2002-11-29,249.196
2002-12-31,247.329
2003-01-31,245.421
2003-02-28,226.754
2003-03-31,235.929
2003-04-30,251.381
2003-05-30,276.83
2003-06-30,278.019
2003-07-31,268.533
2003-08-29,276.035
2003-09-30,301.386
2003-10-31,309.922
2003-11-28,338.584
2003-12-31,364.423
2004-01-30,373.011
2004-02-27,407.012
2004-03-31,396.689
2004-04-30,395.025
2004-05-31,391.915
2004-06-30,400.563
2004-07-30,382.652
2004-08-31,389.112
2004-09-30,410.552
2004-10-29,425.87
2004-11-30,451.1
2004-12-31,465.912
2005-01-31,474.267
2005-02-28,475.412
2005-03-31,458.098
2005-04-29,458.551
2005-05-31,439.404
2005-06-30,436.382
