Date,PORTUGAL SMID CAP SMID (Small+Mid Cap)
2001-01-01,374.5
2001-01-02,379.855
2001-01-03,375.13
2001-01-04,382.974
2001-01-05,382.076
2001-01-08,377.075
2001-01-09,374.977
2001-01-10,378.546
2001-01-11,388.499
2001-01-12,395.817
2001-01-15,393.13
2001-01-16,387.09
2001-01-17,390.579
2001-01-18,397.424
2001-01-19,394.875
2001-01-22,393.572
2001-01-23,393.595
2001-01-24,392.473
2001-01-25,391.764
2001-01-26,392.548
2001-01-29,390.764
2001-01-30,394.284
2001-01-31,400.065
2001-02-01,402.749
2001-02-02,397.626
2001-02-05,395.211
2001-02-06,392.298
2001-02-07,391.378
2001-02-08,383.349
2001-02-09,379.201
2001-02-12,382.117
2001-02-13,379.075
2001-02-14,374.976
2001-02-15,372.083
2001-02-16,373.477
2001-02-19,374.779
2001-02-20,370.382
2001-02-21,369.889
2001-02-22,367.876
2001-02-23,365.429
2001-02-26,368.705
2001-02-27,372.353
2001-02-28,370.757
2001-03-01,372.82
2001-03-02,375.95
2001-03-05,379.687
2001-03-06,381.906
2001-03-07,381.303
2001-03-08,382.143
2001-03-09,375.833
2001-03-12,371.121
2001-03-13,366.982
2001-03-14,361.084
2001-03-15,360.186
2001-03-16,349.644
2001-03-19,347.079
2001-03-20,350.203
2001-03-21,342.086
2001-03-22,324.019
2001-03-23,335.362
2001-03-26,337.167
2001-03-27,338.825
2001-03-28,336.253
2001-03-29,338.055
2001-03-30,340.158
2001-04-02,336.909
2001-04-03,331.93
2001-04-04,339.279
2001-04-05,342.233
2001-04-06,342.404
2001-04-09,344.123
2001-04-10,341.557
2001-04-11,336.4
2001-04-12,338.264
2001-04-13,338.264
2001-04-16,334.799
2001-04-17,330.065
2001-04-18,329.075
2001-04-19,335.616
2001-04-20,334.15
2001-04-23,328.704
2001-04-24,329.07
2001-04-25,330.285
2001-04-26,331.644
2001-04-27,326.659
2001-04-30,327.922
2001-05-01,329.661
2001-05-02,329.078
2001-05-03,327.919
2001-05-04,328.67
2001-05-07,326.82
2001-05-08,322.611
2001-05-09,320.991
2001-05-10,320.703
2001-05-11,316.127
2001-05-14,315.042
2001-05-15,317.869
2001-05-16,319.022
2001-05-17,316.963
2001-05-18,313.326
2001-05-21,313.597
2001-05-22,307.26
2001-05-23,304.175
2001-05-24,303.893
2001-05-25,308.992
2001-05-28,313.378
2001-05-29,308.917
