Date,GERMANY SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,405.14
1994-06-30,407.252
1994-07-29,412.293
1994-08-31,423.24
1994-09-30,406.37
1994-10-31,417.715
1994-11-30,391.328
1994-12-30,399.549
1995-01-31,392.726
1995-02-28,408.351
1995-03-31,411.632
1995-04-28,414.208
1995-05-31,416.853
1995-06-30,431.877
1995-07-31,444.664
1995-08-31,417.027
1995-09-29,413.827
1995-10-31,396.978
1995-11-30,382.405
1995-12-29,398.461
1996-01-31,391.674
1996-02-29,402.739
1996-03-29,393.622
1996-04-30,378.315
1996-05-31,384.745
1996-06-28,400.409
1996-07-31,393.718
1996-08-30,398.091
1996-09-30,393.369
1996-10-31,395.105
1996-11-29,396.617
1996-12-31,400.809
1997-01-31,399.787
1997-02-28,413.9
1997-03-31,432.619
1997-04-30,424.086
1997-05-30,451.505
1997-06-30,463.441
1997-07-31,465.844
1997-08-29,445.442
1997-09-30,462.509
1997-10-31,451.715
1997-11-28,444.51
1997-12-31,440.776
1998-01-30,453.233
1998-02-27,485.377
1998-03-31,513.94
1998-04-30,545.048
1998-05-29,580.376
1998-06-30,570.615
1998-07-31,605.507
1998-08-31,522.183
1998-09-30,507.652
1998-10-30,527.236
1998-11-30,541.451
1998-12-31,557.29
1999-01-29,589.112
1999-02-26,561.435
1999-03-31,530.373
1999-04-30,536.567
1999-05-31,524.801
1999-06-30,552.606
1999-07-30,567.678
1999-08-31,550.525
1999-09-30,514.242
1999-10-29,522.053
1999-11-30,555.193
1999-12-31,604.386
2000-01-31,648.64
2000-02-29,773.908
2000-03-31,746.369
2000-04-28,701.682
2000-05-31,653.571
2000-06-30,656.086
2000-07-31,665.3
2000-08-31,664.787
2000-09-29,610.152
2000-10-31,539.542
2000-11-30,443.86
2000-12-29,465.5
2001-01-31,472.374
2001-02-28,394.632
2001-03-30,333.767
2001-04-30,363.145
2001-05-31,344.791
2001-06-29,325.842
2001-07-31,308.564
2001-08-31,301.646
2001-09-28,258.399
2001-10-31,281.881
2001-11-30,300.432
2001-12-31,297.402
2002-01-31,291.545
2002-02-28,287.544
2002-03-29,298.498
2002-04-30,294.812
2002-05-31,298.499
2002-06-28,285.732
2002-07-31,241.875
2002-08-30,235.411
2002-09-30,199.939
2002-10-31,234.146
2002-11-29,238.065
2002-12-31,231.557
2003-01-31,229.548
2003-02-28,217.487
2003-03-31,224.614
2003-04-30,257.808
2003-05-30,290.16
2003-06-30,301.469
2003-07-31,315.282
2003-08-29,318.064
2003-09-30,326.793
2003-10-31,364.007
2003-11-28,366.599
2003-12-31,386.018
2004-01-30,406.285
2004-02-27,412.928
2004-03-31,407.744
2004-04-30,401.606
2004-05-31,406.365
2004-06-30,409.94
2004-07-30,381.874
2004-08-31,376.306
2004-09-30,399.059
2004-10-29,405.277
2004-11-30,438.171
2004-12-31,455.958
2005-01-31,450.282
2005-02-28,479.872
2005-03-31,474.123
2005-04-29,453.082
2005-05-31,462.69
2005-06-30,474.105
2005-07-29,507.382
2005-08-31,517.932
2005-09-30,528.517
2005-10-31,500.818
2005-11-30,516.987
2005-12-30,533.636
2006-01-31,600.024
2006-02-28,617.064
2006-03-31,661.882
2006-04-28,703.163
2006-05-31,660.346
2006-06-30,651.696
2006-07-31,647.903
2006-08-31,686.5
2006-09-29,701.882
2006-10-31,729.723
2006-11-30,761.304
2006-12-29,797.806
2007-01-31,827.456
2007-02-28,843.589
2007-03-30,899.623
2007-04-30,975.596
2007-05-31,1000.0
2007-06-29,1004.994
2007-07-31,993.779
2007-08-31,950.777
2007-09-28,1001.666
2007-10-31,1028.174
2007-11-30,958.975
2007-12-31,970.097
2008-01-31,834.609
2008-02-29,872.093
2008-03-31,885.646
2008-04-30,948.879
2008-05-30,985.85
2008-06-30,944.955
2008-07-31,864.636
2008-08-29,855.276
2008-09-30,636.266
2008-10-31,413.236
2008-11-28,394.984
2008-12-31,453.322
2009-01-30,383.209
2009-02-27,341.731
2009-03-31,365.529
2009-04-30,438.664
2009-05-29,495.684
2009-06-30,472.715
