Date,GERMANY SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,474.556
2001-01-02,459.779
2001-01-03,449.907
2001-01-04,451.997
2001-01-05,439.855
2001-01-08,420.633
2001-01-09,414.82
2001-01-10,417.425
2001-01-11,437.541
2001-01-12,449.992
2001-01-15,453.755
2001-01-16,448.067
2001-01-17,461.202
2001-01-18,473.559
2001-01-19,473.362
2001-01-22,474.06
2001-01-23,477.713
2001-01-24,476.299
2001-01-25,477.632
2001-01-26,476.247
2001-01-29,476.816
2001-01-30,479.925
2001-01-31,481.536
2001-02-01,484.505
2001-02-02,476.357
2001-02-05,467.658
2001-02-06,471.554
2001-02-07,463.343
2001-02-08,457.56
2001-02-09,455.436
2001-02-12,455.487
2001-02-13,449.301
2001-02-14,436.982
2001-02-15,434.723
2001-02-16,430.123
2001-02-19,424.619
2001-02-20,416.653
2001-02-21,413.68
2001-02-22,404.412
2001-02-23,396.243
2001-02-26,405.396
2001-02-27,409.168
2001-02-28,402.286
2001-03-01,391.966
2001-03-02,398.114
2001-03-05,396.325
2001-03-06,412.248
2001-03-07,415.95
2001-03-08,413.165
2001-03-09,405.609
2001-03-12,391.836
2001-03-13,377.302
2001-03-14,362.055
2001-03-15,365.302
2001-03-16,356.639
2001-03-19,351.706
2001-03-20,361.621
2001-03-21,345.474
2001-03-22,325.055
2001-03-23,337.172
2001-03-26,346.374
2001-03-27,351.723
2001-03-28,343.826
2001-03-29,338.811
2001-03-30,340.2
2001-04-02,334.699
2001-04-03,323.016
2001-04-04,327.569
2001-04-05,332.983
2001-04-06,330.87
2001-04-09,331.992
2001-04-10,335.53
2001-04-11,337.404
2001-04-12,344.517
2001-04-13,344.517
2001-04-16,340.989
2001-04-17,336.231
2001-04-18,348.761
2001-04-19,359.189
2001-04-20,363.331
2001-04-23,358.32
2001-04-24,357.799
2001-04-25,359.954
2001-04-26,368.365
2001-04-27,364.889
2001-04-30,370.082
2001-05-01,372.044
2001-05-02,377.605
2001-05-03,368.746
2001-05-04,370.241
2001-05-07,370.799
2001-05-08,369.617
2001-05-09,364.828
2001-05-10,365.464
2001-05-11,362.736
2001-05-14,356.449
2001-05-15,358.952
2001-05-16,361.889
2001-05-17,367.643
2001-05-18,367.644
2001-05-21,371.998
2001-05-22,375.841
2001-05-23,368.301
2001-05-24,367.775
2001-05-25,367.768
2001-05-28,367.362
2001-05-29,360.959
2001-05-30,354.523
2001-05-31,351.075
2001-06-01,350.471
2001-06-04,353.629
2001-06-05,354.445
2001-06-06,352.391
2001-06-07,353.145
2001-06-08,352.622
2001-06-11,346.903
2001-06-12,342.745
2001-06-13,347.026
2001-06-14,344.627
2001-06-15,341.351
2001-06-18,339.745
2001-06-19,339.727
