Date,GERMANY SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,418.884
1994-06-30,420.646
1994-07-29,425.52
1994-08-31,436.724
1994-09-30,419.307
1994-10-31,431.006
1994-11-30,403.744
1994-12-30,412.187
1995-01-31,405.143
1995-02-28,421.249
1995-03-31,424.607
1995-04-28,427.243
1995-05-31,429.737
1995-06-30,444.677
1995-07-31,457.435
1995-08-31,428.986
1995-09-29,425.694
1995-10-31,408.318
1995-11-30,393.328
1995-12-29,409.823
1996-01-31,402.826
1996-02-29,414.205
1996-03-29,404.829
1996-04-30,388.965
1996-05-31,395.357
1996-06-28,410.998
1996-07-31,403.899
1996-08-30,408.363
1996-09-30,403.519
1996-10-31,405.244
1996-11-29,406.795
1996-12-31,411.095
1997-01-31,410.047
1997-02-28,424.516
1997-03-31,443.702
1997-04-30,434.893
1997-05-30,462.705
1997-06-30,474.507
1997-07-31,476.624
1997-08-29,455.727
1997-09-30,473.188
1997-10-31,462.13
1997-11-28,454.759
1997-12-31,450.939
1998-01-30,463.611
1998-02-27,496.492
1998-03-31,525.708
1998-04-30,557.455
1998-05-29,593.352
1998-06-30,583.02
1998-07-31,618.324
1998-08-31,533.237
1998-09-30,518.398
1998-10-30,538.396
1998-11-30,552.912
1998-12-31,569.087
1999-01-29,601.583
1999-02-26,573.32
1999-03-31,541.587
1999-04-30,547.911
1999-05-31,535.77
1999-06-30,564.093
1999-07-30,579.452
1999-08-31,561.878
1999-09-30,524.847
1999-10-29,532.818
1999-11-30,566.642
1999-12-31,616.849
2000-01-31,662.011
2000-02-29,789.805
2000-03-31,761.647
2000-04-28,715.987
2000-05-31,666.7
2000-06-30,669.135
2000-07-31,678.304
2000-08-31,677.777
2000-09-29,622.072
2000-10-31,550.082
2000-11-30,452.502
2000-12-29,474.556
2001-01-31,481.536
2001-02-28,402.286
2001-03-30,340.2
2001-04-30,370.082
2001-05-31,351.075
2001-06-29,331.582
2001-07-31,313.777
2001-08-31,306.713
2001-09-28,262.74
2001-10-31,286.617
2001-11-30,305.46
2001-12-31,302.38
2002-01-31,296.407
2002-02-28,292.338
2002-03-29,303.446
2002-04-30,299.677
2002-05-31,302.987
2002-06-28,289.875
2002-07-31,245.306
2002-08-30,238.751
2002-09-30,202.768
2002-10-31,237.46
2002-11-29,241.433
2002-12-31,234.831
2003-01-31,232.547
2003-02-28,220.325
2003-03-31,227.462
2003-04-30,261.066
2003-05-30,293.369
2003-06-30,304.535
2003-07-31,318.454
2003-08-29,321.264
2003-09-30,330.074
2003-10-31,367.661
2003-11-28,370.279
2003-12-31,389.893
2004-01-30,410.32
2004-02-27,417.029
2004-03-31,411.705
2004-04-30,405.417
2004-05-31,409.835
2004-06-30,413.345
2004-07-30,385.009
2004-08-31,379.395
2004-09-30,402.328
2004-10-29,408.598
2004-11-30,441.761
2004-12-31,459.694
2005-01-31,453.917
2005-02-28,483.745
2005-03-31,477.93
2005-04-29,456.644
2005-05-31,465.537
2005-06-30,476.621
2005-07-29,510.029
2005-08-31,520.634
2005-09-30,531.27
2005-10-31,503.427
2005-11-30,519.68
2005-12-30,536.416
2006-01-31,603.11
2006-02-28,620.198
2006-03-31,665.23
2006-04-28,706.542
2006-05-31,662.224
2006-06-30,653.373
2006-07-31,649.494
2006-08-31,688.132
2006-09-29,703.55
2006-10-31,731.457
2006-11-30,763.113
2006-12-29,799.702
2007-01-31,829.265
2007-02-28,845.434
2007-03-30,901.504
2007-04-30,977.327
2007-05-31,1000.0
2007-06-29,1004.684
2007-07-31,993.186
2007-08-31,950.209
2007-09-28,1001.068
2007-10-31,1027.56
2007-11-30,958.402
2007-12-31,969.517
2008-01-31,833.994
2008-02-29,871.451
2008-03-31,884.846
2008-04-30,947.734
2008-05-30,982.847
2008-06-30,941.479
2008-07-31,861.433
2008-08-29,852.108
2008-09-30,633.91
2008-10-31,411.705
2008-11-28,393.521
2008-12-31,451.637
2009-01-30,381.614
2009-02-27,340.18
2009-03-31,363.731
2009-04-30,436.318
2009-05-29,490.78
2009-06-30,467.683
2009-07-31,496.234
2009-08-31,521.163
2009-09-30,578.283
2009-10-30,545.169
2009-11-30,599.912
2009-12-31,598.332
2010-01-29,574.707
2010-02-26,564.686
2010-03-31,611.891
2010-04-30,607.412
2010-05-31,522.975
2010-06-30,519.479
2010-07-30,578.33
2010-08-31,546.672
2010-09-30,629.819
2010-10-29,683.249
2010-11-30,644.452
2010-12-31,710.312
2011-01-31,716.759
2011-02-28,740.297
2011-03-31,752.907
2011-04-29,817.6
2011-05-31,794.687
2011-06-30,797.589
2011-07-29,742.916
2011-08-31,660.14
2011-09-30,559.03
2011-10-31,631.57
2011-11-30,602.231
2011-12-30,567.024
2012-01-31,629.645
2012-02-29,678.746
2012-03-30,683.288
2012-04-30,690.907
2012-05-31,599.807
2012-06-29,611.119
2012-07-31,623.116
2012-08-31,641.153
2012-09-28,667.607
2012-10-31,689.036
2012-11-30,714.309
2012-12-31,730.885
2013-01-31,775.99
2013-02-28,788.108
2013-03-29,773.896
2013-04-30,792.386
2013-05-31,807.056
2013-06-28,786.22
2013-07-31,830.35
2013-08-30,825.838
2013-09-30,887.724
2013-10-31,923.202
2013-11-29,941.721
2013-12-31,961.046
2014-01-31,945.453
2014-02-28,1020.316
2014-03-31,997.776
2014-04-30,982.99
2014-05-30,1013.731
2014-06-30,1007.459
2014-07-31,925.631
2014-08-29,929.146
2014-09-30,873.556
2014-10-31,862.656
2014-11-28,909.672
2014-12-31,903.437
2015-01-30,918.173
2015-02-27,963.725
2015-03-31,942.861
2015-04-30,955.638
2015-05-29,972.491
2015-06-30,947.329
2015-07-31,980.743
2015-08-31,946.24
2015-09-30,936.656
2015-10-30,992.136
2015-11-30,982.086
2015-12-31,989.124
2016-01-29,920.12
2016-02-29,904.173
2016-03-31,992.033
2016-04-29,980.169
2016-05-31,983.682
2016-06-30,945.915
2016-07-29,1027.624
2016-08-31,1035.952
2016-09-30,1066.165
2016-10-31,1012.022
2016-11-30,951.871
2016-12-30,987.878
2017-01-31,1037.31
2017-02-28,1050.721
2017-03-31,1093.946
2017-04-28,1150.811
2017-05-31,1242.718
2017-06-30,1232.148
2017-07-31,1292.662
2017-08-31,1308.683
2017-09-29,1377.334
2017-10-31,1398.638
2017-11-30,1434.177
2017-12-29,1461.7
2018-01-31,1556.496
2018-02-28,1488.786
2018-03-30,1435.103
2018-04-30,1438.053
2018-05-31,1434.032
2018-06-29,1399.758
2018-07-31,1482.297
2018-08-31,1493.133
2018-09-28,1417.91
2018-10-31,1264.007
2018-11-30,1200.387
2018-12-31,1107.784
2019-01-31,1224.437
2019-02-28,1246.634
2019-03-29,1252.822
2019-04-30,1320.955
2019-05-31,1228.145
2019-06-28,1299.429
2019-07-31,1281.162
2019-08-30,1256.844
2019-09-30,1259.886
2019-10-31,1296.163
2019-11-29,1357.68
2019-12-31,1426.48
2020-01-31,1423.611
2020-02-28,1305.853
2020-03-31,1104.704
2020-04-30,1216.201
2020-05-29,1394.508
2020-06-30,1444.834
2020-07-31,1541.77
2020-08-31,1622.954
2020-09-30,1600.14
2020-10-30,1494.953
2020-11-30,1682.482
2020-12-31,1857.386
2021-01-29,1856.971
2021-02-26,1794.802
2021-03-31,1755.346
2021-04-30,1912.492
2021-05-31,1951.891
2021-06-30,1947.024
2021-07-30,2007.099
2021-08-31,2042.838
2021-09-30,1887.179
2021-10-29,1896.665
2021-11-30,1839.78
2021-12-31,1846.941
2022-01-31,1625.565
2022-02-28,1538.16
2022-03-31,1469.754
2022-04-29,1317.098
2022-05-31,1303.695
2022-06-30,1147.816
2022-07-29,1210.679
2022-08-31,1089.57
2022-09-30,958.256
2022-10-31,1021.379
2022-11-30,1160.36
2022-12-30,1175.453
2023-01-31,1317.669
2023-02-28,1272.449
2023-03-31,1308.964
2023-04-28,1349.217
2023-05-31,1231.333
2023-06-30,1268.663
2023-07-31,1318.753
2023-08-31,1265.593
2023-09-29,1132.948
2023-10-31,1077.729
2023-11-30,1197.919
2023-12-29,1245.698
2024-01-31,1199.809
2024-02-29,1250.736
2024-03-29,1333.352
2024-04-30,1268.906
2024-05-31,1309.121
2024-06-28,1242.051
2024-07-31,1292.613
2024-08-30,1345.613
2024-09-30,1388.34
2024-10-31,1325.005
2024-11-29,1375.47
2024-12-31,1330.748
2025-01-31,1440.93
2025-02-28,1524.153
2025-03-31,1640.22
2025-04-30,1848.654
2025-05-30,2076.775
2025-06-30,2121.783
2025-07-31,2060.61
