Date,GERMANY SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,465.5
2001-01-02,451.005
2001-01-03,441.321
2001-01-04,443.371
2001-01-05,431.461
2001-01-08,412.606
2001-01-09,406.904
2001-01-10,409.46
2001-01-11,429.191
2001-01-12,441.405
2001-01-15,445.096
2001-01-16,439.516
2001-01-17,452.401
2001-01-18,464.522
2001-01-19,464.334
2001-01-22,465.04
2001-01-23,468.624
2001-01-24,467.236
2001-01-25,468.544
2001-01-26,467.185
2001-01-29,467.743
2001-01-30,470.793
2001-01-31,472.374
2001-02-01,475.286
2001-02-02,467.293
2001-02-05,458.76
2001-02-06,462.581
2001-02-07,454.527
2001-02-08,448.854
2001-02-09,446.771
2001-02-12,446.82
2001-02-13,440.752
2001-02-14,428.667
2001-02-15,426.451
2001-02-16,421.938
2001-02-19,416.54
2001-02-20,408.725
2001-02-21,405.809
2001-02-22,396.717
2001-02-23,388.704
2001-02-26,397.683
2001-02-27,401.382
2001-02-28,394.632
2001-03-01,384.508
2001-03-02,390.539
2001-03-05,388.784
2001-03-06,404.404
2001-03-07,408.084
2001-03-08,405.352
2001-03-09,397.939
2001-03-12,384.427
2001-03-13,370.167
2001-03-14,355.209
2001-03-15,358.394
2001-03-16,349.895
2001-03-19,345.055
2001-03-20,354.783
2001-03-21,338.941
2001-03-22,318.908
2001-03-23,330.796
2001-03-26,339.824
2001-03-27,345.072
2001-03-28,337.324
2001-03-29,332.404
2001-03-30,333.767
2001-04-02,328.375
2001-04-03,316.919
2001-04-04,321.391
2001-04-05,326.713
2001-04-06,324.64
2001-04-09,325.753
2001-04-10,329.225
2001-04-11,331.064
2001-04-12,338.043
2001-04-13,338.043
2001-04-16,334.581
2001-04-17,329.913
2001-04-18,342.207
2001-04-19,352.44
2001-04-20,356.503
2001-04-23,351.586
2001-04-24,351.075
2001-04-25,353.19
2001-04-26,361.445
2001-04-27,358.037
2001-04-30,363.145
2001-05-01,365.071
2001-05-02,370.527
2001-05-03,361.834
2001-05-04,363.385
2001-05-07,363.94
2001-05-08,362.78
2001-05-09,358.082
2001-05-10,358.747
2001-05-11,356.079
2001-05-14,349.91
2001-05-15,352.366
2001-05-16,355.257
2001-05-17,360.905
2001-05-18,360.912
2001-05-21,365.186
2001-05-22,369.048
2001-05-23,361.674
2001-05-24,361.157
2001-05-25,361.156
2001-05-28,360.76
2001-05-29,354.495
2001-05-30,348.176
2001-05-31,344.791
2001-06-01,344.24
2001-06-04,347.345
2001-06-05,348.147
2001-06-06,346.129
2001-06-07,346.873
2001-06-08,346.397
2001-06-11,340.793
2001-06-12,336.708
2001-06-13,340.921
2001-06-14,338.583
2001-06-15,335.365
2001-06-18,333.789
2001-06-19,333.77
2001-06-20,328.051
2001-06-21,329.917
2001-06-22,331.312
2001-06-25,328.549
2001-06-26,323.486
2001-06-27,322.232
2001-06-28,322.039
2001-06-29,325.842
2001-07-02,324.098
2001-07-03,321.598
2001-07-04,318.578
2001-07-05,309.94
2001-07-06,304.801
2001-07-09,305.494
2001-07-10,308.606
2001-07-11,305.385
2001-07-12,306.403
2001-07-13,308.044
2001-07-16,307.061
2001-07-17,301.269
2001-07-18,302.984
2001-07-19,304.968
2001-07-20,302.444
2001-07-23,299.534
2001-07-24,297.784
2001-07-25,299.774
2001-07-26,300.982
2001-07-27,304.983
2001-07-30,306.893
2001-07-31,308.564
2001-08-01,312.059
2001-08-02,314.859
2001-08-03,314.112
2001-08-06,308.137
2001-08-07,307.25
2001-08-08,305.926
2001-08-09,305.195
2001-08-10,308.498
2001-08-13,310.442
2001-08-14,311.715
2001-08-15,312.157
2001-08-16,305.983
2001-08-17,304.641
2001-08-20,300.534
2001-08-21,301.222
2001-08-22,305.159
2001-08-23,304.882
2001-08-24,308.287
2001-08-27,308.087
2001-08-28,306.907
2001-08-29,305.351
2001-08-30,300.893
2001-08-31,301.646
2001-09-03,296.739
2001-09-04,293.437
2001-09-05,287.567
2001-09-06,282.613
2001-09-07,280.258
2001-09-10,272.597
2001-09-11,261.873
2001-09-12,261.888
2001-09-13,261.805
2001-09-14,257.492
2001-09-17,256.862
2001-09-18,254.067
2001-09-19,254.485
2001-09-20,242.571
2001-09-21,235.721
2001-09-24,243.25
2001-09-25,248.46
2001-09-26,250.444
2001-09-27,253.534
2001-09-28,258.399
2001-10-01,256.774
2001-10-02,256.276
2001-10-03,258.859
2001-10-04,263.98
2001-10-05,264.673
2001-10-08,263.269
2001-10-09,264.544
2001-10-10,266.483
2001-10-11,272.08
2001-10-12,272.415
2001-10-15,272.777
2001-10-16,277.97
2001-10-17,279.539
2001-10-18,277.787
2001-10-19,275.38
2001-10-22,276.574
2001-10-23,280.35
2001-10-24,283.092
2001-10-25,282.678
2001-10-26,286.611
2001-10-29,286.724
2001-10-30,282.294
2001-10-31,281.881
2001-11-01,284.944
2001-11-02,284.307
2001-11-05,287.039
2001-11-06,288.012
2001-11-07,292.064
2001-11-08,292.479
2001-11-09,291.929
2001-11-12,290.668
2001-11-13,293.489
2001-11-14,296.222
2001-11-15,297.837
2001-11-16,301.772
2001-11-19,303.384
2001-11-20,301.296
2001-11-21,299.524
2001-11-22,302.346
2001-11-23,301.79
2001-11-26,303.963
2001-11-27,303.634
2001-11-28,298.291
2001-11-29,296.932
2001-11-30,300.432
2001-12-03,297.402
2001-12-04,299.386
2001-12-05,303.069
2001-12-06,304.36
2001-12-07,299.462
2001-12-10,297.597
2001-12-11,298.106
2001-12-12,298.59
2001-12-13,295.157
2001-12-14,293.67
2001-12-17,298.049
2001-12-18,297.988
2001-12-19,295.921
2001-12-20,293.826
2001-12-21,291.366
2001-12-24,288.462
2001-12-25,288.462
2001-12-26,288.709
2001-12-27,293.921
2001-12-28,294.43
2001-12-31,297.402
2002-01-01,297.402
2002-01-02,301.156
2002-01-03,305.756
2002-01-04,305.627
2002-01-07,304.923
2002-01-08,302.931
2002-01-09,303.221
2002-01-10,303.049
2002-01-11,301.262
2002-01-14,298.442
2002-01-15,297.615
2002-01-16,292.056
2002-01-17,295.691
2002-01-18,296.438
2002-01-21,296.146
2002-01-22,296.054
2002-01-23,298.104
2002-01-24,297.635
2002-01-25,293.481
2002-01-28,292.252
2002-01-29,290.851
2002-01-30,291.069
2002-01-31,291.545
2002-02-01,291.328
2002-02-04,293.186
2002-02-05,291.693
2002-02-06,288.966
2002-02-07,285.009
2002-02-08,284.759
2002-02-11,290.826
2002-02-12,288.937
2002-02-13,288.397
2002-02-14,288.139
2002-02-15,288.568
2002-02-18,285.513
2002-02-19,282.543
2002-02-20,281.077
2002-02-21,283.641
2002-02-22,284.453
2002-02-25,285.213
2002-02-26,285.856
2002-02-27,286.424
2002-02-28,287.544
2002-03-01,289.592
2002-03-04,294.084
2002-03-05,291.335
2002-03-06,294.565
2002-03-07,298.199
2002-03-08,298.275
2002-03-11,298.195
2002-03-12,294.696
2002-03-13,293.649
2002-03-14,296.686
2002-03-15,297.713
2002-03-18,299.662
2002-03-19,300.446
2002-03-20,300.12
2002-03-21,298.679
2002-03-22,298.616
2002-03-25,296.923
2002-03-26,297.071
2002-03-27,295.855
2002-03-28,298.498
2002-03-29,298.498
2002-04-01,300.945
2002-04-02,299.485
2002-04-03,296.72
2002-04-04,296.848
2002-04-05,298.479
2002-04-08,294.055
2002-04-09,296.437
2002-04-10,298.31
2002-04-11,297.708
2002-04-12,295.603
2002-04-15,296.761
2002-04-16,300.312
2002-04-17,301.384
2002-04-18,300.614
2002-04-19,299.292
2002-04-22,296.807
2002-04-23,297.368
2002-04-24,297.566
2002-04-25,296.884
2002-04-26,294.638
2002-04-29,294.558
2002-04-30,294.812
2002-05-01,296.521
2002-05-02,295.358
2002-05-03,296.335
2002-05-06,297.318
2002-05-07,294.323
2002-05-08,296.488
2002-05-09,295.191
2002-05-10,294.993
2002-05-13,295.949
2002-05-14,295.897
2002-05-15,299.438
2002-05-16,297.109
2002-05-17,298.518
