Date,DENMARK MID CAP Mid Cap
1994-05-31,96.736
1994-06-30,97.244
1994-07-29,102.602
1994-08-31,95.847
1994-09-30,95.888
1994-10-31,101.192
1994-11-30,99.606
1994-12-30,103.429
1995-01-31,106.77
1995-02-28,109.039
1995-03-31,110.829
1995-04-28,117.25
1995-05-31,121.709
1995-06-30,120.84
1995-07-31,128.03
1995-08-31,116.2
1995-09-29,114.466
1995-10-31,115.291
1995-11-30,117.341
1995-12-29,119.768
1996-01-31,123.738
1996-02-29,122.311
1996-03-29,120.744
1996-04-30,118.845
1996-05-31,116.722
1996-06-28,120.46
1996-07-31,123.948
1996-08-30,129.357
1996-09-30,134.262
1996-10-31,133.555
1996-11-29,133.714
1996-12-31,138.318
1997-01-31,138.554
1997-02-28,142.269
1997-03-31,143.813
1997-04-30,139.369
1997-05-30,148.175
1997-06-30,155.981
1997-07-31,156.622
1997-08-29,149.417
1997-09-30,157.175
1997-10-31,161.615
1997-11-28,160.863
1997-12-31,166.03
1998-01-30,174.646
1998-02-27,174.598
1998-03-31,190.239
1998-04-30,189.865
1998-05-29,187.343
1998-06-30,197.596
1998-07-31,208.81
1998-08-31,183.318
1998-09-30,177.381
1998-10-30,180.682
1998-11-30,173.457
1998-12-31,176.266
1999-01-29,170.415
1999-02-26,159.536
1999-03-31,153.398
1999-04-30,151.98
1999-05-31,151.4
1999-06-30,145.343
1999-07-30,145.687
1999-08-31,143.663
1999-09-30,143.664
1999-10-29,151.633
1999-11-30,155.395
1999-12-31,155.021
2000-01-31,148.251
2000-02-29,145.0
2000-03-31,152.684
2000-04-28,144.873
2000-05-31,143.068
2000-06-30,149.113
2000-07-31,161.189
2000-08-31,166.617
2000-09-29,171.414
2000-10-31,175.401
2000-11-30,169.239
2000-12-29,194.725
2001-01-31,205.104
2001-02-28,185.923
2001-03-30,156.079
2001-04-30,164.609
2001-05-31,169.702
2001-06-29,163.974
2001-07-31,168.203
2001-08-31,157.194
2001-09-28,136.906
