Date,DENMARK MID CAP Mid Cap
2001-01-01,194.725
2001-01-02,195.362
2001-01-03,194.015
2001-01-04,195.602
2001-01-05,192.785
2001-01-08,192.791
2001-01-09,191.435
2001-01-10,190.889
2001-01-11,192.715
2001-01-12,195.514
2001-01-15,193.328
2001-01-16,193.341
2001-01-17,196.499
2001-01-18,201.454
2001-01-19,198.44
2001-01-22,200.478
2001-01-23,202.781
2001-01-24,200.438
2001-01-25,198.646
2001-01-26,199.728
2001-01-29,199.614
2001-01-30,201.071
2001-01-31,205.104
2001-02-01,203.632
2001-02-02,199.21
2001-02-05,198.665
2001-02-06,199.113
2001-02-07,199.466
2001-02-08,198.249
2001-02-09,199.557
2001-02-12,200.412
2001-02-13,196.987
2001-02-14,194.314
2001-02-15,191.38
2001-02-16,192.187
2001-02-19,190.676
2001-02-20,188.805
2001-02-21,189.861
2001-02-22,189.618
2001-02-23,187.348
2001-02-26,187.709
2001-02-27,190.307
2001-02-28,185.923
2001-03-01,184.099
2001-03-02,182.529
2001-03-05,178.676
2001-03-06,179.882
2001-03-07,180.465
2001-03-08,180.728
2001-03-09,180.351
2001-03-12,176.471
2001-03-13,169.659
2001-03-14,165.572
2001-03-15,164.099
2001-03-16,158.993
2001-03-19,156.096
2001-03-20,160.517
2001-03-21,159.62
2001-03-22,151.544
2001-03-23,155.794
2001-03-26,163.228
2001-03-27,165.215
2001-03-28,159.867
2001-03-29,157.016
2001-03-30,156.079
2001-04-02,147.49
2001-04-03,142.598
2001-04-04,145.487
2001-04-05,148.828
2001-04-06,150.969
2001-04-09,151.906
2001-04-10,155.315
2001-04-11,154.787
2001-04-12,155.289
2001-04-13,155.289
2001-04-16,155.493
2001-04-17,155.664
2001-04-18,162.001
2001-04-19,163.513
2001-04-20,163.458
2001-04-23,160.55
2001-04-24,158.196
2001-04-25,157.073
2001-04-26,160.068
2001-04-27,162.859
2001-04-30,164.609
2001-05-01,165.244
2001-05-02,165.156
2001-05-03,164.015
2001-05-04,165.053
2001-05-07,166.1
