Date,DENMARK MID CAP Mid Cap
1994-05-31,102.656
1994-06-30,103.195
1994-07-29,108.881
1994-08-31,101.713
1994-09-30,101.655
1994-10-31,107.278
1994-11-30,105.596
1994-12-30,109.649
1995-01-31,113.192
1995-02-28,115.597
1995-03-31,117.495
1995-04-28,124.083
1995-05-31,128.634
1995-06-30,127.716
1995-07-31,135.315
1995-08-31,122.812
1995-09-29,120.851
1995-10-31,121.722
1995-11-30,123.886
1995-12-29,126.448
1996-01-31,130.64
1996-02-29,129.133
1996-03-29,127.478
1996-04-30,125.115
1996-05-31,122.736
1996-06-28,126.667
1996-07-31,130.334
1996-08-30,136.022
1996-09-30,141.033
1996-10-31,140.291
1996-11-29,140.458
1996-12-31,145.294
1997-01-31,145.542
1997-02-28,149.444
1997-03-31,151.066
1997-04-30,145.98
1997-05-30,154.978
1997-06-30,163.142
1997-07-31,163.812
1997-08-29,156.276
1997-09-30,164.242
1997-10-31,168.882
1997-11-28,168.096
1997-12-31,173.495
1998-01-30,182.498
1998-02-27,182.448
1998-03-31,198.448
1998-04-30,197.615
1998-05-29,194.892
1998-06-30,205.558
1998-07-31,217.224
1998-08-31,190.704
1998-09-30,184.37
1998-10-30,187.801
1998-11-30,180.291
1998-12-31,183.211
1999-01-29,177.129
1999-02-26,165.821
1999-03-31,159.126
1999-04-30,157.656
1999-05-31,156.963
1999-06-30,150.683
1999-07-30,151.04
1999-08-31,148.942
1999-09-30,148.845
1999-10-29,157.102
1999-11-30,160.999
1999-12-31,160.549
2000-01-31,153.537
2000-02-29,150.171
2000-03-31,157.917
2000-04-28,149.825
2000-05-31,147.912
2000-06-30,154.162
2000-07-31,166.647
2000-08-31,172.258
2000-09-29,177.161
2000-10-31,181.281
2000-11-30,174.913
2000-12-29,201.254
2001-01-31,211.981
2001-02-28,192.157
2001-03-30,161.229
2001-04-30,170.007
2001-05-31,175.244
2001-06-29,169.329
2001-07-31,173.696
2001-08-31,162.327
2001-09-28,141.314
2001-10-31,145.316
2001-11-30,153.145
2001-12-31,144.235
2002-01-31,134.734
2002-02-28,143.563
2002-03-29,148.171
2002-04-30,143.538
2002-05-31,153.422
2002-06-28,164.612
2002-07-31,145.694
2002-08-30,153.442
2002-09-30,118.315
2002-10-31,121.801
2002-11-29,135.499
2002-12-31,141.379
2003-01-31,139.602
2003-02-28,130.409
2003-03-31,136.274
2003-04-30,155.246
2003-05-30,171.774
2003-06-30,180.442
2003-07-31,171.626
2003-08-29,185.16
2003-09-30,190.308
2003-10-31,198.434
2003-11-28,196.724
2003-12-31,210.905
2004-01-30,230.536
2004-02-27,236.507
2004-03-31,220.799
2004-04-30,209.411
2004-05-31,205.362
2004-06-30,202.558
2004-07-30,200.46
2004-08-31,208.79
2004-09-30,212.458
2004-10-29,219.897
2004-11-30,241.264
2004-12-31,251.757
2005-01-31,249.887
2005-02-28,272.565
2005-03-31,288.371
2005-04-29,290.376
2005-05-31,293.06
2005-06-30,284.003
2005-07-29,298.12
2005-08-31,350.503
2005-09-30,357.309
2005-10-31,370.377
2005-11-30,396.445
2005-12-30,395.303
2006-01-31,420.123
2006-02-28,406.283
2006-03-31,417.71
2006-04-28,466.571
2006-05-31,485.286
2006-06-30,503.587
2006-07-31,502.033
2006-08-31,517.18
2006-09-29,520.98
2006-10-31,548.103
2006-11-30,659.181
