Date,DENMARK MID CAP Mid Cap
2001-01-01,201.254
2001-01-02,201.912
2001-01-03,200.52
2001-01-04,202.16
2001-01-05,199.249
2001-01-08,199.255
2001-01-09,197.853
2001-01-10,197.288
2001-01-11,199.176
2001-01-12,202.069
2001-01-15,199.809
2001-01-16,199.823
2001-01-17,203.087
2001-01-18,208.208
2001-01-19,205.093
2001-01-22,207.199
2001-01-23,209.579
2001-01-24,207.158
2001-01-25,205.306
2001-01-26,206.424
2001-01-29,206.306
2001-01-30,207.812
2001-01-31,211.981
2001-02-01,210.459
2001-02-02,205.889
2001-02-05,205.326
2001-02-06,205.788
2001-02-07,206.154
2001-02-08,204.895
2001-02-09,206.248
2001-02-12,207.131
2001-02-13,203.591
2001-02-14,200.829
2001-02-15,197.797
2001-02-16,198.63
2001-02-19,197.068
2001-02-20,195.135
2001-02-21,196.227
2001-02-22,195.975
2001-02-23,193.629
2001-02-26,194.002
2001-02-27,196.687
2001-02-28,192.157
2001-03-01,190.271
2001-03-02,188.649
2001-03-05,184.666
2001-03-06,185.913
2001-03-07,186.516
2001-03-08,186.788
2001-03-09,186.339
2001-03-12,182.33
2001-03-13,175.292
2001-03-14,171.07
2001-03-15,169.548
2001-03-16,164.271
2001-03-19,161.279
2001-03-20,165.846
2001-03-21,164.92
2001-03-22,156.575
2001-03-23,160.967
2001-03-26,168.647
2001-03-27,170.7
2001-03-28,165.142
2001-03-29,162.197
2001-03-30,161.229
2001-04-02,152.357
2001-04-03,147.303
2001-04-04,150.288
2001-04-05,153.74
2001-04-06,155.951
2001-04-09,156.919
2001-04-10,160.44
2001-04-11,159.895
2001-04-12,160.414
2001-04-13,160.414
2001-04-16,160.624
2001-04-17,160.801
2001-04-18,167.347
2001-04-19,168.902
2001-04-20,168.846
2001-04-23,165.841
2001-04-24,163.41
2001-04-25,162.25
2001-04-26,165.343
2001-04-27,168.199
2001-04-30,170.007
2001-05-01,170.662
2001-05-02,170.572
2001-05-03,169.393
2001-05-04,170.443
2001-05-07,171.525
2001-05-08,171.106
2001-05-09,169.921
2001-05-10,175.288
2001-05-11,173.889
2001-05-14,175.235
2001-05-15,177.318
2001-05-16,174.6
2001-05-17,173.839
2001-05-18,173.804
2001-05-21,176.004
2001-05-22,177.948
2001-05-23,177.291
2001-05-24,176.637
2001-05-25,178.351
2001-05-28,177.676
2001-05-29,177.036
2001-05-30,177.93
2001-05-31,175.244
2001-06-01,173.247
2001-06-04,173.487
2001-06-05,173.553
2001-06-06,171.498
2001-06-07,172.752
2001-06-08,172.074
2001-06-11,168.854
2001-06-12,167.71
2001-06-13,168.156
2001-06-14,169.064
2001-06-15,167.141
2001-06-18,165.963
2001-06-19,163.446
2001-06-20,162.867
2001-06-21,163.291
2001-06-22,164.533
2001-06-25,168.607
2001-06-26,167.501
2001-06-27,171.04
2001-06-28,169.539
2001-06-29,169.329
2001-07-02,170.674
2001-07-03,171.713
2001-07-04,168.933
2001-07-05,166.806
2001-07-06,167.408
2001-07-09,168.635
2001-07-10,170.221
2001-07-11,170.419
2001-07-12,167.667
2001-07-13,167.779
2001-07-16,166.656
2001-07-17,165.691
2001-07-18,170.498
2001-07-19,171.685
2001-07-20,172.889
2001-07-23,170.93
2001-07-24,170.532
2001-07-25,170.488
2001-07-26,169.866
2001-07-27,170.084
2001-07-30,172.255
2001-07-31,173.696
2001-08-01,177.989
2001-08-02,178.471
2001-08-03,179.35
2001-08-06,177.253
2001-08-07,174.354
2001-08-08,173.401
2001-08-09,172.784
2001-08-10,172.007
