Date,SWEDEN IMI IMI (Large+Mid+Small Cap)
1994-05-31,134.995
1994-06-30,127.98
1994-07-29,134.95
1994-08-31,134.257
1994-09-30,134.733
1994-10-31,146.711
1994-11-30,143.024
1994-12-30,141.94
1995-01-31,144.526
1995-02-28,146.717
1995-03-31,141.179
1995-04-28,154.535
1995-05-31,156.174
1995-06-30,163.041
1995-07-31,175.032
1995-08-31,169.0
1995-09-29,190.79
1995-10-31,184.128
1995-11-30,188.635
1995-12-29,185.651
1996-01-31,179.674
1996-02-29,196.262
1996-03-29,201.39
1996-04-30,204.316
1996-05-31,214.017
1996-06-28,217.969
1996-07-31,210.044
1996-08-30,221.598
1996-09-30,231.377
1996-10-31,240.094
1996-11-29,253.826
1996-12-31,258.558
1997-01-31,261.852
1997-02-28,263.487
1997-03-31,272.503
1997-04-30,255.239
1997-05-30,275.402
1997-06-30,294.408
1997-07-31,303.629
1997-08-29,292.887
1997-09-30,324.304
1997-10-31,293.747
1997-11-28,299.057
1997-12-31,288.771
1998-01-30,291.986
1998-02-27,318.357
1998-03-31,340.345
1998-04-30,360.998
1998-05-29,370.618
1998-06-30,366.801
1998-07-31,365.981
1998-08-31,308.154
1998-09-30,282.662
1998-10-30,296.08
1998-11-30,320.009
1998-12-31,314.336
1999-01-29,333.09
1999-02-26,321.559
1999-03-31,327.016
1999-04-30,349.038
1999-05-31,341.968
1999-06-30,367.11
1999-07-30,380.445
1999-08-31,381.403
1999-09-30,380.294
1999-10-29,412.466
1999-11-30,449.329
1999-12-31,528.372
2000-01-31,533.332
2000-02-29,636.318
2000-03-31,607.715
2000-04-28,593.764
2000-05-31,568.675
2000-06-30,554.758
2000-07-31,534.777
2000-08-31,526.583
2000-09-29,465.253
2000-10-31,430.509
2000-11-30,390.581
2000-12-29,406.164
2001-01-31,435.858
2001-02-28,372.001
2001-03-30,300.429
2001-04-30,338.617
2001-05-31,322.147
2001-06-29,305.211
2001-07-31,305.06
2001-08-31,288.107
2001-09-28,244.682
2001-10-31,262.517
2001-11-30,296.518
2001-12-31,306.162
2002-01-31,281.354
2002-02-28,286.601
2002-03-29,298.377
2002-04-30,276.101
2002-05-31,273.393
2002-06-28,266.623
2002-07-31,227.431
2002-08-30,226.1
2002-09-30,189.447
2002-10-31,218.398
2002-11-29,249.446
2002-12-31,225.625
2003-01-31,221.242
2003-02-28,220.303
2003-03-31,215.361
2003-04-30,259.557
2003-05-30,272.171
2003-06-30,274.603
2003-07-31,289.689
