Date,SWEDEN IMI IMI (Large+Mid+Small Cap)
2001-01-01,428.238
2001-01-02,422.461
2001-01-03,402.663
2001-01-04,431.829
2001-01-05,438.924
2001-01-08,431.944
2001-01-09,421.046
2001-01-10,420.509
2001-01-11,435.626
2001-01-12,443.985
2001-01-15,444.538
2001-01-16,431.919
2001-01-17,445.171
2001-01-18,456.605
2001-01-19,455.815
2001-01-22,449.944
2001-01-23,442.645
2001-01-24,443.863
2001-01-25,449.873
2001-01-26,433.928
2001-01-29,438.359
2001-01-30,448.17
2001-01-31,459.544
2001-02-01,456.761
2001-02-02,448.423
2001-02-05,441.047
2001-02-06,444.047
2001-02-07,437.752
2001-02-08,429.663
2001-02-09,416.956
2001-02-12,418.43
2001-02-13,414.312
2001-02-14,397.347
2001-02-15,407.622
2001-02-16,401.03
2001-02-19,402.808
2001-02-20,397.649
2001-02-21,391.736
2001-02-22,380.01
2001-02-23,372.748
2001-02-26,385.444
2001-02-27,393.552
2001-02-28,392.217
2001-03-01,385.434
2001-03-02,390.57
2001-03-05,396.82
2001-03-06,409.026
2001-03-07,407.348
2001-03-08,403.377
2001-03-09,394.99
2001-03-12,364.083
2001-03-13,352.508
2001-03-14,346.188
2001-03-15,350.568
2001-03-16,329.888
2001-03-19,328.379
2001-03-20,339.048
2001-03-21,326.629
2001-03-22,304.689
2001-03-23,319.611
2001-03-26,334.748
2001-03-27,342.668
2001-03-28,328.939
2001-03-29,316.092
2001-03-30,316.488
2001-04-02,311.226
2001-04-03,304.643
2001-04-04,306.181
2001-04-05,323.54
2001-04-06,320.86
2001-04-09,330.758
2001-04-10,337.234
2001-04-11,334.683
2001-04-12,332.222
2001-04-13,332.222
2001-04-16,328.739
2001-04-17,325.177
2001-04-18,339.438
2001-04-19,355.108
2001-04-20,345.052
2001-04-23,334.3
2001-04-24,332.65
2001-04-25,339.054
2001-04-26,344.369
2001-04-27,348.441
2001-04-30,355.244
2001-05-01,356.73
2001-05-02,355.452
2001-05-03,349.595
2001-05-04,353.102
2001-05-07,357.365
2001-05-08,349.573
2001-05-09,345.459
2001-05-10,353.651
2001-05-11,350.972
2001-05-14,346.829
2001-05-15,346.24
2001-05-16,345.683
2001-05-17,354.566
2001-05-18,362.183
2001-05-21,369.087
2001-05-22,367.875
2001-05-23,358.621
2001-05-24,357.465
2001-05-25,354.763
2001-05-28,355.403
2001-05-29,351.656
2001-05-30,345.058
2001-05-31,337.764
2001-06-01,333.001
2001-06-04,331.268
2001-06-05,338.36
2001-06-06,335.376
2001-06-07,329.932
2001-06-08,325.093
2001-06-11,317.046
2001-06-12,313.515
2001-06-13,319.364
2001-06-14,315.071
2001-06-15,323.112
2001-06-18,320.794
2001-06-19,316.744
2001-06-20,306.156
2001-06-21,309.12
2001-06-22,309.767
2001-06-25,313.842
2001-06-26,309.172
2001-06-27,312.282
2001-06-28,317.04
2001-06-29,319.907
2001-07-02,323.487
2001-07-03,322.628
2001-07-04,316.233
2001-07-05,306.492
2001-07-06,296.782
2001-07-09,294.917
2001-07-10,299.403
2001-07-11,297.046
2001-07-12,302.413
2001-07-13,305.206
2001-07-16,310.122
2001-07-17,301.179
2001-07-18,302.458
2001-07-19,307.245
2001-07-20,304.27
2001-07-23,301.92
2001-07-24,301.194
2001-07-25,298.694
2001-07-26,300.848
2001-07-27,308.338
2001-07-30,315.251
2001-07-31,319.749
2001-08-01,320.626
2001-08-02,324.819
2001-08-03,324.354
2001-08-06,322.148
2001-08-07,323.674
2001-08-08,320.357
2001-08-09,315.626
2001-08-10,313.501
2001-08-13,316.587
2001-08-14,321.844
2001-08-15,324.049
2001-08-16,318.154
2001-08-17,312.273
2001-08-20,302.678
2001-08-21,306.671
2001-08-22,312.479
2001-08-23,315.022
2001-08-24,321.824
2001-08-27,321.923
2001-08-28,316.749
2001-08-29,313.204
2001-08-30,304.491
2001-08-31,301.979
2001-09-03,295.559
2001-09-04,286.686
2001-09-05,283.28
2001-09-06,281.481
2001-09-07,276.354
2001-09-10,273.978
2001-09-11,254.707
2001-09-12,264.315
2001-09-13,264.441
2001-09-14,263.612
2001-09-17,264.865
2001-09-18,257.02
2001-09-19,256.8
2001-09-20,242.761
2001-09-21,232.618
2001-09-24,244.496
2001-09-25,253.963
2001-09-26,250.468
2001-09-27,249.742
2001-09-28,256.464
2001-10-01,253.632
2001-10-02,255.093
2001-10-03,253.636
2001-10-04,265.893
2001-10-05,268.481
2001-10-08,269.705
2001-10-09,269.708
2001-10-10,271.2
2001-10-11,282.566
2001-10-12,284.043
2001-10-15,279.989
2001-10-16,282.023
2001-10-17,294.051
2001-10-18,284.573
2001-10-19,275.85
2001-10-22,272.738
2001-10-23,281.29
2001-10-24,284.466
2001-10-25,280.253
2001-10-26,288.342
2001-10-29,284.563
2001-10-30,273.805
2001-10-31,275.158
2001-11-01,276.754
2001-11-02,277.782
2001-11-05,284.667
2001-11-06,288.595
2001-11-07,292.961
2001-11-08,297.949
2001-11-09,292.843
2001-11-12,288.968
2001-11-13,298.092
2001-11-14,301.562
2001-11-15,305.776
2001-11-16,310.3
2001-11-19,310.656
2001-11-20,304.058
2001-11-21,301.425
2001-11-22,310.644
2001-11-23,310.917
2001-11-26,315.851
2001-11-27,313.201
2001-11-28,309.646
2001-11-29,307.777
2001-11-30,310.795
2001-12-03,308.315
2001-12-04,316.158
2001-12-05,331.749
2001-12-06,332.038
2001-12-07,331.332
2001-12-10,325.295
2001-12-11,325.494
2001-12-12,322.72
2001-12-13,316.785
2001-12-14,310.876
2001-12-17,317.355
2001-12-18,317.252
2001-12-19,310.44
2001-12-20,303.799
2001-12-21,306.972
2001-12-24,302.915
2001-12-25,302.915
2001-12-26,301.885
2001-12-27,311.919
2001-12-28,318.318
2001-12-31,320.904
2002-01-01,320.904
2002-01-02,323.814
2002-01-03,336.167
2002-01-04,336.088
2002-01-07,334.84
2002-01-08,324.871
2002-01-09,324.572
2002-01-10,323.106
2002-01-11,326.901
2002-01-14,314.405
2002-01-15,310.88
2002-01-16,301.762
2002-01-17,304.234
2002-01-18,304.488
2002-01-21,301.589
2002-01-22,301.525
2002-01-23,302.906
2002-01-24,304.753
2002-01-25,296.704
2002-01-28,293.059
2002-01-29,289.17
2002-01-30,285.305
2002-01-31,294.9
2002-02-01,294.508
2002-02-04,294.282
2002-02-05,292.587
2002-02-06,291.182
2002-02-07,291.99
2002-02-08,291.304
2002-02-11,297.529
2002-02-12,296.436
2002-02-13,295.479
2002-02-14,294.59
2002-02-15,292.064
2002-02-18,287.801
2002-02-19,285.828
2002-02-20,284.422
2002-02-21,290.457
2002-02-22,289.401
2002-02-25,292.389
2002-02-26,293.904
2002-02-27,299.853
2002-02-28,300.399
2002-03-01,302.662
2002-03-04,318.051
2002-03-05,317.75
2002-03-06,317.875
2002-03-07,324.327
2002-03-08,324.869
2002-03-11,321.498
2002-03-12,314.647
2002-03-13,314.345
2002-03-14,313.712
2002-03-15,314.507
2002-03-18,315.723
2002-03-19,314.531
2002-03-20,313.689
2002-03-21,314.083
2002-03-22,320.4
2002-03-25,316.16
2002-03-26,313.132
2002-03-27,311.269
2002-03-28,312.683
2002-03-29,312.683
2002-04-01,315.769
2002-04-02,313.918
2002-04-03,309.477
2002-04-04,308.519
2002-04-05,310.415
2002-04-08,303.495
2002-04-09,302.861
2002-04-10,303.665
2002-04-11,300.601
2002-04-12,301.409
2002-04-15,303.237
2002-04-16,309.434
2002-04-17,313.674
2002-04-18,308.368
2002-04-19,305.11
2002-04-22,289.144
2002-04-23,288.292
2002-04-24,280.699
2002-04-25,281.415
2002-04-26,288.522
2002-04-29,286.408
2002-04-30,287.884
2002-05-01,289.575
2002-05-02,288.177
2002-05-03,284.917
2002-05-06,284.368
2002-05-07,282.45
2002-05-08,289.663
2002-05-09,289.164
2002-05-10,285.472
2002-05-13,286.529
2002-05-14,289.819
2002-05-15,292.791
2002-05-16,290.903
2002-05-17,296.848
2002-05-20,297.695
2002-05-21,294.438
2002-05-22,292.073
2002-05-23,291.581
2002-05-24,292.264
2002-05-27,290.834
2002-05-28,291.935
2002-05-29,288.601
2002-05-30,285.69
2002-05-31,284.913
2002-06-03,286.04
2002-06-04,281.885
2002-06-05,281.949
2002-06-06,281.061
2002-06-07,274.271
2002-06-10,275.92
2002-06-11,274.722
2002-06-12,269.728
2002-06-13,270.656
2002-06-14,266.454
2002-06-17,270.177
2002-06-18,273.259
2002-06-19,270.477
2002-06-20,261.896
2002-06-21,263.515
2002-06-24,258.519
2002-06-25,265.857
2002-06-26,266.841
2002-06-27,271.032
2002-06-28,277.858
2002-07-01,278.878
2002-07-02,274.983
2002-07-03,264.943
2002-07-04,267.126
2002-07-05,273.838
2002-07-08,276.359
2002-07-09,274.555
2002-07-10,266.013
2002-07-11,255.191
2002-07-12,255.184
2002-07-15,253.877
2002-07-16,252.555
2002-07-17,260.259
2002-07-18,259.51
2002-07-19,250.737
2002-07-22,234.688
2002-07-23,223.139
2002-07-24,212.196
2002-07-25,224.886
2002-07-26,214.314
2002-07-29,230.434
2002-07-30,235.871
2002-07-31,237.015
2002-08-01,232.307
2002-08-02,225.336
2002-08-05,216.612
2002-08-06,217.805
2002-08-07,221.376
2002-08-08,225.224
2002-08-09,224.81
2002-08-12,227.719
2002-08-13,229.375
2002-08-14,227.309
2002-08-15,230.202
2002-08-16,228.443
2002-08-19,231.204
2002-08-20,232.892
2002-08-21,242.401
2002-08-22,250.281
2002-08-23,242.127
2002-08-26,239.518
2002-08-27,241.919
2002-08-28,239.37
2002-08-29,237.178
2002-08-30,235.628
2002-09-02,234.2
2002-09-03,226.923
2002-09-04,225.343
2002-09-05,223.961
2002-09-06,229.022
2002-09-09,226.181
2002-09-10,226.916
2002-09-11,234.408
2002-09-12,228.155
2002-09-13,225.675
2002-09-16,225.81
2002-09-17,223.272
2002-09-18,217.066
2002-09-19,215.657
2002-09-20,214.26
2002-09-23,205.854
2002-09-24,202.895
2002-09-25,203.535
2002-09-26,210.003
2002-09-27,207.922
2002-09-30,197.428
2002-10-01,199.539
2002-10-02,203.034
2002-10-03,199.246
2002-10-04,195.459
2002-10-07,186.787
2002-10-08,182.667
2002-10-09,182.495
2002-10-10,188.165
2002-10-11,201.469
2002-10-14,199.204
2002-10-15,213.62
2002-10-16,209.619
2002-10-17,210.058
2002-10-18,213.847
2002-10-21,217.669
2002-10-22,214.502
2002-10-23,208.327
2002-10-24,214.491
2002-10-25,214.463
2002-10-28,221.56
2002-10-29,214.138
2002-10-30,221.769
2002-10-31,227.599
2002-11-01,225.863
2002-11-04,234.703
2002-11-05,241.01
2002-11-06,236.776
2002-11-07,233.05
2002-11-08,234.197
2002-11-11,232.887
2002-11-12,240.544
2002-11-13,242.605
2002-11-14,247.374
2002-11-15,245.124
2002-11-18,250.804
2002-11-19,246.142
2002-11-20,246.564
2002-11-21,257.293
2002-11-22,259.997
2002-11-25,255.297
2002-11-26,249.571
2002-11-27,258.147
2002-11-28,262.079
2002-11-29,259.955
2002-12-02,258.065
2002-12-03,252.443
2002-12-04,251.711
2002-12-05,250.793
2002-12-06,251.949
2002-12-09,248.238
2002-12-10,248.017
2002-12-11,248.375
2002-12-12,244.84
2002-12-13,246.246
2002-12-16,246.387
2002-12-17,242.218
2002-12-18,236.403
2002-12-19,236.491
2002-12-20,237.873
2002-12-23,235.798
2002-12-24,236.989
2002-12-25,236.989
2002-12-26,237.45
2002-12-27,232.281
2002-12-30,233.866
2002-12-31,235.13
2003-01-01,235.13
2003-01-02,243.357
2003-01-03,247.24
2003-01-06,248.622
2003-01-07,249.897
2003-01-08,241.952
2003-01-09,244.599
2003-01-10,247.587
2003-01-13,249.733
2003-01-14,253.858
2003-01-15,251.696
2003-01-16,251.096
2003-01-17,246.905
2003-01-20,250.511
2003-01-21,246.811
2003-01-22,242.657
2003-01-23,243.02
2003-01-24,243.318
2003-01-27,235.063
2003-01-28,231.149
2003-01-29,230.15
2003-01-30,233.501
2003-01-31,230.558
2003-02-03,232.622
2003-02-04,226.646
2003-02-05,230.917
2003-02-06,231.21
2003-02-07,228.509
2003-02-10,222.065
2003-02-11,227.059
2003-02-12,229.31
2003-02-13,232.419
2003-02-14,234.168
2003-02-17,239.344
2003-02-18,239.645
2003-02-19,239.663
2003-02-20,236.737
2003-02-21,235.221
2003-02-24,232.725
2003-02-25,227.151
2003-02-26,227.069
2003-02-27,227.728
2003-02-28,229.58
2003-03-03,230.759
2003-03-04,228.801
2003-03-05,228.728
2003-03-06,227.199
2003-03-07,225.413
2003-03-10,222.499
2003-03-11,218.381
2003-03-12,214.654
2003-03-13,220.213
2003-03-14,226.29
2003-03-17,232.784
2003-03-18,231.443
2003-03-19,233.353
2003-03-20,235.474
2003-03-21,238.066
2003-03-24,233.359
2003-03-25,233.217
2003-03-26,232.224
2003-03-27,229.642
2003-03-28,229.786
2003-03-31,224.33
2003-04-01,225.432
2003-04-02,231.418
2003-04-03,231.985
2003-04-04,232.359
2003-04-07,240.195
2003-04-08,238.408
2003-04-09,238.399
2003-04-10,237.453
2003-04-11,237.465
2003-04-14,238.135
2003-04-15,242.613
2003-04-16,244.259
2003-04-17,246.009
2003-04-18,246.009
2003-04-21,245.257
2003-04-22,248.621
2003-04-23,251.753
2003-04-24,253.79
2003-04-25,251.472
2003-04-28,257.597
2003-04-29,265.419
2003-04-30,268.476
2003-05-01,271.129
2003-05-02,270.282
2003-05-05,274.196
2003-05-06,277.195
2003-05-07,272.218
2003-05-08,267.553
2003-05-09,271.239
2003-05-12,273.513
2003-05-13,276.739
2003-05-14,273.77
2003-05-15,273.151
2003-05-16,274.476
2003-05-19,271.185
2003-05-20,267.983
2003-05-21,266.506
2003-05-22,268.449
2003-05-23,271.359
2003-05-26,270.659
2003-05-27,274.156
2003-05-28,278.548
2003-05-29,279.869
2003-05-30,281.185
2003-06-02,282.22
2003-06-03,278.785
2003-06-04,280.84
2003-06-05,285.246
2003-06-06,286.725
2003-06-09,287.721
2003-06-10,285.662
2003-06-11,291.781
2003-06-12,295.539
2003-06-13,291.251
2003-06-16,295.763
2003-06-17,299.369
2003-06-18,297.067
2003-06-19,293.974
2003-06-20,292.199
2003-06-23,285.66
2003-06-24,280.025
2003-06-25,282.554
2003-06-26,280.055
2003-06-27,283.89
2003-06-30,283.692
2003-07-01,281.123
2003-07-02,283.731
2003-07-03,288.256
2003-07-04,287.589
2003-07-07,290.13
2003-07-08,291.438
2003-07-09,290.225
2003-07-10,287.294
2003-07-11,287.045
2003-07-14,292.148
2003-07-15,292.678
2003-07-16,289.477
2003-07-17,284.681
2003-07-18,289.403
2003-07-21,291.852
2003-07-22,290.881
2003-07-23,294.084
2003-07-24,299.626
2003-07-25,299.83
2003-07-28,304.705
2003-07-29,302.739
2003-07-30,301.485
2003-07-31,299.277
2003-08-01,299.128
2003-08-04,301.616
2003-08-05,303.758
2003-08-06,298.311
