Date,SWEDEN IMI IMI (Large+Mid+Small Cap)
2001-01-01,406.164
2001-01-02,400.684
2001-01-03,381.907
2001-01-04,409.569
2001-01-05,416.299
2001-01-08,409.678
2001-01-09,399.342
2001-01-10,398.833
2001-01-11,413.17
2001-01-12,421.099
2001-01-15,421.623
2001-01-16,409.654
2001-01-17,422.223
2001-01-18,433.068
2001-01-19,432.321
2001-01-22,426.753
2001-01-23,419.83
2001-01-24,420.986
2001-01-25,426.685
2001-01-26,411.563
2001-01-29,415.765
2001-01-30,425.071
2001-01-31,435.858
2001-02-01,433.218
2001-02-02,425.31
2001-02-05,418.314
2001-02-06,421.16
2001-02-07,415.19
2001-02-08,407.517
2001-02-09,395.465
2001-02-12,396.864
2001-02-13,392.958
2001-02-14,376.867
2001-02-15,386.613
2001-02-16,380.36
2001-02-19,382.046
2001-02-20,377.153
2001-02-21,371.545
2001-02-22,360.424
2001-02-23,353.536
2001-02-26,365.578
2001-02-27,373.267
2001-02-28,372.001
2001-03-01,365.568
2001-03-02,370.44
2001-03-05,376.368
2001-03-06,387.944
2001-03-07,386.353
2001-03-08,382.586
2001-03-09,374.632
2001-03-12,345.318
2001-03-13,334.339
2001-03-14,328.345
2001-03-15,332.499
2001-03-16,312.885
2001-03-19,311.454
2001-03-20,321.573
2001-03-21,309.84
2001-03-22,289.048
2001-03-23,303.211
2001-03-26,317.572
2001-03-27,325.086
2001-03-28,312.082
2001-03-29,300.048
2001-03-30,300.429
2001-04-02,295.434
2001-04-03,289.341
2001-04-04,290.802
2001-04-05,307.301
2001-04-06,304.97
2001-04-09,314.449
2001-04-10,320.606
2001-04-11,318.395
2001-04-12,316.054
2001-04-13,316.054
2001-04-16,312.741
2001-04-17,309.352
2001-04-18,322.93
2001-04-19,337.868
2001-04-20,328.3
2001-04-23,318.073
2001-04-24,316.584
2001-04-25,322.899
2001-04-26,328.089
2001-04-27,332.132
2001-04-30,338.617
2001-05-01,340.034
2001-05-02,338.82
2001-05-03,333.252
2001-05-04,336.655
2001-05-07,340.732
2001-05-08,333.306
2001-05-09,329.389
2001-05-10,337.202
2001-05-11,334.716
2001-05-14,330.765
2001-05-15,330.203
2001-05-16,329.671
2001-05-17,338.143
2001-05-18,345.411
2001-05-21,351.999
2001-05-22,350.842
2001-05-23,342.039
