Date,PORTUGAL IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,445.11
2001-01-02,446.892
2001-01-03,438.486
2001-01-04,453.408
2001-01-05,455.277
2001-01-08,451.125
2001-01-09,451.034
2001-01-10,458.307
2001-01-11,474.939
2001-01-12,492.663
2001-01-15,495.607
2001-01-16,481.928
2001-01-17,496.537
2001-01-18,505.587
2001-01-19,494.901
2001-01-22,489.003
2001-01-23,487.521
2001-01-24,498.185
2001-01-25,493.569
2001-01-26,491.006
2001-01-29,492.198
2001-01-30,500.214
2001-01-31,503.534
2001-02-01,510.187
2001-02-02,502.694
2001-02-05,498.357
2001-02-06,500.017
2001-02-07,494.403
2001-02-08,481.259
2001-02-09,470.199
2001-02-12,475.391
2001-02-13,472.044
2001-02-14,462.618
2001-02-15,457.112
2001-02-16,458.761
2001-02-19,456.713
2001-02-20,453.806
2001-02-21,450.753
2001-02-22,441.83
2001-02-23,436.939
2001-02-26,443.182
2001-02-27,447.567
2001-02-28,450.015
2001-03-01,454.22
2001-03-02,456.636
2001-03-05,469.814
2001-03-06,478.318
2001-03-07,480.351
2001-03-08,482.799
2001-03-09,471.754
2001-03-12,461.644
2001-03-13,458.054
2001-03-14,447.62
2001-03-15,444.397
2001-03-16,431.275
2001-03-19,429.097
2001-03-20,431.388
2001-03-21,416.637
2001-03-22,392.208
2001-03-23,410.748
2001-03-26,416.232
2001-03-27,419.357
2001-03-28,417.083
2001-03-29,414.266
2001-03-30,414.906
2001-04-02,410.806
2001-04-03,403.457
2001-04-04,421.232
2001-04-05,426.119
2001-04-06,426.704
2001-04-09,433.084
2001-04-10,430.905
2001-04-11,426.537
2001-04-12,424.015
2001-04-13,424.015
2001-04-16,419.672
2001-04-17,419.722
2001-04-18,421.281
2001-04-19,427.498
2001-04-20,428.916
2001-04-23,412.353
2001-04-24,409.801
2001-04-25,411.314
2001-04-26,423.488
2001-04-27,419.388
2001-04-30,425.503
2001-05-01,427.759
2001-05-02,427.107
2001-05-03,423.333
2001-05-04,427.383
2001-05-07,427.043
2001-05-08,423.166
2001-05-09,418.875
2001-05-10,422.142
2001-05-11,415.772
2001-05-14,410.511
2001-05-15,416.335
