Date,PORTUGAL IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,268.938
1994-06-30,257.131
1994-07-29,271.423
1994-08-31,292.781
1994-09-30,286.774
1994-10-31,294.349
1994-11-30,288.539
1994-12-30,285.239
1995-01-31,275.416
1995-02-28,283.389
1995-03-31,304.653
1995-04-28,302.897
1995-05-31,298.012
1995-06-30,299.032
1995-07-31,300.124
1995-08-31,275.145
1995-09-29,282.163
1995-10-31,289.722
1995-11-30,275.423
1995-12-29,282.65
1996-01-31,298.818
1996-02-29,311.479
1996-03-29,316.196
1996-04-30,316.804
1996-05-31,329.043
1996-06-28,355.337
1996-07-31,362.697
1996-08-30,363.609
1996-09-30,360.401
1996-10-31,365.323
1996-11-29,369.381
1996-12-31,381.754
1997-01-31,398.014
1997-02-28,389.235
1997-03-31,389.483
1997-04-30,389.642
1997-05-30,399.286
1997-06-30,425.552
1997-07-31,428.905
1997-08-29,404.416
1997-09-30,455.029
1997-10-31,443.142
1997-11-28,456.551
1997-12-31,485.339
1998-01-30,542.73
1998-02-27,587.532
1998-03-31,642.031
1998-04-30,710.975
1998-05-29,699.321
1998-06-30,667.492
1998-07-31,694.117
1998-08-31,591.443
1998-09-30,495.125
1998-10-30,607.674
1998-11-30,619.159
1998-12-31,641.968
1999-01-29,650.947
1999-02-26,612.017
1999-03-31,566.862
1999-04-30,526.789
1999-05-31,543.909
1999-06-30,524.49
1999-07-30,536.785
1999-08-31,535.147
1999-09-30,544.598
1999-10-29,565.839
1999-11-30,579.121
1999-12-31,653.749
2000-01-31,685.583
2000-02-29,831.728
2000-03-31,735.454
2000-04-28,640.359
2000-05-31,621.453
2000-06-30,619.399
2000-07-31,585.221
2000-08-31,545.63
2000-09-29,525.303
2000-10-31,450.206
2000-11-30,416.598
2000-12-29,445.11
2001-01-31,503.534
2001-02-28,450.015
2001-03-30,414.906
2001-04-30,425.503
2001-05-31,366.932
2001-06-29,324.964
2001-07-31,322.345
2001-08-31,304.083
2001-09-28,269.913
2001-10-31,296.155
2001-11-30,300.789
2001-12-31,303.677
2002-01-31,281.037
2002-02-28,272.398
2002-03-29,282.951
2002-04-30,285.066
2002-05-31,285.43
2002-06-28,285.986
2002-07-31,257.023
2002-08-30,266.371
2002-09-30,212.065
2002-10-31,249.898
2002-11-29,277.884
2002-12-31,283.982
2003-01-31,292.565
2003-02-28,281.092
2003-03-31,290.967
2003-04-30,310.158
2003-05-30,331.14
2003-06-30,317.325
2003-07-31,296.333
2003-08-29,313.928
2003-09-30,339.322
2003-10-31,363.648
2003-11-28,407.505
2003-12-31,437.79
2004-01-30,457.22
2004-02-27,496.51
2004-03-31,484.379
2004-04-30,483.744
2004-05-31,464.874
2004-06-30,477.71
2004-07-30,453.191
2004-08-31,451.544
2004-09-30,479.414
2004-10-29,499.272
2004-11-30,528.839
2004-12-31,551.134
2005-01-31,563.791
2005-02-28,562.985
2005-03-31,545.05
2005-04-29,529.989
2005-05-31,512.979
2005-06-30,508.338
2005-07-29,506.899
2005-08-31,530.804
2005-09-30,549.501
2005-10-31,516.21
2005-11-30,522.319
2005-12-30,550.782
2006-01-31,571.332
2006-02-28,597.187
2006-03-31,638.26
2006-04-28,671.655
2006-05-31,651.535
2006-06-30,673.49
2006-07-31,673.806
2006-08-31,693.522
2006-09-29,725.944
2006-10-31,750.796
2006-11-30,788.061
2006-12-29,821.894
2007-01-31,843.03
2007-02-28,896.341
2007-03-30,896.15
2007-04-30,960.157
2007-05-31,1000.0
2007-06-29,987.263
2007-07-31,1011.608
2007-08-31,960.913
2007-09-28,970.754
2007-10-31,1058.255
2007-11-30,1091.307
2007-12-31,1054.557
2008-01-31,916.105
2008-02-29,881.524
2008-03-31,918.081
2008-04-30,938.772
2008-05-30,901.318
2008-06-30,753.551
2008-07-31,738.575
2008-08-29,697.631
2008-09-30,605.019
2008-10-31,464.078
2008-11-28,439.256
2008-12-31,471.622
2009-01-30,460.159
2009-02-27,427.122
2009-03-31,470.589
2009-04-30,506.46
2009-05-29,583.627
2009-06-30,580.064
2009-07-31,588.187
2009-08-31,629.94
2009-09-30,680.541
2009-10-30,675.844
2009-11-30,699.915
2009-12-31,695.997
2010-01-29,622.919
2010-02-26,599.587
2010-03-31,634.281
2010-04-30,581.747
2010-05-31,557.693
2010-06-30,560.146
2010-07-30,613.729
2010-08-31,625.976
2010-09-30,696.339
2010-10-29,759.08
2010-11-30,667.565
2010-12-31,715.903
2011-01-31,734.558
2011-02-28,751.412
2011-03-31,767.373
2011-04-29,798.071
2011-05-31,818.807
2011-06-30,861.485
2011-07-29,839.351
2011-08-31,775.218
2011-09-30,685.52
2011-10-31,762.484
2011-11-30,700.581
2011-12-30,653.012
2012-01-31,666.162
2012-02-29,706.163
2012-03-30,712.288
2012-04-30,682.479
2012-05-31,594.84
2012-06-29,565.463
2012-07-31,560.507
2012-08-31,609.638
2012-09-28,636.925
2012-10-31,647.014
2012-11-30,656.813
2012-12-31,677.73
2013-01-31,731.628
2013-02-28,691.627
2013-03-29,689.751
2013-04-30,772.891
2013-05-31,744.706
2013-06-28,708.02
2013-07-31,707.471
2013-08-30,717.252
2013-09-30,738.649
2013-10-31,716.867
2013-11-29,752.553
2013-12-31,749.807
2014-01-31,708.4
2014-02-28,787.773
2014-03-31,793.374
2014-04-30,784.449
2014-05-30,762.173
2014-06-30,701.946
2014-07-31,597.388
2014-08-29,572.272
2014-09-30,526.368
2014-10-31,459.067
2014-11-28,435.177
2014-12-31,365.936
2015-01-30,364.244
2015-02-27,427.555
2015-03-31,435.41
2015-04-30,492.02
2015-05-29,452.088
2015-06-30,434.956
2015-07-31,452.264
2015-08-31,414.589
2015-09-30,388.012
2015-10-30,422.618
2015-11-30,411.956
2015-12-31,404.895
2016-01-29,397.732
2016-02-29,393.399
2016-03-31,440.48
2016-04-29,448.371
2016-05-31,439.63
2016-06-30,433.899
2016-07-29,444.304
2016-08-31,452.133
2016-09-30,452.278
2016-10-31,447.779
2016-11-30,430.261
2016-12-30,444.857
2017-01-31,453.201
2017-02-28,446.171
2017-03-31,482.759
2017-04-28,496.32
2017-05-31,538.293
2017-06-30,530.747
2017-07-31,551.593
2017-08-31,560.621
2017-09-29,590.028
2017-10-31,592.603
2017-11-30,617.335
2017-12-29,610.523
2018-01-31,667.186
2018-02-28,630.958
2018-03-30,599.755
2018-04-30,599.166
2018-05-31,566.748
2018-06-29,562.028
2018-07-31,594.402
2018-08-31,587.113
2018-09-28,584.137
2018-10-31,508.65
2018-11-30,494.431
2018-12-31,477.751
2019-01-31,511.64
2019-02-28,530.035
2019-03-29,520.309
2019-04-30,554.932
2019-05-31,523.812
2019-06-28,545.017
2019-07-31,542.644
2019-08-30,512.334
2019-09-30,533.988
2019-10-31,555.011
2019-11-29,554.095
2019-12-31,575.493
2020-01-31,574.27
2020-02-28,537.36
2020-03-31,483.543
2020-04-30,483.727
2020-05-29,521.141
2020-06-30,536.865
2020-07-31,528.988
2020-08-31,517.804
2020-09-30,508.369
2020-10-30,499.519
2020-11-30,539.074
2020-12-31,543.6
2021-01-29,526.927
2021-02-26,507.499
2021-03-31,541.598
2021-04-30,585.561
2021-05-31,629.174
2021-06-30,608.462
2021-07-30,643.328
2021-08-31,696.506
2021-09-30,656.298
2021-10-29,736.058
2021-11-30,684.013
2021-12-31,700.983
2022-01-31,670.379
2022-02-28,672.378
2022-03-31,730.273
2022-04-29,650.248
2022-05-31,665.819
2022-06-30,668.395
2022-07-29,712.801
2022-08-31,684.642
2022-09-30,578.074
2022-10-31,619.553
2022-11-30,657.233
2022-12-30,646.338
2023-01-31,650.682
2023-02-28,622.076
2023-03-31,693.929
2023-04-28,722.296
2023-05-31,686.741
2023-06-30,755.884
2023-07-31,776.845
2023-08-31,756.701
2023-09-29,714.632
2023-10-31,724.002
2023-11-30,766.062
2023-12-29,791.075
2024-01-31,752.722
2024-02-29,751.877
2024-03-29,704.249
2024-04-30,794.242
2024-05-31,839.79
2024-06-28,801.974
2024-07-31,772.975
2024-08-30,789.331
2024-09-30,758.455
2024-10-31,711.59
2024-11-29,696.325
2024-12-31,680.776
2025-01-31,684.62
2025-02-28,696.199
2025-03-31,705.036
2025-04-30,723.888
2025-05-30,768.228
2025-06-30,820.888
