Date,DENMARK MID GROWTH Mid Cap
2001-01-01,1816.524
2001-01-02,1819.931
2001-01-03,1807.282
2001-01-04,1823.297
2001-01-05,1793.51
2001-01-08,1793.777
2001-01-09,1781.934
2001-01-10,1777.231
2001-01-11,1795.305
2001-01-12,1822.721
2001-01-15,1802.217
2001-01-16,1801.724
2001-01-17,1833.476
2001-01-18,1881.001
2001-01-19,1851.834
2001-01-22,1871.733
2001-01-23,1894.955
2001-01-24,1872.668
2001-01-25,1854.424
2001-01-26,1864.94
2001-01-29,1863.099
2001-01-30,1875.012
2001-01-31,1914.749
2001-02-01,1898.921
2001-02-02,1857.806
2001-02-05,1851.828
2001-02-06,1857.843
2001-02-07,1860.749
2001-02-08,1847.882
2001-02-09,1861.326
2001-02-12,1865.659
2001-02-13,1833.849
2001-02-14,1809.098
2001-02-15,1784.275
2001-02-16,1793.173
2001-02-19,1777.613
2001-02-20,1760.752
2001-02-21,1770.945
2001-02-22,1771.218
2001-02-23,1748.888
2001-02-26,1751.38
2001-02-27,1775.165
2001-02-28,1731.702
2001-03-01,1712.501
2001-03-02,1696.492
2001-03-05,1658.534
2001-03-06,1669.976
2001-03-07,1675.851
2001-03-08,1677.837
2001-03-09,1674.278
2001-03-12,1635.974
2001-03-13,1572.381
2001-03-14,1531.486
2001-03-15,1519.329
2001-03-16,1469.661
2001-03-19,1448.716
2001-03-20,1495.534
2001-03-21,1487.977
2001-03-22,1417.0
2001-03-23,1458.389
2001-03-26,1528.978
2001-03-27,1548.828
2001-03-28,1500.584
2001-03-29,1475.254
2001-03-30,1465.655
2001-04-02,1380.659
2001-04-03,1332.14
2001-04-04,1361.108
2001-04-05,1392.859
2001-04-06,1403.653
2001-04-09,1412.806
2001-04-10,1446.232
2001-04-11,1444.132
2001-04-12,1448.821
2001-04-13,1448.821
2001-04-16,1450.719
2001-04-17,1454.528
2001-04-18,1519.029
2001-04-19,1530.859
2001-04-20,1525.832
2001-04-23,1498.745
2001-04-24,1474.229
2001-04-25,1461.285
2001-04-26,1489.296
2001-04-27,1517.701
2001-04-30,1533.367
2001-05-01,1538.917
2001-05-02,1539.89
2001-05-03,1528.365
2001-05-04,1534.978
2001-05-07,1546.026
2001-05-08,1544.947
2001-05-09,1535.172
2001-05-10,1585.469
2001-05-11,1572.813
2001-05-14,1583.495
2001-05-15,1603.757
2001-05-16,1577.772
2001-05-17,1569.516
2001-05-18,1572.255
2001-05-21,1592.272
2001-05-22,1611.956
2001-05-23,1599.432
2001-05-24,1593.529
2001-05-25,1612.371
2001-05-28,1605.323
2001-05-29,1599.928
2001-05-30,1608.154
2001-05-31,1583.806
2001-06-01,1564.127
2001-06-04,1566.296
2001-06-05,1566.893
2001-06-06,1548.312
2001-06-07,1561.409
2001-06-08,1552.77
2001-06-11,1525.714
2001-06-12,1512.313
2001-06-13,1518.624
2001-06-14,1521.525
2001-06-15,1502.777
2001-06-18,1489.077
2001-06-19,1468.194
2001-06-20,1460.067
2001-06-21,1465.351
2001-06-22,1474.546
2001-06-25,1516.285
2001-06-26,1500.64
2001-06-27,1537.07
2001-06-28,1526.545
2001-06-29,1529.851
2001-07-02,1536.051
2001-07-03,1536.017
2001-07-04,1505.372
2001-07-05,1485.775
2001-07-06,1495.965
2001-07-09,1511.979
2001-07-10,1523.277
2001-07-11,1522.425
2001-07-12,1499.74
2001-07-13,1498.537
2001-07-16,1486.629
2001-07-17,1481.387
2001-07-18,1527.509
2001-07-19,1540.384
2001-07-20,1550.537
2001-07-23,1534.163
2001-07-24,1528.388
2001-07-25,1526.92
2001-07-26,1521.486
2001-07-27,1525.873
2001-07-30,1547.722
2001-07-31,1566.141
2001-08-01,1609.591
2001-08-02,1615.921
2001-08-03,1625.282
2001-08-06,1605.141
2001-08-07,1574.171
2001-08-08,1567.62
2001-08-09,1562.765
2001-08-10,1551.973
2001-08-13,1565.506
2001-08-14,1593.941
2001-08-15,1613.788
2001-08-16,1610.362
2001-08-17,1606.364
2001-08-20,1581.676
2001-08-21,1552.474
2001-08-22,1547.711
2001-08-23,1537.648
2001-08-24,1560.104
2001-08-27,1547.591
2001-08-28,1542.288
2001-08-29,1523.692
2001-08-30,1480.968
2001-08-31,1440.419
2001-09-03,1429.052
2001-09-04,1401.181
2001-09-05,1367.642
2001-09-06,1334.779
2001-09-07,1367.833
2001-09-10,1328.008
2001-09-11,1288.806
2001-09-12,1304.648
2001-09-13,1334.876
2001-09-14,1335.174
2001-09-17,1236.059
2001-09-18,1193.697
2001-09-19,1207.78
2001-09-20,1150.666
2001-09-21,1078.936
2001-09-24,1105.922
2001-09-25,1149.59
2001-09-26,1184.626
2001-09-27,1186.463
2001-09-28,1225.369
2001-10-01,1186.458
2001-10-02,1204.053
2001-10-03,1204.012
2001-10-04,1235.916
2001-10-05,1236.438
2001-10-08,1231.934
2001-10-09,1282.325
2001-10-10,1286.015
2001-10-11,1311.529
2001-10-12,1300.605
2001-10-15,1306.914
2001-10-16,1302.429
2001-10-17,1316.579
2001-10-18,1280.919
2001-10-19,1302.222
2001-10-22,1308.116
2001-10-23,1306.726
2001-10-24,1291.14
2001-10-25,1263.508
2001-10-26,1280.754
2001-10-29,1288.644
2001-10-30,1254.643
2001-10-31,1262.586
2001-11-01,1266.332
2001-11-02,1245.453
2001-11-05,1261.681
2001-11-06,1260.361
2001-11-07,1266.483
2001-11-08,1309.036
2001-11-09,1314.605
2001-11-12,1313.963
2001-11-13,1323.75
2001-11-14,1315.373
2001-11-15,1321.557
2001-11-16,1320.965
2001-11-19,1335.592
2001-11-20,1329.623
2001-11-21,1342.23
2001-11-22,1343.2
2001-11-23,1341.341
2001-11-26,1362.748
2001-11-27,1389.046
2001-11-28,1366.199
2001-11-29,1364.027
2001-11-30,1359.523
2001-12-03,1300.971
2001-12-04,1290.72
2001-12-05,1328.819
2001-12-06,1302.33
2001-12-07,1291.58
2001-12-10,1289.715
2001-12-11,1275.234
2001-12-12,1253.612
2001-12-13,1243.398
2001-12-14,1225.265
2001-12-17,1206.713
2001-12-18,1220.943
2001-12-19,1230.585
2001-12-20,1238.1
2001-12-21,1202.577
2001-12-24,1190.894
2001-12-25,1190.894
2001-12-26,1191.886
2001-12-27,1223.63
2001-12-28,1246.007
2001-12-31,1258.205
2002-01-01,1258.205
2002-01-02,1282.703
2002-01-03,1291.315
2002-01-04,1264.206
2002-01-07,1243.839
2002-01-08,1232.119
2002-01-09,1234.257
2002-01-10,1244.965
2002-01-11,1265.874
2002-01-14,1242.789
2002-01-15,1240.42
2002-01-16,1212.561
2002-01-17,1207.467
2002-01-18,1216.057
2002-01-21,1220.571
2002-01-22,1229.527
2002-01-23,1229.766
2002-01-24,1234.089
2002-01-25,1204.505
2002-01-28,1188.093
2002-01-29,1177.516
2002-01-30,1150.688
2002-01-31,1158.098
2002-02-01,1170.17
2002-02-04,1167.533
2002-02-05,1158.905
2002-02-06,1147.794
2002-02-07,1153.911
2002-02-08,1161.644
2002-02-11,1194.44
2002-02-12,1196.688
2002-02-13,1189.923
2002-02-14,1199.348
2002-02-15,1209.135
2002-02-18,1188.04
2002-02-19,1176.305
2002-02-20,1201.471
2002-02-21,1233.369
2002-02-22,1252.014
2002-02-25,1245.195
2002-02-26,1249.239
2002-02-27,1263.365
2002-02-28,1256.144
2002-03-01,1253.791
2002-03-04,1252.223
2002-03-05,1232.892
2002-03-06,1240.228
2002-03-07,1242.238
2002-03-08,1276.069
2002-03-11,1285.546
2002-03-12,1266.924
2002-03-13,1280.259
2002-03-14,1294.907
2002-03-15,1289.961
2002-03-18,1308.59
2002-03-19,1336.902
2002-03-20,1338.198
2002-03-21,1332.689
2002-03-22,1323.002
2002-03-25,1323.155
2002-03-26,1326.03
2002-03-27,1326.969
2002-03-28,1326.322
2002-03-29,1326.322
2002-04-01,1337.245
2002-04-02,1340.646
2002-04-03,1326.624
2002-04-04,1308.579
