Date,DENMARK MID GROWTH Mid Cap
1994-05-31,1000.0
1994-06-30,974.523
1994-07-29,1037.406
1994-08-31,930.606
1994-09-30,927.838
1994-10-31,990.769
1994-11-30,997.951
1994-12-30,1041.853
1995-01-31,1071.189
1995-02-28,1100.834
1995-03-31,1127.042
1995-04-28,1159.042
1995-05-31,1195.554
1995-06-30,1182.466
1995-07-31,1253.882
1995-08-31,1145.553
1995-09-29,1132.946
1995-10-31,1130.991
1995-11-30,1138.458
1995-12-29,1153.599
1996-01-31,1171.92
1996-02-29,1176.878
1996-03-29,1209.99
1996-04-30,1176.15
1996-05-31,1152.181
1996-06-28,1176.037
1996-07-31,1230.079
1996-08-30,1314.717
1996-09-30,1366.987
1996-10-31,1379.078
1996-11-29,1347.369
1996-12-31,1412.284
1997-01-31,1352.527
1997-02-28,1439.356
1997-03-31,1459.494
1997-04-30,1422.33
1997-05-30,1499.248
1997-06-30,1554.892
1997-07-31,1462.175
1997-08-29,1388.457
1997-09-30,1446.977
1997-10-31,1419.581
1997-11-28,1399.068
1997-12-31,1440.71
1998-01-30,1585.252
1998-02-27,1621.431
1998-03-31,1763.93
1998-04-30,1756.451
1998-05-29,1742.099
1998-06-30,1881.115
1998-07-31,2014.027
1998-08-31,1827.836
1998-09-30,1839.147
1998-10-30,1762.214
1998-11-30,1649.595
1998-12-31,1645.582
1999-01-29,1765.239
1999-02-26,1570.342
1999-03-31,1565.388
1999-04-30,1461.107
1999-05-31,1294.29
1999-06-30,1296.708
1999-07-30,1312.744
1999-08-31,1335.552
1999-09-30,1263.62
1999-10-29,1201.926
1999-11-30,1323.259
1999-12-31,1413.333
2000-01-31,1556.014
2000-02-29,1569.734
2000-03-31,1611.861
2000-04-28,1507.753
2000-05-31,1450.5
2000-06-30,1551.645
2000-07-31,1680.762
2000-08-31,1779.397
2000-09-29,1790.735
2000-10-31,1697.732
2000-11-30,1573.135
2000-12-29,1816.524
2001-01-31,1914.749
2001-02-28,1731.702
2001-03-30,1465.655
2001-04-30,1533.367
2001-05-31,1583.806
2001-06-29,1529.851
2001-07-31,1566.141
2001-08-31,1440.419
2001-09-28,1225.369
2001-10-31,1262.586
2001-11-30,1359.523
2001-12-31,1258.205
2002-01-31,1158.098
2002-02-28,1256.144
2002-03-29,1326.322
2002-04-30,1247.817
2002-05-31,1312.062
2002-06-28,1413.458
2002-07-31,1239.387
2002-08-30,1272.098
2002-09-30,943.358
2002-10-31,998.092
2002-11-29,1037.211
2002-12-31,1131.477
2003-01-31,1079.897
2003-02-28,1021.748
2003-03-31,1062.055
2003-04-30,1222.341
2003-05-30,1300.781
2003-06-30,1358.152
2003-07-31,1276.461
2003-08-29,1420.388
2003-09-30,1479.793
2003-10-31,1537.965
2003-11-28,1427.147
2003-12-31,1516.14
2004-01-30,1582.268
2004-02-27,1717.898
2004-03-31,1576.32
2004-04-30,1550.3
2004-05-31,1483.249
2004-06-30,1534.655
2004-07-30,1513.841
2004-08-31,1515.254
2004-09-30,1569.602
2004-10-29,1605.98
2004-11-30,1726.599
2004-12-31,1831.896
2005-01-31,1859.605
2005-02-28,2049.835
2005-03-31,2652.899
2005-04-29,2631.533
2005-05-31,2523.531
2006-05-31,485.722
2006-06-30,504.04
2006-07-31,501.859
2006-08-31,516.866
2006-09-29,519.744
2006-10-31,547.097
2006-11-30,659.181
2006-12-29,695.651
2007-01-31,715.381
2007-02-28,734.705
2007-03-30,825.632
2007-04-30,945.959
2007-05-31,1000.0
2007-06-29,959.0
2007-07-31,1014.757
2007-08-31,1005.863
2007-09-28,1075.483
2007-10-31,1126.596
2007-11-30,1107.761
2007-12-31,1143.919
2008-01-31,961.931
2008-02-29,1047.244
2008-03-31,1107.072
2008-04-30,1134.335
2008-05-30,1274.507
2008-06-30,1142.778
2008-07-31,1097.071
2008-08-29,994.391
2008-09-30,831.255
2008-10-31,625.26
2008-11-28,559.605
2008-12-31,598.289
2009-01-30,561.335
2009-02-27,499.716
2009-03-31,506.228
2009-04-30,586.099
2009-05-29,643.135
2009-06-30,638.017
2009-07-31,710.1
2009-08-31,726.108
2009-09-30,818.194
2009-10-30,777.288
2009-11-30,835.457
2009-12-31,838.996
2010-01-29,844.592
2010-02-26,817.751
2010-03-31,868.159
2010-04-30,882.832
2010-05-31,790.525
2010-06-30,784.636
2010-07-30,896.747
2010-08-31,833.675
2010-09-30,951.577
2010-10-29,964.704
2010-11-30,948.649
2010-12-31,1029.88
2011-01-31,1057.039
2011-02-28,1081.378
2011-03-31,1183.787
2011-04-29,1164.094
2011-05-31,1073.81
2011-06-30,1004.142
2011-07-29,978.748
2011-08-31,888.93
2011-09-30,806.68
2011-10-31,846.798
2011-11-30,847.459
2011-12-30,798.642
2012-01-31,794.812
2012-02-29,847.099
2012-03-30,838.58
2012-04-30,816.583
2012-05-31,746.603
2012-06-29,754.423
2012-07-31,770.887
2012-08-31,811.567
2012-09-28,829.484
2012-10-31,835.993
2012-11-30,858.668
2012-12-31,903.656
2013-01-31,975.946
2013-02-28,980.317
2013-03-29,983.994
2013-04-30,1006.3
2013-05-31,1007.962
2013-06-28,980.651
2013-07-31,1045.093
2013-08-30,1037.619
2013-09-30,1104.427
2013-10-31,1169.424
2013-11-29,1170.94
2013-12-31,1242.803
2014-01-31,1281.052
2014-02-28,1364.226
2014-03-31,1322.524
2014-04-30,1389.376
2014-05-30,1416.266
2014-06-30,1423.822
2014-07-31,1334.231
2014-08-29,1300.06
2014-09-30,1258.948
2014-10-31,1280.328
2014-11-28,1302.255
2014-12-31,1260.046
2015-01-30,1272.246
2015-02-27,1414.014
2015-03-31,1386.214
2015-04-30,1498.62
2015-05-29,1543.262
2015-06-30,1533.215
2015-07-31,1649.412
2015-08-31,1588.806
2015-09-30,1584.889
2015-10-30,1689.459
2015-11-30,1753.426
2015-12-31,1824.589
2016-01-29,1742.837
2016-02-29,1765.674
2016-03-31,1889.463
2016-04-29,1907.068
2016-05-31,2039.198
2016-06-30,1945.054
2016-07-29,1966.343
2016-08-31,1984.863
2016-09-30,1994.949
2016-10-31,1936.376
2016-11-30,1765.062
2016-12-30,1785.422
2017-01-31,1926.192
2017-02-28,1934.189
2017-03-31,1992.486
2017-04-28,2094.313
2017-05-31,2154.442
2017-06-30,2160.109
2017-07-31,2332.369
2017-08-31,2356.563
2017-09-29,2333.135
2017-10-31,2339.326
2017-11-30,2182.707
2017-12-29,2226.353
2018-01-31,2218.384
2018-02-28,2248.854
2018-03-30,2284.695
2018-04-30,2253.385
2018-05-31,2146.962
2018-06-29,2100.713
2018-07-31,2239.773
2018-08-31,2244.419
2018-09-28,2197.132
2018-10-31,2002.96
2018-11-30,1979.404
2018-12-31,1876.18
2019-01-31,1974.786
2019-02-28,2121.605
2019-03-29,2108.097
2019-04-30,2181.137
2019-05-31,2112.946
2019-06-28,2176.505
2019-07-31,2120.31
2019-08-30,2077.32
2019-09-30,2041.52
2019-10-31,2117.804
2019-11-29,2278.729
2019-12-31,2354.549
2020-01-31,2364.498
2020-02-28,2218.344
2020-03-31,1978.336
2020-04-30,2219.766
2020-05-29,2545.183
2020-06-30,2625.396
2020-07-31,2924.416
2020-08-31,3157.411
2020-09-30,3206.739
2020-10-30,3134.478
2020-11-30,3529.684
2020-12-31,3743.421
2021-01-29,3638.138
2021-02-26,3527.634
2021-03-31,3578.018
2021-04-30,3940.604
2021-05-31,4033.58
2021-06-30,4090.354
2021-07-30,4248.211
2021-08-31,4170.006
2021-09-30,3802.564
2021-10-29,3896.015
2021-11-30,3585.29
2021-12-31,3774.597
2022-01-31,3253.734
2022-02-28,3112.908
2022-03-31,3198.939
2022-04-29,3040.204
2022-05-31,2776.844
2022-06-30,2637.675
2022-07-29,2784.188
2022-08-31,2571.919
2022-09-30,2204.309
2022-10-31,2500.991
2022-11-30,2864.674
2022-12-30,2883.488
2023-01-31,2908.377
2023-02-28,2790.346
2023-03-31,2962.553
2023-04-28,3143.336
2023-05-31,2922.97
2023-06-30,2947.093
2023-07-31,3079.448
2023-08-31,2892.851
2023-09-29,2789.406
2023-10-31,3007.572
2023-11-30,3484.991
2023-12-29,3626.126
2024-01-31,3600.023
2024-02-29,4061.799
2024-03-29,4082.515
2024-04-30,3901.934
2024-05-31,4084.428
2024-06-28,3814.98
2024-07-31,3870.787
2024-08-30,4206.018
2024-09-30,3962.745
2024-10-31,3709.941
2024-11-29,3660.691
2024-12-31,3872.826
2025-01-31,4061.333
2025-02-28,3803.031
2025-03-31,3496.641
2025-04-30,3606.798
2025-05-30,3952.024
2025-06-30,3849.555
2025-07-31,3988.712
2025-08-29,4004.582
