Date,ISRAEL SMID VALUE SMID (Small+Mid Cap)
2002-05-31,269.866
2002-06-28,266.257
2002-07-31,277.637
2002-08-30,278.514
2002-09-30,244.99
2002-10-31,237.026
2002-11-29,270.917
2002-12-31,241.54
2003-01-31,224.783
2003-02-28,228.247
2003-03-31,247.508
2003-04-30,295.625
2003-05-30,354.401
2003-06-30,371.25
2003-07-31,343.041
2003-08-29,338.861
2003-09-30,365.746
2003-10-31,394.144
2003-11-28,432.703
2003-12-31,463.434
2004-01-30,471.833
2004-02-27,478.481
2004-03-31,482.882
2004-04-30,485.376
2004-05-31,487.686
2004-06-30,536.337
2004-07-30,503.012
2004-08-31,484.489
2004-09-30,502.123
2004-10-29,486.654
2004-11-30,545.812
2004-12-31,585.591
2005-01-31,606.766
2005-02-28,636.041
2005-03-31,629.471
2005-04-29,632.279
2005-05-31,646.89
2005-06-30,578.215
2005-07-29,619.489
2005-08-31,631.287
2005-09-30,641.335
2005-10-31,636.129
2005-11-30,645.124
2005-12-30,678.993
2006-01-31,689.231
2006-02-28,657.869
2006-03-31,681.751
2006-04-28,761.088
2006-05-31,750.61
2006-06-30,698.946
2006-07-31,698.175
2006-08-31,716.801
2006-09-29,751.828
2006-10-31,807.64
2006-11-30,848.272
2006-12-29,848.639
2007-01-31,857.756
2007-02-28,868.01
2007-03-30,884.84
2007-04-30,957.475
2007-05-31,1000.0
2007-06-29,937.318
2007-07-31,901.647
2007-08-31,893.591
2007-09-28,953.191
2007-10-31,1034.801
2007-11-30,1005.518
2007-12-31,1006.388
2008-01-31,935.289
2008-02-29,929.274
2008-03-31,893.961
2008-04-30,942.394
2008-05-30,1011.67
2008-06-30,894.274
2008-07-31,831.228
2008-08-29,790.056
2008-09-30,714.701
2008-10-31,548.414
2008-11-28,467.19
2008-12-31,458.089
2009-01-30,456.968
2009-02-27,451.82
2009-03-31,527.168
2009-04-30,623.853
2009-05-29,704.658
2009-06-30,711.744
2009-07-31,830.69
2009-08-31,833.448
2009-09-30,871.378
2009-10-30,909.813
2009-11-30,929.724
2009-12-31,979.829
2010-01-29,1007.923
2010-02-26,1008.401
2010-03-31,1070.432
2010-04-30,995.309
2010-05-31,859.067
2010-06-30,832.45
2010-07-30,908.527
2010-08-31,903.844
2010-09-30,1012.598
2010-10-29,1055.052
2010-11-30,1042.734
2010-12-31,1156.289
2011-01-31,1057.062
