Date,ISRAEL SMID VALUE SMID (Small+Mid Cap)
2002-05-31,261.731
2002-06-28,258.251
2002-07-31,269.289
2002-08-30,270.145
2002-09-30,237.714
2002-10-31,230.006
2002-11-29,262.957
2002-12-31,234.52
2003-01-31,218.34
2003-02-28,221.705
2003-03-31,240.426
2003-04-30,287.408
2003-05-30,344.607
2003-06-30,361.143
2003-07-31,333.702
2003-08-29,329.99
2003-09-30,356.746
2003-10-31,384.524
2003-11-28,422.142
2003-12-31,452.752
2004-01-30,461.015
2004-02-27,467.51
2004-03-31,471.817
2004-04-30,475.467
2004-05-31,478.018
2004-06-30,525.733
2004-07-30,493.066
2004-08-31,474.97
2004-09-30,493.971
2004-10-29,478.753
2004-11-30,536.967
2004-12-31,576.82
2005-01-31,597.722
2005-02-28,626.561
2005-03-31,621.258
2005-04-29,625.06
2005-05-31,639.504
2005-06-30,571.909
2005-07-29,612.745
2005-08-31,624.638
2005-09-30,634.677
2005-10-31,630.217
2005-11-30,639.317
2005-12-30,673.343
2006-01-31,683.603
2006-02-28,652.605
2006-03-31,676.331
2006-04-28,755.946
2006-05-31,745.803
2006-06-30,695.514
2006-07-31,694.747
2006-08-31,714.514
2006-09-29,749.441
2006-10-31,805.665
2006-11-30,846.416
2006-12-29,847.773
2007-01-31,856.88
2007-02-28,867.123
2007-03-30,884.083
2007-04-30,957.001
2007-05-31,1000.0
2007-06-29,939.145
2007-07-31,903.436
2007-08-31,896.802
2007-09-28,958.502
2007-10-31,1040.983
2007-11-30,1012.978
2007-12-31,1015.005
2008-01-31,943.441
2008-02-29,938.122
2008-03-31,903.498
2008-04-30,954.086
2008-05-30,1025.388
2008-06-30,906.895
2008-07-31,843.164
2008-08-29,801.994
2008-09-30,726.896
2008-10-31,559.447
2008-11-28,477.201
2008-12-31,468.687
2009-01-30,467.608
2009-02-27,462.474
2009-03-31,539.796
2009-04-30,639.823
2009-05-29,723.404
2009-06-30,731.901
2009-07-31,854.228
2009-08-31,857.095
2009-09-30,897.553
2009-10-30,937.482
2009-11-30,959.614
2009-12-31,1011.92
2010-01-29,1040.934
2010-02-26,1041.49
2010-03-31,1106.777
2010-04-30,1029.834
2010-05-31,889.19
2010-06-30,862.81
2010-07-30,941.661
2010-08-31,937.655
2010-09-30,1051.44
2010-10-29,1095.522
2010-11-30,1083.036
2010-12-31,1201.807
2011-01-31,1098.972
2011-02-28,1110.552
2011-03-31,1204.444
2011-04-29,1208.388
2011-05-31,1133.952
2011-06-30,1082.81
2011-07-29,1057.266
2011-08-31,875.047
2011-09-30,789.796
2011-10-31,907.098
2011-11-30,795.162
2011-12-30,753.925
2012-01-31,790.557
2012-02-29,734.025
2012-03-30,776.557
2012-04-30,776.201
2012-05-31,633.429
2012-06-29,584.126
2012-07-31,551.71
2012-08-31,571.941
2012-09-28,663.302
2012-10-31,734.09
2012-11-30,778.713
2012-12-31,788.649
2013-01-31,800.83
2013-02-28,845.284
2013-03-29,871.594
2013-04-30,874.108
2013-05-31,873.435
2013-06-28,864.257
2013-07-31,937.919
2013-08-30,911.472
2013-09-30,1037.014
2013-10-31,1038.244
2013-11-29,1046.841
2013-12-31,1051.702
2014-01-31,981.611
2014-02-28,1036.39
2014-03-31,1071.784
2014-04-30,1079.758
2014-05-30,1083.917
2014-06-30,1088.121
2014-07-31,1082.581
2014-08-29,1060.725
2014-09-30,1058.691
2014-10-31,979.301
2014-11-28,969.708
2014-12-31,930.243
2015-01-30,906.556
2015-02-27,940.352
2015-03-31,990.78
2015-04-30,1030.839
2015-05-29,1006.349
2015-06-30,1034.335
2015-07-31,1080.862
2015-08-31,980.322
2015-09-30,970.528
2015-10-30,1032.534
2015-11-30,1017.645
2015-12-31,983.667
2016-01-29,922.532
2016-02-29,938.556
2016-03-31,998.808
2016-04-29,1018.004
2016-05-31,999.013
2016-06-30,977.512
2016-07-29,1015.126
2016-08-31,1054.818
2016-09-30,1063.634
2016-10-31,1047.375
2016-11-30,1101.868
2016-12-30,1123.857
2017-01-31,1156.499
2017-02-28,1212.884
2017-03-31,1224.518
2017-04-28,1245.27
2017-05-31,1312.498
2017-06-30,1318.335
2017-07-31,1309.677
2017-08-31,1308.668
2017-09-29,1340.744
2017-10-31,1377.384
2017-11-30,1405.482
2017-12-29,1449.712
2018-01-31,1499.865
2018-02-28,1427.943
2018-03-30,1369.963
2018-04-30,1350.868
2018-05-31,1393.778
2018-06-29,1339.738
2018-07-31,1390.466
2018-08-31,1524.948
2018-09-28,1518.582
2018-10-31,1440.667
2018-11-30,1477.094
2018-12-31,1353.942
2019-01-31,1490.617
2019-02-28,1523.133
2019-03-29,1507.061
2019-04-30,1611.02
2019-05-31,1608.231
2019-06-28,1701.68
2019-07-31,1753.249
2019-08-30,1711.358
2019-09-30,1797.267
2019-10-31,1774.578
2019-11-29,1873.815
2019-12-31,1861.105
2020-01-31,1827.457
2020-02-28,1712.307
2020-03-31,1320.597
2020-04-30,1440.865
2020-05-29,1350.175
2020-06-30,1241.358
2020-07-31,1296.123
2020-08-31,1383.767
2020-09-30,1236.55
2020-10-30,1305.265
2020-11-30,1558.222
2020-12-31,1664.359
2021-01-29,1684.069
2021-02-26,1669.879
2021-03-31,1769.922
2021-04-30,1897.796
2021-05-31,2021.904
2021-06-30,1994.268
2021-07-30,2014.341
2021-08-31,2164.325
2021-09-30,2181.623
2021-10-29,2382.684
2021-11-30,2440.558
2021-12-31,2585.842
2022-01-31,2561.317
2022-02-28,2631.926
2022-03-31,2713.072
2022-04-29,2580.006
2022-05-31,2404.072
2022-06-30,2148.084
2022-07-29,2341.712
2022-08-31,2538.9
2022-09-30,2134.049
2022-10-31,2297.975
2022-11-30,2260.044
2022-12-30,2119.133
2023-01-31,2202.899
2023-02-28,1998.819
2023-03-31,1978.773
2023-04-28,1995.53
2023-05-31,1908.331
2023-06-30,1983.179
2023-07-31,2155.629
2023-08-31,2098.045
2023-09-29,2158.186
2023-10-31,1785.382
2023-11-30,2080.002
2023-12-29,2244.055
2024-01-31,2233.099
2024-02-29,2417.236
2024-03-29,2416.971
2024-04-30,2312.172
2024-05-31,2413.904
2024-06-28,2330.423
2024-07-31,2444.386
2024-08-30,2675.804
2024-09-30,2702.842
2024-10-31,2806.188
2024-11-29,2998.323
2024-12-31,3282.064
2025-01-31,3332.717
2025-02-28,3383.779
2025-03-31,3200.939
2025-04-30,3438.179
2025-05-30,3816.29
2025-06-30,4401.215
2025-07-31,4386.184
2025-08-29,4554.506
2025-09-30,4724.074
2025-10-31,4880.935
2025-11-28,5113.514
